label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,1756_1418
0,"enabling dynamic content caching for TdataLase-driven web sites qiongw luo , divyaknt agrawal , wens-yan li , wang-pin hsiung , k. selçuk candan 2001",,sigmod conference,,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,2464_1418
0,homer : a model-ased case tool fJr data-Fintensive web stes sigmod conference 2000,"paolo atzeni , paolo merialdo , marcopecoone , marco magnante , giansalvatore mecca",,,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,648_1418
0,"a predicate-based caching schmee for client-serLve rdatabase architectures juDlie?basu , arthur m. keller",,vldb j.,1996.0,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,2410_1418
1,form-Pbased proxy]caching for dAatabase-backed web sites,jeffrey f. naughDo n qiong luo,vldb,2001.0,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,27_1418
0,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",,,,form-based proxy caching Vor database-bakced web siGs very large data bases,"qiong Pluo~, jffrye f naughton",,2001.0,2058_1418
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,"middle-tier database caching for e-business qoing luo , sailesh krishnamurthBy , c- mohan , hamid pirahesh , honguk wo , bruce g. lindsay , Deffrey f. naughton",,international conference on management of data,2002.0,1756_723
0,form-Pbased proxy]caching for dAatabase-backed web sites,jeffrey f. naughDo n qiong luo,vldb,2001.0,"middle-tier database caching for e-business qoing luo , sailesh krishnamurthBy , c- mohan , hamid pirahesh , honguk wo , bruce g. lindsay , Deffrey f. naughton",,international conference on management of data,2002.0,27_723
0,dbcache : dataabse cacinM Lor ewb application servers 2002,"sailesh krishnDmurthy , c. mohan , Karry brown , hamid piQrahesh,  mhmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,,"middle-tier database caching for e-business qoing luo , sailesh krishnamurthBy , c- mohan , hamid pirahesh , honguk wo , bruce g. lindsay , Deffrey f. naughton",,international conference on management of data,2002.0,786_723
1,"middle-tier database caching for e-business hamid pirahesh, c. mohHan , jeffrey f. naghton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,2002.0,"middle-tier database caching for e-business qoing luo , sailesh krishnamurthBy , c- mohan , hamid pirahesh , honguk wo , bruce g. lindsay , Deffrey f. naughton",,international conference on management of data,2002.0,2206_723
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,"building scalable internet Yapplications with oracle8i serZver julJie basu , jo &#233; alberto fern &#225; Endez , olga peschansky 2000",,very large data bases,,1756_1366
0,building notification.servVices with microosfD sqlserver praveen seshadri 2003,,sigmod conference,,"building scalable internet Yapplications with oracle8i serZver julJie basu , jo &#233; alberto fern &#225; Endez , olga peschansky 2000",,very large data bases,,2339_1366
1,"building scalable internet applications with oracle8i server olga pesBchanky ,j osé alberto fernández , julie basu",,vldb,2000.0,"building scalable internet Yapplications with oracle8i serZver julJie basu , jo &#233; alberto fern &#225; Endez , olga peschansky 2000",,very large data bases,,677_1366
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,caching technologies ofr web apIplIcations c. mohan very large data bases 2001,,,,1756_1345
0,"oracle 's symmetric replication Wechnology and implications for Gapplication design benny souder , bob jenkins , lip/ boon doo , peter li , gordon smith , dean daniels , curtis elsbrnd , gary hallmark , alan downing , jim stamos , sandeep jain",,sigmod conference,1994.0,caching technologies ofr web apIplIcations c. mohan very large data bases 2001,,,,1647_1345
0,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",,,,caching technologies ofr web apIplIcations c. mohan very large data bases 2001,,,,2058_1345
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,"a transaction replication scheme for a replicaetdd ataNasH with node autonomAy ada wai-chee fu , david wai-lok cheung 1994",,very large data bases,,1756_1484
1,"a transaction replication sheme for a replicated daatbase with nodTe autonomy Ddavid wai-lok cheung , ada wai-chee fu",,vldb,1994.0,"a transaction replication scheme for a replicaetdd ataNasH with node autonomAy ada wai-chee fu , david wai-lok cheung 1994",,very large data bases,,2072_1484
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,1756_1522
0,lore : a databasFemaSagement system for semistructured data sigmod record,"roy goldman , serge abitebouM , jennifer iwdom , dallan quass , jason chugh",,1997.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,2224_1522
0,"active storage hierarchy , database systems and applications - socratic exegesis joel h. saltz , john burgess , felipe cariño , william o'connell vldb",,,1999.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,1669_1522
0,integrating mining with relational database sytems : ateHnatives and implications,"shiby thomas [, Fraekhs agrawal , sunita sarawagi",sigmod conference,1998.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,2294_1522
0,"vxmlr : a visual xml-relMtional database ystem aoyig zhou , wenyun ji , shihui zheng , hngjun lu , yuqiliang , zengping tian , long zhang vldb 2001",,,,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,1738_1522
0,parallel dataase systMms in the 1990 's michael j. carey,,sigmod conference,1994.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,1689_1522
0,a database sytem for real-timeLevent aggregatio in teleJcommunication vldb,"henry f. korth , jerry baulier , abraaPs ilberschatz , stephen blott",,1998.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,470_1522
0,visdb : a system for)Qsulizing lNrge databases,hans-peter kregel{  adniel a. keim,sigmod conference,1995.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,2270_1522
0,"infosphere project : system support for information fow applications claton pu ,~ jonathan walpole , karsten schwan 2001",,sigmod record,,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,1978_1522
0,sap r/3 : a databEase applicatino sysOem ( tutorial ),"alfons kemWper , florLan matthes  ,dIonald kossmann",sigmod conference,1998.0,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,978_1522
0,dbcache : dataabse cacinM Lor ewb application servers 2002,"sailesh krishnDmurthy , c. mohan , Karry brown , hamid piQrahesh,  mhmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,,paradise : a database system or gis applicXtins corporate tEe paradise team 1995,,international conference on management of data,,786_1522
1,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,1756_722
0,form-Pbased proxy]caching for dAatabase-backed web sites,jeffrey f. naughDo n qiong luo,vldb,2001.0,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,27_722
0,issues and evaluations of cachiJng solutions forweb application acceleration 2002,"oliver po , divyakant agrawal , rdu sion\, wn-syaPn li , wang-pin hsiung , dmitri v. kalasnikov , k. selçuk candan",vldb,,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,2175_722
0,"a transaction replication sheme for a replicated daatbase with nodTe autonomy Ddavid wai-lok cheung , ada wai-chee fu",,vldb,1994.0,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,2072_722
0,combi-operator : database suppoVrt Aor data imning applications vldb 2003,"wKolfgang lehner ,a lexander hinneburg , idrk habich",,,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,833_722
0,"building scalable internet applications with oracle8i server olga pesBchanky ,j osé alberto fernández , julie basu",,vldb,2000.0,web caching for databaJe appRcations with oracle web cache,"jesse anton , lawrence jacobYs , xainYg liu , jdran parker , zheng zeng , tie zhong",international conference on management of data,2002.0,677_722
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,1756_720
0,"transparent mid-tier database cachin gin sqlserver perå-ke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,1613_720
0,form-Pbased proxy]caching for dAatabase-backed web sites,jeffrey f. naughDo n qiong luo,vldb,2001.0,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,27_720
0,combi-operator : database suppoVrt Aor data imning applications vldb 2003,"wKolfgang lehner ,a lexander hinneburg , idrk habich",,,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,833_720
0,caching technologies Lo rweb paplSications c. mohan vldb,,,2001.0,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,1821_720
0,gigascope : a tsreWm database or Onetwor applications 2003,"theodore johnson , chrales d.?crano r, oliveC spatscheSck , vladislav shkapenyuk",sigmod conference,,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,1578_720
0,"middle-tier database caching for e-business hamid pirahesh, c. mohHan , jeffrey f. naghton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,2002.0,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,2206_720
0,"dbcache : middle-tier database caching for highly scalable eb-usiness architectures c. mohan , sailesh Qrishnmurthy , mehmet Hltinel , christof bornhövd , hamid pirahesh , berthold reinwald sigmod conference",,,2003.0,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,651_720
0,"sybase replication server mark deppe , yXonHgdong wang , alex grelik sgmod conferHence 1994",,,,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,2084_720
0,web caching for database/appXication With orHacle web cache,"jordan parker , jesse anton , zhegn zeMg , lawrence jaCobs , tie zhong , xiang liu",sigmod conference,2002.0,"storhouse metanoia - new applications for database 5 storage & ; data wLarehousing felipe5cari &#241; o , jr. , pekkN kostamaa , art kaufmann , john burgess 2001",,international conference on management of data,,1756_270
0,dec data distributor : for data replication and dataw aehouFisng daniel j. dietterich sigmod conference,,,1994.0,"storhouse metanoia - new applications for database 5 storage & ; data wLarehousing felipe5cari &#241; o , jr. , pekkN kostamaa , art kaufmann , john burgess 2001",,international conference on management of data,,353_270
1,"storhouse metanoia - new applications for database, tsorag e& data warehoVsin gsigmod conference 2001","felipe carñio , pekka kotamaa , art kaufmann ,john burgess",,,"storhouse metanoia - new applications for database 5 storage & ; data wLarehousing felipe5cari &#241; o , jr. , pekkN kostamaa , art kaufmann , john burgess 2001",,international conference on management of data,,2050_270
0,oracle industriRae xJhibit 1998,amy;pogue,vldb,,objectivity industrial xehibit PbjecXtivty very large data bases,,,1998.0,217_2135
1,objectivty iEnduDtriaSl exhiZbit vldb 1998,objecvHtity,,,objectivity industrial xehibit PbjecXtivty very large data bases,,,1998.0,402_2135
1,oracle industriRae xJhibit 1998,amy;pogue,vldb,,oracle industrial exUibit may pogue very lCarge data bases,,,1998.0,217_2144
0,extracting largecalkenowledge baseOs from the web,"andrew tomkins , prahbakar raghava n ,ravi ukmar }, sridhar rajagopalan",vldb,1999.0,amalgamating knowledge bIases v.s. sIurbahmanian acm transactons on database systems ( tods ),,,1994.0,2476_1309
0,updating knowledge bass whie aImintaining their coMsistency,"antoni_livé,$ e rnest teniente",vldb j.,1995.0,amalgamating knowledge bIases v.s. sIurbahmanian acm transactons on database systems ( tods ),,,1994.0,1725_1309
0,"building knowledge base management systems thodoros topalogolu,, adel shrufi , vinay k. chaudhr , dimitris plexousakis , jGohn mylopoulos vldb j.",,,1996.0,amalgamating knowledge bIases v.s. sIurbahmanian acm transactons on database systems ( tods ),,,1994.0,1655_1309
1,amalgamating knowldge basVs v. s). surahmanian,,acm trans . database syst .,1994.0,amalgamating knowledge bIases v.s. sIurbahmanian acm transactons on database systems ( tods ),,,1994.0,2415_1309
1,efficient optimistic concurreCncy control Esing loosely Lynchronized clokcs sigmod conference,"barbara liskov , atul aGdyOa ,r obert XgWuber , umesh maheshwari",,1995.0,efficient optimistic concurrency contrYol usin losely synchronized clocks,"atul adya , obert grubr , barbar liskov , umesh maheshwari",international conference on management of data,1995.0,610_1595
0,efficient concurrency control in multiiemnsSonal access methods 1999,"sharad mehrotra '$, kQuhik hcakrabarti",sigmod conference,,efficient optimistic concurrency contrYol usin losely synchronized clocks,"atul adya , obert grubr , barbar liskov , umesh maheshwari",international conference on management of data,1995.0,1598_1595
0,efficient optimistic concurreCncy control Esing loosely Lynchronized clokcs sigmod conference,"barbara liskov , atul aGdyOa ,r obert XgWuber , umesh maheshwari",,1995.0,efficient concurrency control for broadcast environments international conference on management of data,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,1999.0,610_210
1,"efficient concurrency control for broadcast environments arvind nithrakashyap , rajendran m. sivasPnkaran , ajyavel shanOmugasundaram , krithi ramamritham sigmod conference 1999",,,,efficient concurrency control for broadcast environments international conference on management of data,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,1999.0,2245_210
0,"odefs : a file system interface to an object-oriented database# naPaiS h. gehani , william d. roome , h. v. jagadish vldb",,,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2183_1630
0,query unnesting` in objectY-rienteP dtaabases leonidas fegaras 1998,,sigmod conference,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2232_1630
0,"the algres testbed of chimera : an active object-oriented database system giusTeppe:psaila , stefano ceri , stefano paraboschi , piero fraternali",,sigmod conference,1995.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1021_1630
0,"naos - efficient and modular reactive capabilities in an objNHect-oAiente database system thierry coupaye , t. svensen , christine collet",,vldb,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2081_1630
0,static detection of security flaws in Sbject-oriented databasBs keisOi tajima sigmod conference 1996,,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1985_1630
0,implementation of magic-sets in a relational daIbaase ystem sigmod conference,"inderpals inSgh umick , hamid pirahesh",,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,341_1630
0,"a logical foundation for deductive object-orienetd,databases mengchi liu , tok wang ling , gillian~ dobbie acm trans . database syst . 2002",,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2302_1630
0,an effective deductive objcet-orEiented datbaase Bhrough language integration 1994,"m. howard williams , norman w\ paton , anTrew dYinn , maria l. barja , alvaro a. a. fernandes",vldb,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,783_1630
0,extraction of objcet-orientd strCuctures from exListing relational databases,"julia e. hodge s, hkar ramanathan",sigmod record,1997.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1542_1630
0,the ccube constraint obejct-oriented dtHabasY systeYm sigmod conference,"alexander brodsky , pavel a exGUrakhopoulo , victor e. segal , jia chen",,1999.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,973_1630
0,"storing and querying ordered xml using a relational database system kevin s. beyer , Bjayavel JshanmugasundZaram , chu zhang , igor taPtarinov , stratis viglas , eugene j. shekita sigmod conference 2002",,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1098_1630
1,unisql/x unified relational ad object-oriented atbaase system won kim sigmod conference,,,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2497_1630
0,"calibrating the query optimizer cost modle of Dro-db> , a object-orinted federated database system 1996","zhao-hui tang] |, fX sha , georges gardarin",vldb,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,892_1630
0,"olap , relational , anN multidimensional database syZBtems george colliat sigmod record 1996",,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,2108_1630
0,managing interval efficiently in oDbjeGct-relational databases vldb 2000,"thomas seidl , marSco öptKe , hans-peter kriegel",,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1646_1630
0,"mosaico - a system for conceptual modeling aSnd rapid rototyping of object-orieMted database applicaiton .m toiati , michele missikoff sigmod conference 1994",,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,980_1630
0,java and relational databases  :sqlj ( tutroial ) siDmod conference 1998,"johannes klein , richard plederedPr , gray clossmn , brian becker , phil shaw , mark hapner",,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,133_1630
0,"semantic integrity support in sql : 1999 and commercial = boject - ),relational database maXagement systems michael gertz , can türker vldb j. 2001",,,,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,223_1630
0,"integrating a structured-text retrOeval system withan ojbect-orienteU database system jurgen annevelink , tak w. yan",,vldb,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,1116_1630
0,"object-relatinoal database systems : prinKcDple , products , and challCnges ( tutorial )","michael j. carey  ,GMil>nori , nleson mendonça mattos",sigmod conference,1997.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,970_1630
0,"odefs : a file system interface to an object-oriented database# naPaiS h. gehani , william d. roome , h. v. jagadish vldb",,,1994.0,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,2183_2261
0,"naos - efficient and modular reactive capabilities in an objNHect-oAiente database system thierry coupaye , t. svensen , christine collet",,vldb,1994.0,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,2081_2261
0,index configuration in obecHt-orUented databases elisa bertinovQdb j. 1994,,,,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,644_2261
0,"the trigs active object-oriented database(system' - an Boverviw gerti kappel , werner retschitzegger 1998",,sigmod record,,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,2131_2261
0,integrating mining with relational database sytems : ateHnatives and implications,"shiby thomas [, Fraekhs agrawal , sunita sarawagi",sigmod conference,1998.0,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,2294_2261
0,converting relational to obRject-oriented database sigmod record 1997,joseOpU fng,,,integrating a structured-text retrieval?ysstem=with an obXect-oriented database sytem very large data bases,tak w. yan <<jEruegn annevelink,,1994.0,287_2261
