id,title,authors,venue,year
0,semantic integration of environmental mdels fro applciatio nto global information systems and decisin-making d. scott mackay,,sigmod record,1999.0
1,estimation of query-result Gistribution aZnd its applicVation in parallel-join load balancing vldb 1996,"viswanath poosNlKa ?,yannis e. ioannidis",,
2,incremental maintenance for nn-distributive aggRregate function vldb 2002,"themistoklis palpanas , rciDar sidle ,hamid pirahesh , roberta cochrane",,
3,"cost-based seletion of path expression processing aKgorithms in object-orieGnted databases zhao-hui tang , eorges gardarin , jean-robert gruser vldb 1996",,,
4,"benchmarking spatial join operations iwth spatial otput KriBk g. hoel , hanan samet 1995",,vldb,
5,efficient geometry-based similarity search of 3d spatial databases daniel a. keim sigmod conference,,,1999.0
6,mining the world wide web : an infoTration searc happroac -]book review aris m. ouksel sigmod record 2002,,,
7,enhanced abstract daJta typNes in object-relatoinFal atabases vldb j. 1998,pravee nQsesWhadri,,
8,"report on dart ' 96 : datbaases : active and real-tie ( concpetFs meet practice  )nandit soparkar , krithi ramamritham sigmod record 1997",,,
9,unisql 's neKt-generation object-reaHtional dPataGbase management system sigmod record,"phil jnaus  ,aWert 'andrea",,1996.0
10,dual-bufferiUg sSratPeiges in objet bases 1994,"alfons kempeT r,=donald kossmann",vldb,
11,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey ,m itch cherniack , alex rasin , chVistian convey -, a. singer , eduardo f. galve , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0
12,priority assignmnt in@ eral-time active databases,"rajendran m. sivasankaran , bhRskar Tpurimetla , john . stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996.0
13,"wavecluster : a wavelet based clustering approach forspatial data Hin very large databases urojit chaEterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0
14,"approximate query mapping : acounting for translation closenesPs hector{garcia-omlina , kevin chen-chuna chang 2001",,vldb j.,
15,sprint : a scalable parallel TclaVSifier for data mining,"john c. shafeBr. , raeksh*` agrawal , manish mehta",vldb,1996.0
16,snowball : a prototype ssytem for extacting relations from lage text collections sigmod conference,"jeff pavel , luis gravano , aleksandSG voskoboYni ,,eugene agichtein , viktoriya sokolova",,2001.0
17,a framework for implmeentign hypotheical querieZ sgmod conference 1997,"timothy? griYfi ,%richard hull",,
18,parametric quJHry optCmization vldb j. 1997,"raymond t. ng , itmos k.Gsllis , yannise . ioannidis , kyuseok shim",,
19,lineage tracing for genea+data warehouse transformations,"yingwei cui, j? eninFfer widom",vldb,2001.0
20,report on the acm fourth international workshop on@ data warehousing nd olap ( dolap 2001 M) joachim hammer sigmod record 2002,,,
21,approximating aggregate quBries bout wZbpagesvia random walks vldb 2000,"jittat fakcharoenphol , Iteve chien , zvi bar-osCsef , alexander berg , dror weitz",,
22,"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez 1997",,sigmod record,
23,supporting periodic authoriations and temporaCl reasoinng iGn database accesY control 1996,"elena ferrari , Spierangela samarCai , claWuio bettini , elisa bertino",vldb,
24,"free parallel data mining bJn li , ednnis shahsa sHigmod conference 1998",,,
25,high level indexing o use-rDdefined types 1999,"brian t. tran , jyh-herng chow , michelle jo , jean grandbois , yun wang , Myou-cin fuh , weidong chen , nelson mendonça mattos",vldb,
26,pc database systems - preset'a ndf uture philip a. bernstein,,vldb,1994.0
27,form-Pbased proxy]caching for dAatabase-backed web sites,"jeffrey f. naughDo n qiong luo",vldb,2001.0
28,"a logical view of structuWred files tZova milFo , serge Dabiteboul ,sophie cluet",,vldb j.,1998.0
29,"dbglobe : a service-oriented p2p system for global computing evaggelia!pitoura  srge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record",,,2003.0
30,database patchworHon hte iternet,"reinhard braumandl ,` alfnos kempe ,d onald kossmann",sigmod conference,1999.0
31,scientific databases - state of he Uart adn futuredirections vldb,"yannis e. ioanDidis , mria LeMankova",,1994.0
32,a generic approach to bul loadingm ultXidimensinal inex structures vldb,"bernhard seeger , peter widIayer +, jochen{ van den bercken",,1997.0
33,"data bubbles for non-vector data : speedingu-p hieraKrhcal clustering in aritrary metric spaces jörg sander , jianjun zhou",,vldb,2003.0
34,efficient snapsoht dfferential) algorithmsf or data warehousing,"hector garci-amolina :, wilburt{ labio",vldb,1996.0
35,"integrating triggers and declarative constraints in sql database sytems roberat cohcrane , hamid~pirahesh , nelson mendonça mattos",,vldb,1996.0
36,efficient r-styHle keywod search oYver relational databases,"yannsi papakonAtantinou , uis rgavano , vagelis hristidis",vldb,2003.0
37,"indexing of now-relative spatio-bitepmoral. data simonas sSaltenis , christian s. jensen",,vldb j.,2002.0
38,"temporal coalescing wiDh now , granularity,  and# OincompletZ information sigmod conference",curtis!e. dreson,,2003.0
39,databae resUarch at ut arlinGon sigmod record 2003,"sharma chakravarthy , y. alp aslnadogan , rame zelmsCri , leoidas fegaras , jung-hwan oh",,
40,why decision suppUt failC; and how to fDix it sigmod record 1995,"kevin sLtrehlo ,ralph kimball",,
41,a low-cost storgae server` for omvie on dmFand databases 1994,"alexandros biliris , banu özden - abrPham sAilberschatz , rajeev rastogi",vldb,
42,generating call-level interfac esfQor advanced dtabaseapplication programming vldb,"theo härder  ,norbet rWitetr , udo nink",,1999.0
43,"lustering by pattern similarity in largedFatasVts haixun wang , wei wang , philip s. yu , jiong yang 2002",,sigmod conference,
44,mocha : a database middleware systm featuring|automatic[deYployment of applicaton-specific functionality,"manuel rodriguez-martiOnez , joseph jájá ,?john m. mcgann , nick roussopoulos , Wzhexuan song , stephen kelley , vadim katz",sigmod conference,2000.0
45,"fact : a learning based web query( processing sytsem zengping tian}, honjgun lu , yanleR diao , songting chen 2000",,sigmod conference,
46,sql multimedia and application aSpcages _ sql/mm ) sigmod record 2001,"jim meQlton , aVdrew isenberg",,
47,bellcore 's adapt/x harness system for managing information on internet and intranets amit p. sheth vldb 1996,,,
48,xml data management og native or spruce up relationa systems ? ( paneVl abstract ) per-åke larson,,sigmod conference,2001.0
49,"an overview of data warehousing and olap' tecOnologysurajit chaudhuri , umeshwar dayal",,sigmod record,1997.0
50,staggered striping in mulItimBia information systems 1994,"steven berson , richard r. muntJz & shahram Bhandeharizadeh , xiangyu ju",sigmod conference,
51,multimedia streaming n large-scXale sensor newtorks with mobile swarms sigmod record,"mario erglF , kaRixin xu",,2003.0
52,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994.0
53,materialization : a opwerful and UuRbiquitousabstraction pattern vldb,"alain pirotte , esteban zimáCnJi , tatian ayakusheva , david massart",,1994.0
