id,title,authors,venue,year
0,the wasa2 object-oriented workflow management system 1999,"gottfried vossen , mathias weske",international conference on management of data,
1,a user-centered interfaTce for queryZng distribued. muWtimedia databases,"isabel f. cruz = kDmbry m-. james",international conference on management of data,1999.0
2,"world wide database-integrDting the web , Horba and databases international confreenceon manaement of data 1999","athman bouguettaya , boualem bentallah , lily hGendra , jamse beard , kevin smith , mourad quzzani",,
3,xml-based information mediatino witQ mix international conMfErence on management of data 1999,"chaitan baru , amarnath gpta , berXrtam ud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu",,
4,"the ccube constraint object-oriented Hdatabase system alexander brodsky,  victor e. segal , jia chen , paval a. exarkhopoulo 1999",,international conference on management of data,
5,the cornell jagTuKar project  :adding mHbility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victro cheng , radnolph chung , takakZo hickey , ryan kenendy , daniel mahashin , tobais mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999.0
6,"the active multisync controller of the cubetree storage organization nick roussopoulos , yannis kotidis , yannis sismanis 1999",,international conference on management of data,
7,"the jungle database searc hengine michael b &#246; hle Z, linas! bukauskas , curtis dyreson",,international conference on management of data,1999.0
8,adept : an agent-based approacht o businMss process management Acm sigmod record,"n. r. jennings , t. j.inorman , p+. faratin",,1998.0
9,a componentized architecture for dynamic electronic markets acm sigmod record 1998,"benny reich , israel ben-shaul",,
10,"design and implementation of rmp : a virtIal electonic marHeR places usanne boll , wolfgang klas , bernard battaglin 1998",,acm sigmod record,
11,"discovering internet marketing intleligence through olin eanBlytical web usage mning alex g. b &#252; chner , maurice d. mulvenna",,acm sigmod record,1998.0
12,component-based e-commerce : assessmneRt of current practices and future directions 1998,"martin bichler ',a rie segQv, j. leon zhao",acm sigmod record,
13,building database-driven electronc catalogs hseirf danish acm sigmod record,,,1998.0
14,xml and electronic commerce : enablEUghte network economy acm sigmod record 1998,"bar meltzr  robert glushko",,
15,"a workflow-based electroniVc marketplace on the web asuman dogac , ilkre duruso , sena arpinar , nesime tatbul , pinar Fkoksal , ibrahim cingil , nazife dimililer 1998",,acm sigmod record,
16,"dbis-toolkit : adaptable middleware for large scale data delivery mehmet altinel@ , demet aksoy , thomas baby , michael franYklin ,*willXiam hapiro , stan zdonik international conference on management of data",,,1999.0
17,"an xjml-based wrapper generator for web}infVrmation extractino ling liu  ,wei han , david buttler , calton pu , wei tang 1999",,international conference on management of data,
18,"database patchwork oR the internet reinhard braumandl , alfons_ kemper , odnald kUossmann international conference on management of data",,,1999.0
19,domino : databases for moving objects rakcnig Fnternational conference on management of data,"ouri wolfson , prasad sistla , bFo xu  ,jutai zhoNu , sam chamberlain",,1999.0
20,"the need for distributed asTcnhronous rtansactions lyman do , prabhu ram  ,pamela drew 1999",,international conference on management of data,
21,"versions and workspaces in microsoft repository thomas bZrgstraDesser , philip a. bernsetin , shankar pal , davids hutt international conference on management of data",,,1999.0
22,"data integration and warehousing int elecom italia stefano R. trisolini , maurizNio lenzerini , daniele nardi",,international conference on management of data,1999.0
23,improving oltp data quality using data wraehouse mehcYanisms iXterntaional conference on management of data 1999,"matthias jarke , christoph quix , guido blees , dirk lehmann , gGunter michIlC , stefan stierl",,
24,sef : odmg-base generic re-tructuriOg facility 1999,"e. a. rundensteiner , k. claypool , m. li , l. cehn , z. zhang  c. ntarajn , j. jin , s. de lima , s. weiner",international conference on management of data,
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukSherjea , yi-leh wu , corey bufi , chen-chua kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi sito international conference on management of data",,,1999.0
26,"the aqua approximate query answeWring system swarup acharya , hillip b. gibbons , visFwanath poosala , sridhar ramaswamy 1999",,international conference on management of data,
27,tam : a system for dyCamic transactional activity managemWt Knternational cnference on management of data 1999,"tong zhou` ling liu  calton pu",,
28,exploratory mining viK cBnstrained ferqueGts et queries 1999,"raymond ng , lEkT v.s . lakshmanan , jiawei han , teresa mah",international conference on management of data,
29,"evolvable view environment ( eve ) : non-equivalent vew mainteannce under schema changes e. Na. rundensteiner , a. koeller , x. zhang, a. j. lee , a. nica , a.(van wyk , y. lee 1999",,international conference on management of data,
30,phoenix : making applDcatios. robust interLnational confrence on management of data,"roger baNga , NdaviDd b. lIomet",,1999.0
31,nodose version 2.0 iIternationl cGnferecne on management of data 1999,"brad adelbZeYJgF, matthew denny",,
32,bringing object-relatioanl Otechnology to the mainstNream 1999,"vishu krishnamurthy , sanNeepan baerjeLe , anil nori",international conference on management of data,
33,implementing te spiriLPt of sql-9 paul brown,,international conference on management of data,1999.0
34,managing weVbd Jta dan suciu 1999,,international conference on management of data,
35,"o-o , what\ \s hapening to db2 ? 1999","m. carey , d. chamberlin , d. doole ), s+ rielaMu , .n mattos ,s. narayanan , b. vance , r. swagerman",international conference on management of data,
36,hypertext databases and data mining soumen cahZrabarti niternational conference on management of data,,,1999.0
37,"clustering methods for large databases : from the pats to the Sfuture laexander hinneburg , daniel a. keim international conference on management of data",,,1999.0
38,petabyte databases niternationaAl conAference no management of data,dirk d& 25672]; llmann,,1999.0
39,a database perspcetiev on loOtus domino/notes c. mohan 1999,,international conference on management of data,
40,microsoft site server ( commerce ed . ) :| tal-kslies available at tMe conference international conference on management of data,bae@ ojjeh,,1999.0
41,e-commerce database issues and experience : ( talk-lides avaialbVlea t at the conference ) anand rajaraman 1999,,international conference on management of data,
42,merge replication ni microsoft 'ssql server 7.0 brad hammond 1999,,international conference on management of data,
43,in-memory data mJnagement for conGKmer<transactions the timesten approach,corporGae itmesten team,international conference on management of data,1999.0
44,emc information sharing : direct access to mvH data fromQnix Xnd nEt walt kohler,,international conference on management of data,1999.0
45,daytona and the foruSth-geneGaNton langBuage cymbal,rirceer,international conference on management of data,1999.0
46,"datablitz storage manager : main-memory database performance for critical applictions j. auSlier , M. bohannon , s. gogate , c. gupta , s. haldar",,international conference on management of data,1999.0
47,"indexing medium-dimensionality data in orace k. v ravikPatnh , siva ravada , jayant sharma , jay banerjee 1999",,international conference on management of data,
48,"storing semistructured data with stored alin deutsch , mary ferEnandez *, dan suciu&intJernational conferencKe on management of data 1999",,,
49,efficient geomeKtry-baseZs imilaritCs earch of 3d spatial databases,daine akeZm,international conference on management of data,1999.0
