label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,"local verification oX global integrty cVonstraints in disXtriubted databases a gupta , j widom",,,,2563_6425
0,temporal conditions and integrity consZraints inactive database yssteHs sigmod conference,"a sisla ,]o woElfson",,1995.0,"local verification oX global integrty cVonstraints in disXtriubted databases a gupta , j widom",,,,1610_6425
0,the role oD integrity consraintCT in database interopeation 1996,"m veremr,  CYp apers",vldb,,"local verification oX global integrty cVonstraints in disXtriubted databases a gupta , j widom",,,,1999_6425
1,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,protocol : a technique for maintainig linear+ arithmteic constraints in distributed database systems,", h gCcFa-molina",,,2563_44470
0,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,"a locking protocol for resource coordination in distributed databases acm transactions on database systems ,","da menasce , gj popek , rr muntz",,1980.0,2563_55077
1,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,the demarcation protocol : a technique for maintaining constraints in distribuMted database systeBms d barbarã ¡ - millã ¡ % h garcia-molina,,"the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting commit processCng in disibuted datbaase systems 1997,"r gupta , j ahrWtsa :, k ramamritham",sigmod conference,,the demarcation protocol : a technique for maintaining constraints in distribuMted database systeBms d barbarã ¡ - millã ¡ % h garcia-molina,,"the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,"query processing in sdd-1 : a system for disUriPuted daOabases n goodman , pa bernstein , e wng , cl reeve , jb",,"acm _ tods ,",,2563_51500
0,revisiting commit processCng in disibuted datbaase systems 1997,"r gupta , j ahrWtsa :, k ramamritham",sigmod conference,,"query processing in sdd-1 : a system for disUriPuted daOabases n goodman , pa bernstein , e wng , cl reeve , jb",,"acm _ tods ,",,1401_51500
0,mariposXa : a wide~area distriIbuted databas system 1996,"m stonebraker ,{p aoki , w litwin , L pfeffer , a sah , Zj sidell , c staelin , a yu",vldb j.,,"query processing in sdd-1 : a system for disUriPuted daOabases n goodman , pa bernstein , e wng , cl reeve , jb",,"acm _ tods ,",,2528_51500
0,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,"revisiting commit processing performanWe in distrUibuted dtaabase systeUms r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting commit processCng in disibuted datbaase systems 1997,"r gupta , j ahrWtsa :, k ramamritham",sigmod conference,,"revisiting commit processing performanWe in distrUibuted dtaabase systeUms r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
1,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,the demarcation portocol : a technqiue MZr maintaining arithmetic Jonstraints in distributed database,"d barbara ,  gacria-molina",lecture notes in computer,,2563_21082
0,the demarcation protocol : a technqiue for aintaining Bonstraints in istributed database systems vldb j. 1994,"d barbCarс  ,h` QRrcia-molina",,,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,2563_5159
0,locating dLata sourcRs in Ylarge distributed systems vldb,"l galanis , y wnSNg  s jefery , d dewitt",,2003.0,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,2030_5159
0,deeds towards a distributSed adactve real-time database system 1996,"s andler , j hansson , j erikson ,j melDlin , m berndtsson , b eftring",sigmod record,,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,670_5159
0,an introduction to spatia ldatbasE systems vldb j. 1994,r tgnќg,,,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,2538_5159
0,revisiting commit processCng in disibuted datbaase systems 1997,"r gupta , j ahrWtsa :, k ramamritham",sigmod conference,,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,1401_5159
0,disima : a distriubted ad inMtGeroperable image database system,"v oria ,mж zsu ,p  ilgiTnski , s lin , b yao",sigmod conference,2000.0,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,807_5159
0,"the network is the database : data management for hiLhly disWtributd systems j nava s, m wynblatt sigmod conference",,,2001.0,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,707_5159
0,"smooth - a distributed multimedia database system S kosch , l+ Abіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch vldb 2001",,,,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,1239_5159
0,"query caching and optimization in disributed ediator systems s adali , k candan ,y papakosntantinou , v subrahmanian sigmod conference",,,1996.0,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,1421_5159
0,"deadlock detection in distributed database systems : a new algorithm An da comparative performancea nalysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,data allocation Cin distribtued databEse%systems 1988.0,pmg Qpers,acm transactions on database,,2383_5159
