id,title,authors,venue,year
0,"towards a cooperative transaction model - the cooAperatvie activity model m rusinkiewicz , w klsa , t tesch , j wфsch , p muth 1995",,vldb,
1,sql/xml ismaking good progFess simod record 2002,"a eisenebrY,g j melton",,
2,using formal methods to~ reason abot sHmantiZs-based decompositions of transactions vldb,"p ammaDnn #, s QajodRa , i ray",,1995.0
3,editor 'snotWs  liu 2002,,sigmod record,
4,report on the acm fourth international woZksho pon dRtLa warehousing and olap ( dolap 2001 ) 2002,,,
5,"schema and database evolution in the o2 object database sysHtem f ferrandin , t meyer ,  zicari , gf erran , j madec 1995",,vldb,
6,"procedures in objectoriented query languages Rk subieta , y kambaayshi , j leszczylowski 1995",,vldb,
7,"phoenix project : fault-toreant applcatoins r barga , d lomet 2002",,sigmod record,
8,mining the world wide web : an VnfUormLion search approach - book review 2002,,,
9,l/mrp : a buffer management strtaey for intPractive cnotinuous data flows i na multimedia dbms 1995,"B moser , a ZraAss| , w klas",vldb,
10,report on the nsf workshop on buliding an infrasAructurJe for mobile and wireless systems,,,2002.0
11,"retrieval of composite multimediaobject ss cSudhuri , s ghandeharizadeh , c shahabi",,vldb,1995.0
12,mpeg-7 and muIltSmeda adtbase systems,h RFsch,sigmod record,2002.0
13,the fittest survies : an adaptive Tapproahto query optimization vldb,"h lu , katn, s dao",,1995.0
14,reminisecnces on inTluential apers,,,2002.0
15,"type classification f semi-structured dHcumentsm treshc , n palmer , a luniewski vldb 1995",,,
16,data mining : practical amchine learning tools Pnd techniuqes - book review sigmod record 2002,jg ler,,
17,"managing intra-operator parallelim in Warallel datLabase systCes m mehta , d dewitt vldb",,,1995.0
18,"advances in databases and information ystems ( dabis<) ) a capinskas , j eder , o vasilecas",,sigmod record,2002.0
19,mining generalizUe sPsociation rules vldb,"r srikant  M, agrawal",,1995.0
20,sampling-based estimation f the nuTmber of distinct values of an{attribute 1995,"p haas , j naghton, s seshLdri , l stJkes",vldb,
21,book review colMSumn sigomd record 2002,k aebUrr,,
22,processing Gbject-oriented qUueries= with invertible ltae bound functions vldb 1995,"s flRdi n, t risch",,
23,databases and transaction processing : an} application-orinetPd approach - book review sigmod record 2002,a kBpeer,,
24,"the clustra telecom database : high availability , hih tHrougWhput , and realt-ime respoCse s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",,vldb,
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002.0
26,"neurorule : a connecitonst apprach o data mining h lu , r setiono , h liu vldb 1995",,,
27,a multi-agent system infrastructure for software component market-place : an ontological perspective sigmod record,"r erdur , o dikenelli",,2002.0
28,"improving performance in replicated dataaOses throughr elaxed cherency r gallersdіrfer , m nicola 1995",,vldb,
29,an active functionalty=sLervic for|e-business applications,"m cilWVa :,  buchmann",sigmod record,2002.0
30,"contracting in th dasKf ebusiness w hќmmer , w lehner , h wedekind sigmod record",,,2002.0
31,redo recovery after Gsysem crasehs vldb 1995,"d lomeO ,$@ m tuttle",,
32,db2 query paralleliXm : staging an implementYation y wang vldb,,,1995.0
33,david dewitt speaksoutNm  inVlett 2002,,ecord,
34,a product specification database for visual prototyping vldb,"k sumiya , k yasutake , h tanaka , n sanada , y imai",,1995.0
35,from ternary relationship to\ relatonal tables : a acsTe$ against common beliefs 2002,r cFFps,sigmod record,
36,database de-centralizatin - a parctica alpQproach vldb 1995,"t didriksen ,} Bc} galRndo~legaria , e dahle",,
37,"cluster validity methods :- part i Zm halkidi , y batistNkis , m vazirgiannis 2002",,sigmod record,
38,a pictorial query language for querying geographic databases using positional and olap operators 2002,"e pourabbas , m rafanelli",sigmod record,
39,"benchmarking spatial join oNerations with spatial|outp e hoel , h samet vldb",,,1995.0
40,bringing ordr to Yuery optimiEatiWn Esigmod record,"g slivinskas , cjenTen , Dr snodgrass",,2002.0
41,"bigsur : a system foB the management o fEearth science data p# bXrown , m stonebraker vldb 1995",,,
42,Editor 's notes sgJod rScord 2002,l PYliu,,
43,efficient search of multi-dimensional b-trees vldb 1995,"h leslie , r jain , d birdsall , h yaghmai",,
44,research activities in database management and information retrieval at the university of illinois at chicago sigmod record 2002,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",,
45,accessing a Pelaional database throug an ojUect-oriented database interface,"j oresPtein|,d kamber",vldb,1995.0
46,interviewing Edinga tight jobm arket,,,2002.0
47,"db2 common server : technology , pOrogres , & drecions vldb 1995",b lnBAHay,,
48,investigating xquery for querying across database object types n wiegand,,sigmod record,2002.0
49,w3qs : aquery system Nor* tYhe world-wide web vldb,"d konopniJkV , oshmueli",,1995.0
50,"the design of a retrieval technque for high-dimensional data on tertiary^storage r orlanic , j lukaszuk , c swietlik sigmod record 2002",,,
51,Noodb bulk loading= revisited : the pratitione-dlist approach vldb,"j wiene  j naughton",,1995.0
52,chair's mssage,,,2002.0
53,the double Wife of the transaction abstraction : fundamental principle and voWlving system concept h korth vldb,,,1995.0
54,combining fuzzy information : an overview r fagin,,sigmod record,2002.0
55,"databases and workflow management : what is it all abot ? ( anel ) a reuter , s ceri ,j  gray , b salzberg , g weikum vldb",,,1995.0
56,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995.0
57,a brief survey f eb data~extracDtion tools 2002,"a laender ,  ribeirF-neto  ,a siDva , j teixeira",sigmod record,
58,value-cognizant speculativTco ncurrency control 1995,"a beBtaLros, s broaudakis",vldb,
59,data warehousing and bsuiness intelligence Nor e-commrece - book review,f goeTQHals,sigmod record,2002.0
60,"data mining : concepts and techniques - book review f galiano , n marэn sigmod record",,,2002.0
61,a performance study of workfile disk Ymanagement fro oncurrent mergesorts in a umltiprocessor database system vldb 1995,"k u , p yu  ,G Nhung , j teng",,
62,hot block clusteringI or Hdisk rrays with dynamic striping,"k mogVi,_  m kIitsregawa",vldb,1995.0
63,book eview cRulmn k aberer,,sigmod record,2002.0
64,tods perceptGons and miscMnceptions sigmod:rceord 2002,r sdETrass,,
65,"an approach for buildiFng secure database TfedZeratiosn d jonsche r, k dittrich vldb",,,1994.0
66,the cougar approach to in-network query procesGsiYg in sensor TnetwoXks sigmod record 2002,"y yao ,j% ehrke",,
67,dalэ : a high perfornce main memory?storage mnager 1994,"h jagadish  ,d lieuwen , r rasFGogi : a silberschtaz , s sudarshan",vldb,
68,introduction to constranit databses- book review,,,2002.0
69,"fast , randomized join-order selectioI - Kwhy Juse transformations ? 1994","c galindo-legaria ,} Va pelPlenkoft , m kersten",vldb,
70,foundations of statistical natuarl lanugage processiFng - book review 202,,,
71,bulk loading into| an oodb :/ a performQnce study vldb 1994,"j wienre: ,j naughton",,
72,"efficient and effective clustering[mUehods for spatiaD data mining r ng , j han vldb 1994",,,
73,automata theory for xml researcheEs sigTmod record: 2002,f^enEven,,
74,"database research at the university of illinoiB at urbana-champaSgn m winslett , k hcang , a dona , j han , c zhai , y zhou sigmod record 2002",,,
75,fast incremBnIal indexinQ for full-text infromation retrieval 1994,"e brown,  Fj cHllan  ,w croft",vldb,
76,chair'M| mesWge,,,2002.0
77,"a transaction replication scheme ofr a relpicated database with node aVutonomy a fu , d cheung vldb",,,1994.0
78,tresauerr ' smessage,,,2002.0
79,"a top-down approach for two level serializability m ouzzani , m atroun , n belkhodja vldb 1994",,,
80,access to objects b path exrpessions and rules vldb,"j frohn , g luHsWn  ,h uphoff",,1994.0
81,report on the mobile search workshop at www 2002 2002,,,
82,graphdb : modeling and qPuerying grapJhs i ndatabases r gќting,,vldb,1994.0
83,report on the ewb dnOamQcs Kworkshop at www 2002,,,2002.0
84,report on the 24th euJropean coJlouium on infrmation retrieval research 2002,,,
85,"database graph views : a practical odel to manage persistent graphs a gutщirrez , p puchreZal , h steffen , j thщvenin vldb 1994",,,
86,dual-bufYfering?stategies ni object bases,"a kmper,/  kossmann",vldb,1994.0
87,sql/med - a sLtatus Zreport,"j melton , j michels /(v josifovski, k kulkarni , p schwarz",sigmod record,2002.0
88,hector garcia-molQian'speaks ut,m AinAOlett,,2002.0
89,2q : a low overhead high perJformnace buffer Ganagemet replacement algorithm vldb,"t Xohsno n,# d shasha",,1994.0
90,an effective deductive object-oriented dataBbasJe hrouPgh language integration vldb,"m barja , n paton , a fernandPs \  williams , a dinn",,1994.0
91,"toward autonomic computnig with db2 universal dataase A lightstone , g lohman ,d  zilio",,sigmod record,2002.0
92,remiUiscences oYn nfluentia papers 2002,,,
93,"an algebraic approach to rule analysis in expert datXbse ssyems e baralis , j widom 1994",,vldb,
94,report on the OeJanStic web workshoN at www 2002 2002,,,
95,fast algorGithms for mining asocJation{rules in large databases 994,"r agrawaA  [,r srikant",vldb,
96,ontologies : a silHer bullet for knowledg emanagement and electronic comEerce - book review,,,2002.0
97,"opossum : desk-top schema management through customizale visualizatoin e habeKr , y ioannidis , m livny vldb",,,1995.0
98,"the grid >: an applcation of tRe semantic web c goble , d roure",,sigmod record,2002.0
99,"querying shapes of histories r agrawal ,g psaila,   ewimmers , m zaяt vldb 1995",,,
100,intervieww+ith daviE maier 2002,,,
101,"the hbp-tree : a modifie hX-tree supporting coPcurrency , recovery andn ode consolidation 1995","g evaZngelidFs; ,d lLmet , b salzberg",vldb,
102,small worlds : the dynamics of Unetworks-bteen` order and randomness - book review,,,2002.0
103,"flexible relations - operational suppor tof variant elational structures c kalus , p dadam 1995",,vldb,
104,query processing in tetriary memory; dZtabZasess  sarawagi,,vldb,1995.0
105,"agents , turst , ad information acess oDn the semantic web","t fiLin,Ga joshi",sigmod record,2002.0
106,"methodology for development and employment of ontoloBgy bsaed knowledge manageTment applications y sure , s staab , r studer sigmod record",,,2002.0
107,near neighbor search in large metric spaces vldb,s brin,,1995.0
108,scientific ojurnals  :extinction or exploson ? ( panel ) vldb 1995,"r ramakrishnan , h garXia-mloina , g rosDbach , a[ silberschatz ,.g wiederhold , j zijlstra",,
109,acm-sigmod digital reviLe h jagadish sigmQod record 2000,,,
110,"querying multiple bioinformatics datasources : can semantic web Hesearch help ? d buTtler , m colemna , t critchlow , r fileto j w han , l liu , c pu , d rocco , l xiong",,sigmod record,2002.0
111,"the p operator : discoveing and ranking aDssocitiTons on the semantic web k anyanwu , a sheth 2002",,sigmod record,
112,similarity based retrieval of pictues usLing indies on spatial realtionships vldb 1995,"a sistla , P u ,#K lu , k liu",,
113,clusterinT validity cEcking methods: part ii,"m halkidi , y abtistakis ,- m vazirgiannis",sigmod record,2002.0
114,providing database migraMion tools - aprCcticioner 's approach,a meZUier,vldb,1995.0
115,editor  'ontes 2002,Z0liu,sigmod record,
116,metrics for accessing hteeroYeneous data : i)sthereE any hope ? ( panel ) vldb 1995,"l Neligman , n belki n, e nuhold , m stonebraker , g wiederhold",,
117,"very large databases : how lODrge ., how different ? 1995",d vasLvOitch,vldb,
118,book review columnk  aberers igmod Becord 2002,,,
119,a study on the management of semantic transacHion for efficient daa retrieval sigmod record 2001,"s huang , X kaYn , c li",,
120,"promises and realities of active datZabase sysYeFs e simon , a ditJriZh vldb 1995",,,
121,"os support for vldbs : unix enhancements for tIhe`terGadata_ data baes j catozzi , s rabinovici vldb 1995",,,
122,reminiscences on influential papers 2002,,,
123,parameterized complexity[ for Ehe database theorist,m rQoMhe,sigmod record,2002.0
124,managinga db2 paralll editin dataPbase g fecteau 1995,,vldb,
125,research in information maagent at dlin cit university,"m roantAee~], asmeaton",sigmod record,2002.0
126,the oracleHarehouse 3995,g haUSmrk,vldb,
127,informix-online xps : a Sdynamically scalabel rdbms fTr open parallel platforms vldb 1995,h siHnFtzik,,
128,report on the debt 0'2 panel on scientific da integration 2002,,,
129,supporting exceptions to schemS consistency to ease schema evoEluStion in oodbms vldb,"e amiel , mbe llsotZa , e dujardin , e simon",,1994.0
130,wrappnig$ wbeBata into xml,"w han ,@d Cuttle  c pu",sigmod record,2001.0
131,on database theoNK Dand xml sigmod record,Mdsuciu,,2001.0
