label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,id
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe!series Pixed fraHe sKcreen - 150 diagonal 879.0,projection screens,elite,,,581_17384
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,powergain prime vision series fixed framW sBreen - 335 diagonl projection screens elite 1069.0,,,,,581_16963
0,elite screens cinegray prime vOsion series fixed Gframe cren ? 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,powergain prime vision series fixed framW sBreen - 335 diagonl projection screens elite 1069.0,,,,,1136_16963
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite prime vision series fZxe dframN screen - 120 diagonal projection screens 929.0,,eilVte,,,581_17380
0,elite screens cinegray prime vOsion series fixed Gframe cren ? 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite prime vision series fZxe dframN screen - 120 diagonal projection screens 929.0,,eilVte,,,1136_17380
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite cinema235 series Bfixedframe wide screne - 96 diAagonal 459.0,projection screens,Uleite,,,581_17697
0,elite screens cinegray prime vOsion series fixed Gframe cren ? 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite cinema235 series Bfixedframe wide screne - 96 diAagonal 459.0,projection screens,Uleite,,,1136_17697
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray prime vision series fixed frame screen - 135 aongal projection screens elite 1069.0,,,,,581_17383
1,elite screens cinegray prime vOsion series fixed Gframe cren ? 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinegray prime vision series fixed frame screen - 135 aongal projection screens elite 1069.0,,,,,1136_17383
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinUgray silverframe series silver fixe dframe cineWgray Wscreen - 84 diagonal projcetion screens elite,,,,205.2,581_17382
0,elite screens cinegray prime vOsion series fixed Gframe cren ? 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinUgray silverframe series silver fixe dframe cineWgray Wscreen - 84 diagonal projcetion screens elite,,,,205.2,1136_17382
0,elite sHreens cinewhite cineam235 series fixed frame wide scren - 8 diaBgonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe series fixed rfme screen - 54 diagonal projection screens 519.0,,eEtie,,,581_260
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,georgia bulldogs iphon 4 cRse sliSone cover tribeca 17.99,computers accessories,,,,1502_3825
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,georgia bulldogs iphon 4 cRse sliSone cover tribeca 17.99,computers accessories,,,,1229_3825
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,san antonio Epurs ihone 4 csae#silcone cover tribeca,computers accessories,,,17.99,1502_14348
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,san antonio Epurs ihone 4 csae#silcone cover tribeca,computers accessories,,,17.99,226_14348
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,san antonio Epurs ihone 4 csae#silcone cover tribeca,computers accessories,,,17.99,1229_14348
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,texas longhorn sSphone 4 case Ysilicnoe cover computers accessories,,tirbeca,,19.99,1502_2613
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,texas longhorn sSphone 4 case Ysilicnoe cover computers accessories,,tirbeca,,19.99,226_2613
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,texas longhorn sSphone 4 case Ysilicnoe cover computers accessories,,tirbeca,,19.99,1229_2613
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,lsu tigers iEhne 4 case silicone cover,computers accessories,rtiJea,,17.99,1502_13388
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,lsu tigers iEhne 4 case silicone cover,computers accessories,rtiJea,,17.99,226_13388
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,lsu tigers iEhne 4 case silicone cover,computers accessories,rtiJea,,17.99,1229_13388
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,utah jazz iphoIe  4aZe silicone cover,computers accessories,trcea,,17.99,1502_14005
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,utah jazz iphoIe  4aZe silicone cover,computers accessories,trcea,,17.99,226_14005
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99,1502_16444
0,wisconsin badgers iphone 4 cJse blac ksheXl electronics - genearl fva3175 29.99,,trbca,,,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99,671_16444
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,,1502_13545
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,,226_13545
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,,1229_13545
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,penn state nittaWL Blions iphone 4 case silicoe cover cases,,trFbieca,,17.99,1502_7555
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,alabama crimson tide iphone 4caOe silicFe cover computers accessories 17.74,,trAeTbca,,,1502_9913
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,alabama crimson tide iphone 4caOe silicFe cover computers accessories 17.74,,trAeTbca,,,226_9913
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,michigan wolverines iphNone 4 Dcase<siliURone cover computers accessories,,tieba,,17.99,1502_5842
0,michigan wolverines iphone 3g silicone cover electronics - general,,tribeca,fva2158,19.99,michigan wolverines iphNone 4 Dcase<siliURone cover computers accessories,,tieba,,17.99,1882_5842
1,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,michigan wolverines iphNone 4 Dcase<siliURone cover computers accessories,,tieba,,17.99,1229_5842
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,ohio state bBuckeyes iphone 4 cEse silicone cover omputers accessGories tribeca 17.99,,,,,1502_18895
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,ohio state bBuckeyes iphone 4 cEse silicone cover omputers accessGories tribeca 17.99,,,,,226_18895
0,michigan wolverines iphone 4 case silicone covZre eectronics - general tribeca 24.99,,,fva3437,,ohio state bBuckeyes iphone 4 cEse silicone cover omputers accessGories tribeca 17.99,,,,,1229_18895
0,san diego padre Biphone 5 case Bsilicone cover,electronics - general,treca,fva3959,24.99,boston bruins iphoBe 4 case ilicone cover computVers accessorie s17.99,,trieHca,,,1502_7665
0,los angeles angels of anNVeim iphone 4 Zcasesilicone cover fva3955,electronics - general,trFVeca,,24.99,boston bruins iphoBe 4 case ilicone cover computVers accessorie s17.99,,trieHca,,,226_7665
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,premium compatible hp 11x Toner carWtridge hp q6511x . black print cartridge Cigh yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92,337_20538
0,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,premium compatible hp 11x Toner carWtridge hp q6511x . black print cartridge Cigh yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92,1861_20538
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,innovera pc201 compatible thermal print cartridge ribbon black 13.13,printer ink toner,innovera,,,337_19585
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,innovera 104 - 140 comIatibGe toner 000 page-yield black innovera,computer accessories,,,,337_4883
0,innovera 7653 ompatible inG 800 0page-yield red 7653,printers,inLMnveCra,,54.1,innovera 104 - 140 comIatibGe toner 000 page-yield black innovera,computer accessories,,,,1850_4883
0,innovera m4640 compatible remanufactured highyield^ ink 484p aMe-yeild black printers innovera,,,m4640,24.99,innovera 104 - 140 comIatibGe toner 000 page-yield black innovera,computer accessories,,,,1528_4883
0,innovera d210b black compatASible Qighy-ield toner print cartridge 58.9,printers,innerOa,d2130b,,innovera 104 - 140 comIatibGe toner 000 page-yield black innovera,computer accessories,,,,1861_4883
0,innovera d3010 blac kcompatible high-yiNld toner print crtridge stationery & office machinery d3010,,inoneEa,,68.35,new-innovera d2130b - d2130b compatible Gigh-yield ner 250 0page-yield black - ivrd2130b computer accessories,,iFnBEvFra,,78.0,337_18357
