label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,id
0,"Illusion ( feat . Echosimth ) Zedd TrNue Colros Dance , Musci,  Electronic 2015 Interscope Records 6:30",,,,$ 1.29,,,18-May-15,Transmission [ feat . X Ambassadors ]! DWance & Electronic: $ 1.29 ( C.) 2015 Interscope Records 4:02,eZdK,True Colors,,,,,"May 18 , 2015",1409_51560
0,"I 'm a Machine ( feat . CrystFal Nicole an dTryese Gibson ) Dance , Musc , Rock , House , Electronic 26-Aug-11",Dav+# dGutta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1289_34035
0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Nothing But the Beat Dance , Music , House , Electronic , Rock",,,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1314_34035
1,Silver and oGTlMd 3:33,LitteB\Ig{ Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,21-Oct-14,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Undre excluisve license to CapiOtol Records Nashville 3:31,,Pain Killer,,$ 1.29,,,"October 21 , 2014",2666_35475
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David[ Guetta Dance , Music , Rock , House , Electronic , FrJench Pop $ 4.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusiWve license to Atlantic Recording Corporation for the United States . All rigts reserved . 24-Nov-14",,Listen ( Deluxe Version ),,,,3:20,,"I 'll Keep Loving you ( feat . Birdy & James Young ) Davdi Guetta LisKen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,,1157_27989
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/WBarner Music France , unde rexclusive license to Atlantic Recording Corporationfor the United States . All rights reserved . 24-Nov-14",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:20,,"I 'll Keep Loving you ( feat . Birdy & James Young ) Davdi Guetta LisKen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,,1164_27989
0,"True Colors ( feat . Nick Minaj ) Wiz KNalifa Hip-HTp/Rap , Music , Rpa , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14",,Blacc Hollywood,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,,,3332_7412
0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David%GuetPa DanBe , Musi , HGouse , Electronic , Rock $ 1.29 3:34 26-Aug-11",,Nothing But the Beat,,,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,,"In My Head ( feat . Nervo ) DaviGd Gueta~Dance & Elecrtonic 2015 Real Sounds 3:51 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1303_34060
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd uner exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantc Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,"Bloody War (,Album Version ( EidRed ) ) [ feat . BG ] [ Clean ] September 20 , 2005",David#Nnner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,,1155_9941
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd uner exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantc Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,"Choose Me ( Album Version ( Edited ) ) [ feat . Syk ] [ Clean ] David Banner Mississippi-The Album ( Explicit VeGrsion )~ Pop $ 0.99 ( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",,,,,,4:24,"May 20 , 2003",1155_31283
0,Lick It ( Norman Doray QRUei ) Lick It ( RYemixes ) - EP,KaskdIF &Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 32010 Robbins IEnNertainment LLC 3:29 December 23 , 2014",SkriJlex& [Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,,,,4733_43755
0,Lick It ( Norman Doray QRUei ) Lick It ( RYemixes ) - EP,KaskdIF &Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,"Scary Monsters And Nice Sprites ( Phonat Remix ) SkrFllex MoQer Monsters And SprTites EP; Dance & Electronic , Dubstep $ 1.29 2011 Rory Bourke Music Co. ( BMI )",,,,,,3:39,"June 7 , 2011",4733_31618
0,"Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music*, TRock , R&B /Soul , ContempoBrary R&B , Dance $ 1.29 2011 This CompilaBtion P2011 Warner Bros. . Records Inc. 4:02",,Reloaded,,,,,16-Dec-11,The Sky 's The LimWt - Ayo TRmix ) Jason DeYulo Reloaded $ 1.29 3:25,,,Pop,,"( C ) 2006 DTP Records , LLC",,"December 16 , 2011",3949_38669
