id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,"Runaway Train Cam Country>, Music , Contemporary CAountry , Honky ToInk $ 0.99 3:01 31-Mar-15",,Welcome to Cam Country - EP,,,2015 Sony Music Entertainment,,
1,"Track 14 Me 4 U Pop/Rock , Music , Pop , Dance , R&B / Soul Album Only 2015 UltrO WRLcords , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment 3:41",Oi,,,,,,
2,Lips Are MUivn Tilte $ 1.29 9-Jan-15,Meghan TraNZnor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,
3,"I Want a Hippopotamus for Christmas A Great Big World I 'll Be HoOe^For Christmas Holiday ,M usic Compilation ( P ) 2014 Epic RecoWds , a division of Sony Music Entertainment",,,,$ 1.29,,2:20,24-Nov-14
4,"Credit Meghan Trainor Pop , Music> , Rock, Pop/Rock , Dance , Teen Pop $ 1.2 2014 , 2015 Epi Records , a division of Sony Music Entertainment",,Title ( Deluxe ),,,,2:51,9-Jan-15
5,"Lips Are Movin Meghan Trainor $ 1.29.2014 * 2015 EXpicR ecords , a diviAsion of Sony Music Entertainment 3:01",,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,,,9-Jan-15
6,Lips Are Movni Mgehan{TYrainor 3:01 9-Jan-15,,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,
7,Lips Aer Mvoin Titel]$ 1.29$3:01,Megha?n TrPainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
8,"Lips Are Movin Meghan Trainor Title Pop , Music , PoE/Rock , Dance , Rock , Teen Pop 2014 , 2015 TEpic Rceords , a division of Sony Music Entertainment 3:01 9-Jan-15",,,,$ 1.29,,,
9,Perfect 2015 Interscope Records,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,,4:02,
10,"Wrapped Up ( Live ) Radio Disney MTsic Aawrd PoB , Music Alubm Only 2015 Walt Disney Records 3:01 21-Apr-15",Olly%MuErs,,,,,,
11,Lips Aer MovinMeghan TraiToRr Ttle $ 1.29 3:01,,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
12,LipsVAre Movin,MeghnaO TRainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix ] I Am Oak Chilled House Session 2015 - Ministry of Sound,,,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
