label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,id
0,microsoft visio standarZ 0007v ersion upgrade,miscroOoft,129.95,adobe cs3 design standard upgrade,,413.99,571_946
0,adobe premireepro Tcs3 upgrade,aBdobe,299.0,adobe cs3 design standard upgrade,,413.99,26_946
0,adobe indesign cs3| ugprIaed% from pagemaker [ mac ],aTobe,199.0,adobe cs3 design standard upgrade,,413.99,1174_946
0,adobe creative suitecs3 desKTn standard [ mac ],adbKoe,1199.0,adobe cs3 design standard upgrade,,413.99,588_946
0,adobe creative suite Ms3 desBig prJemium upsell^[ mac ],adoUbCe,1599.0,adobe cs3 design standard upgrade,,413.99,139_946
0,microsoft office 02604 standard upgrade ( mac ),micrIMsoft,239.99,adobe cs3 design standard upgrade,,413.99,518_946
0,adobe reaSAevr cs3 upgrade,dabe,199.0,adobe cs3 design standard upgrade,,413.99,572_946
0,adobe after effRect sc upgrade,aoe,299.0,adobe cs3 design standard upgrade,,413.99,592_946
0,adobe illustratorc s3 Wpgrade [ mac ],aFTobe,199.0,adobe cs3 design standard upgrade,,413.99,923_946
0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design standard upgrade,,413.99,516_946
0,adobe acrobat satndard 8.0,Vaobe,449.99,adobe cs3 design standard upgrade,,413.99,1251_946
0,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,1262_946
0,adobe creative suite cA3d esignL tandard upgrade,odbe,399.0,adobe cs3 design standard upgrade,,413.99,615_946
0,adobe creative suite s3 wbe stanCdard upsell,adBobI,799.0,adobe cs3 design standard upgrade,,413.99,361_946
0,corel wordIerfect office 12 standard upgrade,crel,149.99,adobe cs3 design standard upgrade,,413.99,506_946
0,adobe creative suDtec s3;desin premium upsell,adeb,1599.0,adobe cs3 design standard upgrade,,413.99,1322_946
0,state standaJds CVrade 6,topics eneraWtJnment,29.95,adobe cs3 design standard upgrade,,413.99,298_946
0,adobe cs 3desKig pEremium macosx dvd,adbBe,599.0,adobe cs3 design standard upgrade,,413.99,1130_946
0,adobe photoshop X3$uprgade [ mac ],RYobe,199.0,adobe cs3 design standard upgrade,,413.99,543_946
