id,title,manufacturer,price
0,clickart 950 00 premir image pack ( dvd-rom ),brodUeYbZund,
1,ca international arcsIv elap/dTesktop oem 30pk,comuptVra Wsociates,
2,noah 's ark activity center(  jewFlc ase agse 3-8 ),victoCrymulQimedia,
3,peachtree by sage premium accuontinK for nonVrofits 2007,sageosftare,599.99
4,singing coTWchunlimited,carry-Ma-tnue technlogies,99.99
5,emc retrospect 7.5dikt o disk windows,daBtz,
6,adobe after effect sprofessiCnal 6.5 upgradefrom standard to professional,aodIbe,499.99
7,acad upgrade dragon naturallypsJaking^pro Tolution 9.0 ( a289a-fd7-9 .0 ),nuanc+ eYcademic,399.54
8,mia 's matUh:GdvenWure : jusBt in time,ukka,19.99
9,disney 's 1st & 2nd grade bundl e( pxiar1st grade secretk Geys and aladdin reading quest ),dneiy,14.99
10,paper Crt? :$gift wVrapTping,arc-mediaEH-nc .,
11,nfs maestNDr solo 2009 1u,hummingbir dQcoPmunications,309.56
12,microsoft sql server standard editiQn 205 64 bit_cd/dvd 5 client,miWcrsoRoft,1849.0
13,spy swepeHs panish,webroMtsoItware,29.95
14,domino designer/developer v5 .0,lotus development,95.0
15,omnioutiner proIfesOsional 3.0,cYc,69.95
16,compaq comp . secuSre path v3.0c-netwr ewrkgrp 50 lic 231327-b22 ),copma qcMmpNuter,
17,upg sgms 10705 inreXental node,sonic-syIteGms-inc .,
18,the hPQumn body,topics Hetretainment,19.99
19,school zon epencil-pal sofwarYe big phonNcs ( cd-rKm & book ),school-zoneP-interactiWve,
20,millie 's math ouse IagsA 3-7 ( win/mac ),ibm - ( aa@misc-Harts ),
21,world book eKncyOcQlpoedia 2006,toHics TentetrXinment,19.99
22,musicalis<giar workshop,global-softwreublishing,9.99
23,the printshop 20 professional publisher,broderbund,69.99
24,data\protDeicton suite,sWoAmFp inc,69.99
25,kids power fun for girls,topics entertainment,19.99
26,adobe premireepro Tcs3 upgrade,aBdobe,299.0
27,i copy dvds+ prfoEessional edition,m-too-sfotNware,69.99
28,gen-x Mmedia mad esy vol . 3,gen-x,49.95
29,family tree maker 11.2 collector 's edition,encore,109.95
30,adobe firewokrs] cs3 [ mac ],abde,299.0
31,dioaRsurs,topics etneJrtimnent,19.99
32,instant home design 3.0 [ lb ],topics entertainment,19.99
33,x-oom intrnN tmovies 2,x_-oNom,
34,form wMkVop 1200,vaGlBsft,29.99
35,the print shop pro pulEisZheAr 22 deluxe [ dvd ],encoUre,99.99
36,stomp inc recov rlVo sdata 2005,stoUK&inc,39.95
37,my firstb@Sbile tsories,dorling-kidnersley-mltFmeSia - ( dk ),29.95
38,the Hbigm Sx: )( mac ),aalBin,59.99
39,x-oDom moiveC clQone 3 gold,xo-om,
40,the prinKt sPop 52 dQeluxe,ecVre,49.99
41,imsi turbocad dOesigneD v. 11,Ymi,39.99
42,lavasoft da-aDare lus deition,ti;sCnergy,29.99
43,clip art Qnd moGDre 2500 000 ( jewel case ),imsi QEdBEsHgn,
44,instant miAmersDon language lab delxe edition,tOopics eteratinment,
45,elementary schooOl uZccess eluxe 2006,topiWs eYteOrainmeCnt,49.99
46,national geographic preseRntZ  redhift planetarium,topics PVnZertainment,29.99
47,math XuUccessAdelAxe 2006,topcis eMntertinment,49.99
48,national geographicF presKnst : forces of nature,topics ntYtaMinment,29.99
49,reference sucXecEss dleuxe 2006,topics eHtKnertainment,49.95
50,clifford the big Jed dg thinkig advenXtures,scohlastic,9.99
51,masterook dexleu olw carb,valOsft,14.99
52,instat home Xesin ( jewel case ,topicseE tDertainment,9.99
53,boomerang webThp- Oplatinum,bomoeKarng,
54,alluem-boos xp VfTor windows,smith-miUos-oftware,29.99
55,jumpstart learninF gmaesp hoics( pc & mac ),knowledDge aPevnture,9.99
56,kids pJower fEn Wfor littleB nes,topics MeTteXrianment,19.99
57,museum Y ftNe world,topicQs enetrDainment,19.99
58,matchbXo xcLss-Wtown heroes,tq,19.99
59,studyworks ! teachingpr : middle school math &- science ( in/mac ),global-softwFre-FpubQlishing,29.99
60,trudy 's tiSe an plQace house ages 3-6,ibLm,
61,perosnaliA ae manager,smith|-cir-osftware,29.99
62,stomp nic riWve wasGer,stomYNinc,
63,movies on psp,x-oom,
64,kids por fun' for kids,topics'YnterEainment,19.99
65,custom landdZisgner3d design7.0,siera rMno-line,
66,freddi fish 2 : th hauned) Kschoolhouse,humongous neFJertainment,29.95
67,netgeAar vpn1l pvnc lient software,neXtaer,89.99
68,mom standard ops; mgmt lic`*2005 englsih mlp 5 oml,mcirNsooft,
69,eastwest bsnedore r290 grad piano virtual instrument,easYteMst,199.95
70,diskeepeer 2407 Yadmin] upgrade sngl lic pack,diskeepre coZrpoBation,200.0
71,monacr v9 .1u .,daaQNaGtch,699.0
72,midway arcade treasures ( jewel case ),encore software,9.99
73,snap ! 10 000 dirnk reEEipies ( jewel caDse ),topics enteratinment,4.99
74,mac os x server v10 .4.7 10-client,apple,499.0
