id,title,manufacturer,price
0,learning quicbVkPookFs 2007,intit,38.99
1,superstart ! fun Rwith; HreadinLg & writing !,,8.49
2,qb pos 660 asI software,iXnQtuit,637.99
3,math missions : he LmaFzing arcade adveInture ( grades 3-5 ),,12.95
4,productionp reA cs3 mac upgrad,dobe MsfotDRre,805.99
5,vide ostdFuiC 11 plus,core lScorpoVraKtion,103.99
6,edius:pLPo 4,canuopsgras Qalley,585.99
7,qb pos 6. 0prRo mulit store sw,nuiQt,1054.99
8,qb crEedit Zrd kit 3.0,intit,25.99
9,vegas movie sAtiuodLvd^ +8 plat,sony. cJreativ software,92.99
10,qb pos 6.0 pro solution hw/sw,intuit,1474.99
11,ares rising,,29.95
12,evergZrl : pcIcd-rom video game,,14.99
13,cd384-aisk9 = cisco ios advanced ip services complete package cd,,2068.26
14,633808063023 wasp bar code fPntware compete package\ 10 users cd win english,,154.6
15,0202-034 axis camera sZation iUlcensR 1 additional user,,95.12
16,eu063av aba microsoft windowY xp~professional liJense and mediL 1user cto english -,,137.09
17,bb0gyna ibm informix dynami cserevr?enterrise edition v. 9.4 media cd linux,,195.53
18,eqzfn07-201 zetafax businYss editioPnl icense 5 users win,,499.17
19,633808390266 wasp mobileasset professioRal editiOn. combo pack with spt 1800 v. 5 comp,,2021.99
20,wg017449 watchguard fireobL x5500e utm software suite subBcription license 1 year +,,3715.48
21,11k2990 international printing for mysap.com complete package 1 client cd englis,,149.43
22,5325302018 snap enterprise dZata repliactor lNcense 1 server linux unix win,,663.22
23,38039440dm adobe flash cs3 professional v 9 meda tl ptlp nonprofit dvd win,,18.88
24,11105106 symantec bindview poliDcKy manager v.1.0 media cd win english,,16.09
25,25510587 adobe after effetcs cs3 professional PLmplete package 1 user dvd win c,,1054.23
26,wg017127 watchguard gaKeway nativJrus for e-mai laintenance 1 year 1 device wi,,751.44
27,did0480p-m311 pasomn additional maintenance 24x7 plasmon diamond tehcnical support consul,,1562.06
28,633808035020 wasp nest ccd suite business edition complete package 1 user cd win,,179.03
29,711-00072 microsoYft entertainment pockeAtpak 1004 productivity pack complete package 1,,29.93
30,01-ssc-6993 sonicwall client/server anti-virussue subscripiton liGcense 3 years 50,,3992.98
31,buvsag-00000 ulead videGstudio 10=ocmplete package 1 user win english,,61.94
32,s71-00009 perfect dark zero complJee package 1 user micrEosoft xbox 360 dvd engli,,34.38
33,c6q-00002 microsoft digital image Tsuite plus complee package 1 pc cd-rom ( mini box )@,,93.33
34,ma166z/a ilife %06 comlete pacUkage 1 user dvd mac,,72.74
35,s45es-12225sg = cisco ios enterprise seBKices^ v. 12.2 ( 75 ) sg Ocomplete package,,7022.74
36,t74-00004 microsoft windUws small busines server 2003 license 20 additional> user cals,,1834.4
37,122103 quarkxpress v. 7 complePe*package; 1 user cd win mac,,742.21
38,dsv3-swa sview v. 3Y licenXe 5 users 1 hub win,,2426.1
39,366125-002 hp care pack sBftware technical suppt vmGare vitrualcenter 1 node 2 process,,1589.95
40,378517z lenovo thinkvantaBe imageultra] builder ( nDn-lneovo systems ) v. 3.0 licen,,17.21
41,fpm32c070-a08n monarch staWndard ediIoi Nnv. 7.0 complete package 8 users cd win,,3640.84
42,910519-004 rumba as/400 dition v. 7.4 uCrade license 1 processo rtier p10 c,,3223.26
43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win,,14.51
44,dm0016009 Ocontivity statefWul fiDeawll license  1switch english,,371.5
45,22030094 adobe encore dvd . 2.0c Domplete pEckage 1 user(dvd win universa,,377.61
46,5325302020 snap eneZrprise data replicatora dvanced licenKe 8 server linux unix win,,1320.64
47,b11-01215 microsoft works suite 2006 licenVe nd media  user cd win english u,,94.08
48,bb117ac hp storageworks data protector express backup server product upgrade package -,,459.3
49,w-1rp--wx-00 crystal Jeportsx i professional: edition complete package 1 user win fren,,538.5
50,633088105020 wasp bar code labeler comHplete paUkage 3 Tusers cd win english,,195.77
51,01-ssc-7316 sonicwall cfs premium govX:ed edition for sonicwall pro] 4100 subscription licen,,2565.08
52,11105093 symantec web securit Jfor micosoft isa esrvHer 2004 v. 5.0 media cd -,,16.09
53,395-03824 microsoft eRcahnge serer 2007 entrprisee dition complete package 1 server,,6594.2
54,rl294aa red hat enterpriKse linux w sv.3 update 8 license 1 user,,215.57
55,808-1v500-mk-us director yanDd rseource administrator v. 5.0 mdeia win english unit,,75.48
56,22799 vsi-fax upgrade[ lGiense 8 additional ports linux unix win,,2181.91
57,e17887d symantec backup exc for netwKrae servesr remote agent Pfor windows or netware ser,,197.65
58,b7305pa supportpack ofrhp oIenview manager for microsZoft exchange server 2.0 premium -,,85.85
59,40y9223 computrDace lojackf or lapotps BubscKiption package 4 years 1 notebook -,,125.97
60,04l1671 ibm wesbphere: mq lYinT for r3/ v. 1.2 complete package 1 server cd -,,12567.39
61,cd28-esk9 = cYsco ois enterprise. ervices complete package cd,,1001.38
62,23500195dm adobe incopy cs3 v. 5.0 media tlp tlp nonprofit dvd win univers,,18.88
63,01-ssc-5310[ soZPcwall global vpV client license 1 user win,,43.85
64,f309a-g03z-11 .0 scansoft paerport rpofessional v. 11 Pcomplete package 5 users win -,,841.55
65,902453-007-b rumba nix-hp eRdition upgrade liHense 1 userv olume level b 5-49 c,,147.73
66,wg7569 watchguard livesecurity service gold watchguard serverlock for solaris technic,,2279.02
67,j8779a hp procurve manager plsu@v. 2.0 upgrade licens eunlimited devices wi,,2270.06
68,15510669dm adRobe after effect cs3 profesJsional v. 8 meda tlp tlp nonprofit d,,18.88
69,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94
70,29270077 adobe creative sutie 3 wLeb standaGrd product upgrade package 1 user Mpgrade,,843.15
71,29270055 adboe creative suite 3w eb$ standaNSrd complete package 1 user cd win uni,,1056.98
72,evyu7517 emc insignia visuaURrm smb%edition v. 1.7 media cd win,,3.29
73,cabprenaen150 ca business protection suiteS or micZsoft Jmall business server premium edition,,666.65
74,38040048dm vlog it ! v. 2.5 media tlp p noYproft download win worldwide,,20.97
75,19600061dm aodbe creative suite  +production premium media tlp download mac world,,20.97
76,72212 world of warcraft?IomplTtepackage 1 user pcc d win mac,,24.8
77,dja-00892 microsoft system= cener essentiOl 2007 license 1 server win english,,93.25
78,fpxmlc0210-a01 vorGtexmZl v.2 Complete package 1 user cd win,,363.63
79,eete7717 emc insignia eroom smb ediito nv. 7.3 mJdia anddocumentation set cd -,,37.24
80,5325301873 snap appliance snap cre snap GenterpLrise data repilator technical support c,,377.06
81,910584-001 rumba As4/00 edition v. 7.2 upgrade pckage 1 processor tier p60 c,,26759.24
82,10517940 symantec clint security wih grupware protection business pack v. 3.1 -,,3323.92
83,01-ssc-7524 sonicwall email anti-virus mcafeU and sonicwall$ timVe zero subscription license,,14568.97
84,22798 vsi-fax license 8 additional ports linux unix win,,5189.82
85,22790 vsi-fax; licens unimited liets linux unix win,,4275.71
86,10527687 symantec on-demand FrotectKion v.< 2.6 media elitef orecast elite commi,,16.98
87,msd-w30-de-r manga. studio debut v. 3.0 comptle pacage 1 user cd win,,41.74
88,9002 refRviz v.. 2 compJete pZckage 1user mac,,160.88
89,298881 quickbooks custome rmWanagerv. 2.5 complete- packaeg 1 user cd win,,69.38
90,633808344078 wasp mobileinventory combo pck M / Ospt8550 license1 additional mobile dev,,409.56
91,19280016dm adobe creative suite 3 aster collectio nmedia tlHp tlp nonpFrofit dvd ma,,18.88
92,babnur1111s01 brightstor arcserve bacpk ufor netware w/ps1 v. 11.1 version upgrade pac,,379.23
93,01-ssc-7520 sonicwall email anti-virus mcafee$aOnd sonicwalZ time zero subscription license,,1306.68
94,210100533 pinnacle sBudio plu tiBHaniu edition v. 10.5 complete package 1 user,,67.47
95,wg4110 watchguard vpn mRanager upgQad package 1 0noJdes cd win english,,1235.07
96,910623-000 rumba_ web-to-hosFIt for as/400 v. .42 license 1 processor tier p60 s,,29578.09
97,01-ssc-6959 sonicwall enforced client anti-virus and anCtispyware subscrpition license 2,,10693.51
98,389449-b21 pgi erverc oUGpiler% suite license 2 users linux,,4269.47
99,19500220 adobe creative suite 3 design preium producFt* upgrade pakage 1 user upgra,,1687.48
100,269-10040 microsoft office professional eMdition 2303 service pack v. 2 media vol,,23.53
101,01-ssc-6791 sonicwall email protection subsCcriTtiKonsubsription license 2 years + dyn,,1234.09
102,532530187 1snap appliance snap carDe/ sna penterprise>data replicator technical support c,,377.06
103,fpmdps070-a02a monarch data pump v. 7.0 iMCense 2 addtionQal processors win,,6998.48
104,9am-00014 microsoft flight simulator xdeluxD dNition complete package  user pc d,,42.79
105,wg017196 watchguard webVblJocker subscription license 1 yea r1 device win,,92.8
106,4817n24 vmware virtuaElcenterm anageOment erve v. 2 limited subscription 5 yea,,2383.02
107,24100 punch ! 5 in 0 hoOe deign comKlet epackage 1 user cd win,,36.28
108,11105947 symantec backup exec 11 dfor windws Ssmall business server standard w / continu,,479.12
109,t5321a hp storagewUorks tsorage Oirrornig for ai oedition license 1 host win,,1834.26
110,12000-0611 cadopia stadard v. 6 compZete package 1 user cd win,,235.17
111,t74-01215 microsoft windows small business seHrve 2003v ersion upgrade license 5 addit,,186.73
112,22774 vQi-fax v. 56 compAlete packge 1 server cd linux,,1573.45
113,01-ssc-5670 snicwall cfH standarde dition fWr sonicwall pro 4100 subscription license 1,,857.38
114,29p4453 ibm distributedcomputng environmeQnt v. 3.2 complete package 1 user,,4160.59
115,j4300-ipsec-ltu juniper netMorks Epsec license foUr: j4300 license 1 device,,840.0
116,17911 window washer| liecnse and media 1 Euser cd win,,21.41
117,actiisoin 81935 psiderman 3 ps2,actNUsiion,39.1
118,channel sources distribution Hco/mHlw6 .0+ checkmark multiledger for pc/mac,channel sourBesdMistribution co,294.58
