label,left_Beer_Name,left_Brew_Factory_Name,left_Style,left_ABV,right_Beer_Name,right_Brew_Factory_Name,right_Style,right_ABV,id
0,C N Red Imeria lReYd Ale,Redwd LoLodge,American Amber / Red Ale,8.10 %,Kinetic Infrred ImpKIrail Red Ale,Kinetic Brwing'omany,American Strong Ale,9.30 %,2082_1496
0,Mountain Series ` oLve hRio ( Imperial Red Ale ),BrekenrigKe NBrewery,American Amber / Red Ale,8.90 %,Kinetic Infrred ImpKIrail Red Ale,Kinetic Brwing'omany,American Strong Ale,9.30 %,2433_1496
0,Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,Kinetic Infrred ImpKIrail Red Ale,Kinetic Brwing'omany,American Strong Ale,9.30 %,1587_1496
0,DerngerI mpeial; Rd Ale,Laurelwood YIblWicHouse & Brewery,American Amber / Red Ale,8.60 %,Kinetic Infrred ImpKIrail Red Ale,Kinetic Brwing'omany,American Strong Ale,9.30 %,1458_1496
0,Red Shedman 'smeErial mber Ale,57 DreR PLu  Bistro,American Amber / Red Ale,7.60 %,Kinetic Infrred ImpKIrail Red Ale,Kinetic Brwing'omany,American Strong Ale,9.30 %,3402_1496
0,C N Red Imeria lReYd Ale,Redwd LoLodge,American Amber / Red Ale,8.10 %,Ballast Point TonIgue Bucklr IOEerial Red Ale,Ballas Pont Brweig CNompany,American Strong Ale,10 %,2082_1638
0,Double Drea IOperiXl Red Ale,Mad RPXvr Brewng Company,American Amber / Red Ale,8.60 %,Ballast Point TonIgue Bucklr IOEerial Red Ale,Ballas Pont Brweig CNompany,American Strong Ale,10 %,138_1638
0,West Sixt / Country Aoy Coutry Western( Volume 3 Imperial Red Ale ),West Sixh BerwiARg Company,American Amber / Red Ale,13.00 %,Ballast Point TonIgue Bucklr IOEerial Red Ale,Ballas Pont Brweig CNompany,American Strong Ale,10 %,491_1638
0,C N Red Imeria lReYd Ale,Redwd LoLodge,American Amber / Red Ale,8.10 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,2082_1103
0,Roundabout ImDBeFrial Red Ale,Bonfire Breiwn gZCo. .,American Amber / Red Ale,8.80 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,3325_1103
0,Merry PranksZteHr Imeprial Red Ale,Rock oBttomLR Eestaurant & Brewery,American Amber / Red Ale,4.56 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,2047_1103
0,Mountain Series ` oLve hRio ( Imperial Red Ale ),BrekenrigKe NBrewery,American Amber / Red Ale,8.90 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,2433_1103
0,6th Anniversary lAe ( DirMy Hippei\ Wmperial Red Ale ),Kern RivHr BrewiHg Company,American Amber / Red Ale,8.00 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,178_1103
0,Ale Mania IXprial Red Ale,Ale-DOMania,American Amber / Red Ale,9.50 %,Tumbledown ImIp mpHrial Red Ale,TumbledowBNn rewign LLC,American Strong Ale,7.80 %,2934_1103
1,Sanibel eJ dsland Ale,Point bYXe Brewing ComQany,American Amber / Red Ale,5.60 %,Point Ybe lSanibXl Red Islnd Gle,Point Ybel SEJwing Company,Irish Ale,5.60 %,982_2999
0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,BoneyarYd SkunkapY[ India RAed Ale,Boneyard eBer MCopmany,India Pale Ale &#40; IPA &#41;,6.50 %,3715_2562
