id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ  ¶egF NugJNt! Nectar,TrÃ ¶ ges]{Hrewing Company,American Amber / Red Ale,7.50 %
1,Fat TirLe- ObmerAle,New BelgiFum Brewing,American Amber / Red Ale,5.20 %
2,LeviPttZon OAle,SLtone_ Brewign Co. .,American Amber / Red Ale,4.40 %
3,Green Flash HQp Head Red Ale,Green FCaBs hIrewing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶ eg PopVackAmer Ale,TrÃ / eg BrFewiHng Company,American Amber / Red Ale,6.00 %
5,FlipseiP Red IPA,Sierra Nevada BerwigC o. .,American Amber / Red Ale,6.20 %
6,CeWnred,Lagunitas BrJwing/ Company,American Amber / Red Ale,6.75 %
7,Red> RokDet VAle,Bear RepuLli BLrewing Co. .,American Amber / Red Ale,6.80 %
8,Great LeaNs Cosferatu,Great Lakes BerUwDing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas{ HmpRrial ed Ale,Lagunitas rwng Company,American Amber / Red Ale,7.80 %
10,oZe,Main eBeeAr ompany,American Amber / Red Ale,7.20 %
11,Santa 's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30 %
12,Lagunitas Luck 31Mndo Large Red Ale,Lagunitas GPerwng Company,American Amber / Red Ale,8.65 %
13,Ruedrich 's ReKd SMeal/Ale,North FCYZast Brewing Co. .,American Amber / Red Ale,5.40 %
14,Boomn be rAle,Anderson Vale yBrewin%g Company,American Amber / Red Ale,5.80 %
15,America^nAmber Ale,RoCgNPAles,American Amber / Red Ale,5.30 %
16,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.80 %
17,TocobLaOHa Red Ale,CigarC Uity Berwing,American Amber / Red Ale,7.40 %
18,Calico Copper AmbTer Ale,Balalst PoKEnt Brewing Company,American Amber / Red Ale,5.50 %
19,AAavlanche@ AlE,BreckenriVdg eBrewery,American Amber / Red Ale,4.40 %
20,CaBcaiZlla,Ithaa Ber oCMpany,American Amber / Red Ale,7.00 %
21,FullSl mber,FuOll Sail Brewery  P&asting Room & Pub,American Amber / Red Ale,5.50 %
22,t. RZgeuRed,RoguDeQAles,American Amber / Red Ale,5.10 %
23,Red THPi Ale,Mendocio\Brewing Company,American Amber / Red Ale,6.10 %
24,ProhibXiiQn Ale,Speakeas yCleRs & Lagers,American Amber / Red Ale,6.10 %
25,GloblaWrmer,SixpoiAnt Brweery,American Amber / Red Ale,7.00 %
26,BlzingZW orld,Modern) iTHe Beer,American Amber / Red Ale,6.80 %
27,Red WhBlCbarrow,Maine}BeerjCpmany,American Amber / Red Ale,7.00 %
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00 %
29,Tongue IBuckle r-mIperial KRed Ale,allast Aont Brweing? Company,American Amber / Red Ale,10.00 %
30,Red pHIober,New BelgiP BreJing,American Amber / Red Ale,6.00 %
31,Captain GiSg 's NorOhwestern Ale,WoeguAles,American Amber / Red Ale,6.20 %
32,FiIe AM,BreDwog,American Amber / Red Ale,5.00 %
33,YuleSimth] :( Winter ),AleSmith rBXeinYg Company,American Amber / Red Ale,8.50 %
34,Shar kttack Doble Red IAle,PortB/Yewing,American Amber / Red Ale,9.00 %
35,Switchba[kAle,SwitchbacIB rewng Company,American Amber / Red Ale,5.00 %
36,Runof]feRd IPA,Gdell!BJrewing Company,American Amber / Red Ale,6.50 %
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %
38,AmbeAredHdon,Al ATsJylum,American Amber / Red Ale,6.80 %
39,Terrapin[ OaYed Big# Hoppy Monster,Trerapin Pere} Company,American Amber / Red Ale,10.30 %
40,AutHJGmneKt,WeyerbacOer BerFwing Co. .,American Amber / Red Ale,5.40 %
41,AleSmith/M BloodyValeWntine,AleSmith reBwg Cmpany,American Amber / Red Ale,6.66 %
42,Kingpin DBble Red lAe,BridgePort reRin Co. / Brewpub,American Amber / Red Ale,7.50 %
43,LoKaPaCk Red,TheB\uery,American Amber / Red Ale,6.90 %
44,Red-oric - Ber Camp # 65 ( BNest NOfBeer Camp : Imperial Red Ale ),Sierra NevadCa Brenwg Co. .,American Amber / Red Ale,8.00 %
45,RedhookWCToRperhook,Redhoo leA Brewery,American Amber / Red Ale,5.80 %
46,Duck-RObbS tAmber Ale,The/ Duck-abbSti Craft rewery,American Amber / Red Ale,5.50 %
47,Samuel Adams Mighty Oak Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
48,Belveer,Ninkasi rBeYingSCoKmpany,American Amber / Red Ale,6.90 %
49,Mermaid' s/RTed AleZ,Coronado< BeDwign Company,American Amber / Red Ale,5.70 %
50,JaYmaicYR;de Ale,Mad RiVvMr BrewingC ompany,American Amber / Red Ale,6.50 %
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %
52,Sait Anold mber Ale,Sanit ArTnold Brewing Company,American Amber / Red Ale,5.50 %
