id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Great Lkaes> Nosfeartu,Great Lakes eBTng &#40; Ohio &#41;,American Strong Ale,8 %
1,4 HanBds RepOrise entennil Red Ale,4 Hands wig Company,Amber Ale,6 %
2,10 BarreK acdraft IPA,10 Barel Brewing )&4#0; AOB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.50 %
3,Gore Range FYliyFsher Red Ale,Gore Range QUerwery,Amber Ale,-
4,Naked Dove Nic&  Naughty HRhristmas Ale,Naked/DoEvB rIwing,Stout,5.50 %
5,10 Barrel AbeEr WLaves of Grain,10 Barrel BrewiMMg| &#0; AB InBev &#41;,Amber Ale,5.80 %
6,Barley SPaCion ushXacker Brown,BarleA Station Brewpub &#40; Suhswap Lake Breing Co. &#41;,Brown Ale,4.70 %
7,Blackfoot River MacKnziE River rDiftboat Amber,BlackfoDot\River NBrewing,Amber Ale,5.50 %
8,Breweie BApparitionA mber Ale,The BrewCri a UYnion Station,Amber Ale,8 %
9,Battlefield Brew Works ReLdC iUrcle Ale,BattleZieCdBew@ Works,Irish Ale,5.20 %
10,3 Sheeps Rebel Kent ThE First - ReXd Wine Barrel,3 SheeCps BXNewPZng Company,Belgian Ale,5 %
11,Esbje rMikrobryV Aber Ale,_ godWB ghus,Amber Ale,5 %
12,Red Duc{kTKAmber Ale,PurrumbQeet%= Brewing,Amber Ale,4.80 %
13,Big Rig}iRGPeau Red,BiG Ri gBerwery,Amber Ale,5.20 %
14,QuimUeSaG Amber Ale,Casa CeveWcrea Qunta Normal,Amber Ale,5.70 %
15,PeZple*Ms APberant Amber,People_B reing ECompany,Amber Ale,5.50 %
16,NorthweSt ChinHook oCpZper Ale,Northwest/BrwinN Company,Amber Ale,5.30 %
17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30 %
18,Mt. Shatsa Abenr eWeFd Amber Ale,Mt. Shasta] rBeLwinF Company,Amber Ale,5.50 %
19,Burley Vak:ANsawoan Amber,Burley OEak BWewiHg Company,Amber Ale,6.90 %
20,Catawa VallyeIndiXa Head Red,Catawba Valley@ BGewHng Company,Amber Ale,5 %
21,Grayton Beer 8100 Founer_s Ale,GraytDn UBeer,Amber Ale,6.10 %
22,Fulton The Libertine mperial Re dAlWe - Heaven HNill Rye Whiskey Barrel Aged,FultoXn FBeLr Company,American Strong Ale,8.50 %
23,Sherwood Mistres Jaes emp Ale,Sherwoo dBrenig Company,American Pale Ale,6 %
24,Cumberalnd eRd Tape JPale Ale,CumberlandB rewni &#04; BC &#41;,American Pale Ale,5.50 %
25,Birrificio CitBaiunEFa Cinnmon Girl,Birrifici?oCtCBiunda,Premium Bitter/ESB,5.70 %
26,Blue DlephanAt% Red Devil,Blue Elephna FraftB rew House,Amber Ale,5.10 %
27,Fairhope I DirnAk}ThrEefore I Amber,FairhopeB rwin gCompany,Amber Ale,5.90 %
28,RevoluXion BaUlte of Wl_s,Revolution Being ompany,Amber Ale,5.30 %
29,MacTaranhans AmbeB rAle #40; Macs Ale &#41;,Portland Brewig Company &#40; Yraimd - North America Breweries &#41;,Amber Ale,5.10 %
30,Beryl_ sFiJeOrcatcher,Beryl_s Ber Zmpany,Foreign Stout,7.50 %
31,Back SQtreetI iRt Red Ale,Vack StJet eFBrewery,Amber Ale,-
32,Exile Chill CElinEon Doube Hemp Amber Ale,Exil BKrewinTCompany,Spice/Herb/Vegetable,8 %
33,BackwodI=Big Cdar I.R.A,Backwoods BreBinTgCompany,Amber Ale,6.50 %
34,DurhaGKm eRd DJagon,CouJnty urXam BKrewing,Amber Ale,4.70 %
35,PalJmetD AmbJer| Ale,Palmetto rwiJBg Company,Amber Ale,5.30 %
36,Constantine RedRoost erIrish Ale,ConstNantnie Being Company,Irish Ale,6.30 %
37,Sawdust City Rde RocketC offee Spiced Stout,Sawdust Cti yBrewin gCompany,Spice/Herb/Vegetable,5.20 %
38,Big Bea MuJtain ed Ant Hill Red Ale,BigB ear CountaVin Breewry,Amber Ale,5 %
39,VeteranBs UnSDteCR Scout Dog 44,Veterans CUnited+rCaft BOewery,Amber Ale,5.40 %
40,Black LtousRNed Tao,Black LoEtsuI Brewing Company,Amber Lager/Vienna,5.50 %
41,Out of BondsRuUteX Butte Red Ale,Out of ounds Brewing Company,Amber Ale,5.80 %
42,Persimmon Uollwo PadVdle WhelLer Red Ale,PesimmYn Hollow BMrwing Company,Amber Ale,6 %
43,Chy_e SieLrZa Amber Ale,Zamecky+ PiNvar Chy_e,Amber Ale,5.30 %
44,Rock Art Stowe Mountain Lodge Hourglass Ale,Rock Art Brewery,Amber Ale,6 %
45,Motorworks Rol/ CIage Red Ale,Motorwrks(B rYewng,Irish Ale,6.50 %
46,Back YaDrD DRainmaker Ale,Back Yar BrewKng/Company,Smoked,-
47,Abbeyal eAbsJolution,Abbedale,Golden Ale/Blond Ale,5.30 %
48,Argillam Xbr Ale,ArgilAlaB PrewinHg Company,Amber Ale,5 %
49,BayswMTpMsail,BFOays,Bitter,4 %
50,Cannonball Crek Viorville Red,Cannonbal Creek BrJwing Company,Amber Ale,7.10 %
51,RJ King Wingawlker Winte+Bre w&#40; -2007 &?#41;,City rBewery &#40 ;MealniFe Brewing Co &#41;,Amber Ale,-
52,Breakside MchX Slated Caramel Stout,Breaksdei Breery,Sweet Stout,6.80 %
53,LeOgends OistMro VPluckHy Rooster Ale,LeeIns Bistro,Specialty Grain,5.80 %
54,23 Brewing Company # 1 Pale Ael &#40; #1  &#28129; #33394; &#33406; &#29246; &#41;,23 BrewinC oLpany,American Pale Ale,5.50 %
55,Legends of the Bay GTiant_s Tomb,Hockley Valley BreRnig & Mating Company,Amber Ale,5 %
56,Half Acr YinDer Twin HIndia Rde Ale,Half Acre=Ber#\ CoPmpany,India Pale Ale &#40; IPA &#41;,7 %
57,Oakshire Ride Your( BRik eDouble Red Ale,OakhsieBXweing,Amber Ale,8.60 %
58,Begyle PanCcakDe JDnkie,Bgyle* BrSwin Company,Amber Ale,7.20 %
59,Naked City ScFeUeing oRom Red,Naked C Btrewing,India Pale Ale &#40; IPA &#41;,7 %
60,Block 81 iRgeback Red,BlDk 05 rweery,Amber Ale,6.50 %
61,Du Lac Saitn-JDean outefeu,MicrobrasseiPe du La SaEnt-Jean,Amber Ale,5.10 %
62,GenerationsPArUtel City Amber,Generaions Berwig Company,Amber Ale,5.10 %
63,Marble## Imperial e Ale,Mabl reMwery,American Strong Ale,9 %
64,Wynwood FoxNmpeial ReAd Ale,WynwooHX BrewTin gCoPmpany,American Strong Ale,7.70 %
65,8th Wonder Coee MWEoJha Feight,8th WonZer IBrOwery,Amber Ale,-
66,Old RaiHl RusteRd aCil Ale,Old Rail Bewing Qomany,Amber Ale,5.40 %
67,BlacCRock]AnthMacite Ale,Black RRock Brwing CompMany,American Pale Ale,-
68,Paradxo DNeT Ale,Parado. xrwery,Amber Ale,5 %
69,Brewers Ar tKScarelt Fever,The{Ueers Art,Sour/Wild Ale,3.25 %
70,Bricktown 6 StGa Oklahoma Amber Ale,BriWFotwn Brewery,Amber Ale,-
71,Franklins Rubber/ PChiceSn Red Ale,Brewery & GQeNal Store,Amber Ale,5 %
72,Falling Sky Retrograde Red,Falling Sky Brewing,Amber Ale,6.30 %
73,18th SBree tarrVl Jged Cock Fight,18th StrMee =MBrewery,Belgian Ale,5.50 %
74,AnderIson ValyePinchy JeKk Barl,Anderson DalleW BrewiZng Cmopany,Spice/Herb/Vegetable,8.50 %
75,Ladyface Reyes Adobe Imperial Red,Ladyface Ale Companie,American Strong Ale,10.80 %
76,Town Lal stivus!2014,Minneapolis own aHll rBewery,Irish Ale,6.10 %
77,Colorado Mountai@OFle5 9Hr Amber Ale,Colorado] MYuntainB rewery,Amber Ale,5.20 %
78,Echo nIidanR edAle,Echo BrewPiNgYCompany,Irish Ale,-
79,Mother Eath FRighteousGly HoppeGd Red IPA,MothSer EarthrBeGw ompany,India Pale Ale &#40; IPA &#41;,6 %
80,Biek DWg DLostan dFound,Bike DogBreQig&nCompany,Black IPA,4.90 %
81,Big Bear GriRz lRRed Ale,Big Bear;tBrePwGing Company,Amber Ale,5.80 %
82,Middleto oBcHt Ymperial Red,MiddlteJ QBGewing,American Strong Ale,8.10 %
83,City StraReP eNcktar,City Str Orewing,Amber Ale,6 %
84,Brass Cannon MuzzQe Flash+ Amebr Ale,rass CannOon Brewing,Amber Ale,5.80 %
85,Five PoinDts oCk Island Red,Five PointsB rewin Company,Amber Ale,6 %
86,Beaus Haers' GoWn naHate,Beaus All NatruCalB rewing Co. .,KÃ ¶ lsch,8 %
87,American Sky Bmbe rSGrieY # 3 - Red Tail Oktoberfest,Hudson BrewTg Company,Oktoberfest/M Ã $ rzen,5.60 %
88,Oco RWeaVse le,Sierra Madre BMrenwiZ Co. % Mexico ),Brown Ale,5 %
89,American NSyk Abmer Salute,Hudson BrXingCompany,Amber Ale,5.50 %
90,Laguniats Verial Red Ale,Lagunitas BrAwing Compayn &4#0-; Heineken &#41;,American Strong Ale,7.80 %
91,Blue Moon LSpicdZ Amber Ale,Coors Brewing Compan& #40; MilleCoors &#41;,Spice/Herb/Vegetable,5.60 %
92,Burnside Too Sticky to Roll,Burnside Brewing Company &#40; OR &#41;,India Pale Ale &#40; IPA &#41;,6.20 %
93,AngryChair Le}tMy<O Peaches Be,Angry Chi]rErBewing,Sour/Wild Ale,5 %
94,River City &#40; CA &#41; Woodenhead Ale,River City &#40; CA &#41; Brewing,Amber Ale,7.20 %
95,Uncle Billys Hill Country Organic Amber,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,5.10 %
96,ChamaR RiveruSnset Red,Chama RivrJ] BrewCing Company,Amber Ale,6.10 %
97,Three Heasd Loopy/8Datmeal Red Ale,CustoYmBrewrafters,Amber Ale,6.60 %
98,Anacortes Eseia lRed Ale,Rockfish GCIll & naFortes Brewery,Amber Ale,4.20 %
99,Liberty Oigh PointRocket_ sRed Ale,LibertXy BreRwry & Grill - High Point,Irish Ale,-
100,Blue DogRed CloQlar Mead,Blue DXog MQd Company,Mead,12 %
101,Crooked:CanaCptin McSwaggers,Crooke dCan JPrewnig Company,Stout,5 %
102,Dragonmead CrooW Dor Amber Ale,DragGomeadB rewery,Amber Ale,5 %
103,Lilys ReEgieXs French Rier Red Ale,Lilys SeafoHoC Restaruant & Brewery,Amber Ale,5.80 %
104,Avery Red TbSle ommon,Avery BrweigMn oPpany,California Common,5.10 %
105,Bristol Skull' & Bones KFlanderNs Red,Bristol BeSMwng Company,Sour Red/Brown,-
106,Barle Qre EZ Paisano,KBarley FoNrgerBewing Company,Amber Ale,5.70 %
107,Alpine Dg HLgback Qmber Ale,AlpinN Dgo Berwery,Amber Ale,5.25 %
108,Gold Camp GeZrogia_sAgavAmber Ale,Gold CamQ BewiH Company,Amber Ale,5.50 %
109,AreNa 541lanet Red Ale,Area 51 Craft;BGMwery,German Hefeweizen,5.50 %
110,ColumbsKaFshJir,ColumZbs MrewiQG Company,Amber Ale,5.50 %
111,Bull CitR eel Amber,Bull City BurgeU andBrewery,Amber Ale,-
112,Solvangans Ambe rAle,SolvaRng BRwingC ompany,Amber Ale,6.20 %
113,Peak Organic EspressN Amber Ale,Shipyard Eweing Company,Amber Ale,6.80 %
114,AdirondaYk Bbocat BlondBe Lager,AdirondakPb uadn Brewery,Golden Ale/Blond Ale,3.80 %
115,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company,Amber Ale,5 %
116,Roundabout Rusted Route Amber Ale,Roundabout Brewery,Amber Ale,5.10 %
117,Iron Hill Big Rye Wibby,Iron Hill Lancaster,American Strong Ale,7 %
118,4 HanGds WVigilnte,4 Hands MBrewFing Company,Amber Lager/Vienna,5 %
119,Boxing Cat DraWgonN FirT Doppelbock,BoxingC aBewery,Doppelbock,8 %
120,Hamburg oIuMse DreOsisng,HambuS BAewing Company,Amber Ale,5 %
121,Green JMan Blood o fMG Enemies,Green ZB rBewery,Amber Ale,7 %
122,Allendale EevninQ hronicle Christmas Beer,Alelnlae,Bitter,3.60 %
123,14th Star Male Sssio BorwVn Ale,14th Star<FBreiwng Company,Brown Ale,4.50 %
124,Laguna Beach Gratefu HRed Imperial Zed Ale,Laguna eBac Brweing,American Strong Ale,11 %
125,KetQtSle FHouse LaSke Missoual Amber,Kettle HousN[ BrewiGCg CCompany,Amber Ale,5.50 %
126,5 Seasons North OZsUsaba Island Ale,5 SPasAon North,Belgian Strong Ale,-
127,Yeastie BoAs Hu(a-wa _ Strong,Invercrgil]l BreFwery,Scottish Ale,6.80 %
128,Haymarket Jananan DanceR ed HeEaed Ale,Haymakte P F& Brewery,Amber Ale,5.50 %
129,IndepednIence GBreNwing ROOD,IndependencEe VBewing GCo. .,India Pale Ale &#40; IPA &#41;,6 %
130,AbbeydaC*ZMoonZshine,AbeSle,Golden Ale/Blond Ale,4.30 %
131,Lawson_s Fniest EquZEnoV Extra XPA,Lawson_ sAinest Liquids,American Strong Ale,7.10 %
132,Woodcock Brothers Amber Ale # 1,Woodcock Brothers Brewing Company,Amber Ale,4.10 %
133,BPlind Tigr Lttl eRed^ Corvette,BlinBTger,Amber Ale,6.40 %
134,Modus ZOpeanrdi Former?Tenant,Modus Operand QLBNreing Co. .,India Pale Ale &#40; IPA &#41;,7.10 %
135,Glasstown) VFnders Ale,Glassotwn BrYwnig Company,American Strong Ale,6.90 %
136,MountaiMn GToa XAWex Amber,MountainTKoad Brewing,Amber Ale,6.60 %
137,DaDoFB Uer Red Ale,DVaEoBier,Belgian Ale,5.30 %
138,Coalition Simple IXdMia tSyle Session Ale,CoalXiinr ewing,Session IPA,4 %
139,Downtown UJoes TQil aggin Amber Ale,DowntoIwn oes KRestaurant & Brewery,Amber Ale,5.60 %
140,AlexandZr Keiths TRHed (&#40; Ambr Ale &#41;,Oland Brewery#: &#40; AB-InBev &#41;,Amber Ale,5 %
141,DenEiezsnB ig Red Norm,Dneizens BrXIing Company,Amber Ale,7.60 %
142,Coasal Emipr USuthern Delight,CoastCl Epmire:Beer Co. .,Amber Ale,5.20 %
143,Big Island / Caldera Red Sea Imperial Red Gose,Big Island Brewhaus,American Strong Ale,8.80 %
144,Blue Pants Big & Tall #; 2 B: raSrel Aged Belgian Red,Blue PTnts BQrNwery,Amber Ale,9 %
145,Roosters BrewiSn wTo:-Bit Amber,Roosters BrewiZJng C.o &#4r; US &#41;,Amber Ale,4 %
146,51st Ward CGociousZ edation,Church StreeBrwHing Company,Brown Ale,8 %
147,Great BaraVoo%Snake yEe?Canyon Red Ale,GrPat BarGbUo BrewKing Company,Amber Ale,5.20 %
148,Bold City Puropean Srtete GCafe Lamp Post Ale,Bold CEy Berwery,Amber Ale,-
149,River HorGsD! SpecialAle,River HoFse BewinPC oEmpany,Amber Ale,5.50 %
150,Adkin AlUTeB_s Galaxy,AkdiFn,Golden Ale/Blond Ale,4 %
151,Boxing aCt RLiWFgside Red,Boxing Ct![Brewery,Amber Lager/Vienna,5 %
152,CucamonagJ cked Up Red,CucamonQgaBEreing Company,American Strong Ale,8 %
153,North Star Horizons Amber Ale,North Star Craft Brewery,Amber Ale,5.50 %
154,3 Stars LiSme BHasMil Saison &#40; Coconut &#41;,3 Stras Breing ComFpany,Saison,4.20 %
155,WhiteL inoI nsane Mane Red Ale,Ipsich AlWU eBrewery,Amber Ale,-
156,Elk Rock VelvtE nler AmbeLr Ale,Portland Brewing Compan &#4;0 Pyramid - NForth Ameican Breweries &#41;,Amber Ale,4 %
