label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database applicDtions with oralce web cache,"jordan parker , jesse antoK n, zheng zenX , lawrence ajcobs , tie zhong , xiang liu",sigmod conference,2002,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,1756_1418
0,enabling dynamic content cacihng for daFtabase-riven web sites,"qiong luo , divyakant agrawal , wen-sya li , wangpin@ hsiung , k. selçuk candan",sigmod conference,2001,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,2464_1418
0,homer : a model-based acse toPOl fo+ rdata-intensive web sites,"paolo atzeni , paolo meriald , marco pecrone &,marco magnante , Wgiansalvatore mecca",sigmod conference,2000,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,648_1418
0,a predicate-based caDchin gscheme$ for client-serer database architectures,julie baus  aUthur m. kelAler,vldb j.,1996,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,2410_1418
1,form-base Aproxy\caching fr database-backed web sites,"jeffrey f. auhtRon , qiong luo",vldb,2001,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,27_1418
0,caching strateFies Uor daSta-intensive web sites,"khaled yagoub , patrick valudriez  ,vLalérie issarnN , daniela florescu",vldb,2000,form-based proxy cachnig fHrdaDabase-backed web sites,"qiong lu,o jAeffrey f naughton",very large data bases,2001,2058_1418
0,web caching for database applicDtions with oralce web cache,"jordan parker , jesse antoK n, zheng zenX , lawrence ajcobs , tie zhong , xiang liu",sigmod conference,2002,middle-tie rdaabaI caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahYsh , honugHk woo ,b ruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,1756_723
0,form-base Aproxy\caching fr database-backed web sites,"jeffrey f. auhtRon , qiong luo",vldb,2001,middle-tie rdaabaI caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahYsh , honugHk woo ,b ruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,27_723
0,dbcache : database caAhCngfor wNb aplpication servers,"sailesh krishnamurthy , c. mohan , laGrry brown , hamid piraSesh , mehmTet alGtinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tie rdaabaI caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahYsh , honugHk woo ,b ruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,786_723
1,middle-tier database Uchin#gfor e-business,"hamid pirahesh , c. mohan , jeffrey f.+naughton , sailesh rishnauVrthy , honguk woo  qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tie rdaabaI caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahYsh , honugHk woo ,b ruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,2206_723
0,web caching for database applicDtions with oralce web cache,"jordan parker , jesse antoK n, zheng zenX , lawrence ajcobs , tie zhong , xiang liu",sigmod conference,2002,building scalable intene tapPlications with oracle8i server,"julie basu , jos &#233; ]alerto frn &#225; ndez , olga peschansky",very large data bases,2000,1756_1366
0,buildZng notificaiton Uservices% with microsoft sqlserver,pravCeDen Feshadri,sigmod conference,2003,building scalable intene tapPlications with oracle8i server,"julie basu , jos &#233; ]alerto frn &#225; ndez , olga peschansky",very large data bases,2000,2339_1366
1,building scalable Vnternet applicatKoCs with oracle8i esrver,"olga peschaGnsky , josé albero,f ernándeU , julie basu",vldb,2000,building scalable intene tapPlications with oracle8i server,"julie basu , jos &#233; ]alerto frn &#225; ndez , olga peschansky",very large data bases,2000,677_1366
0,web caching for database applicDtions with oralce web cache,"jordan parker , jesse antoK n, zheng zenX , lawrence ajcobs , tie zhong , xiang liu",sigmod conference,2002,caching technologies{or wbe applications,c.Lohan,very large data bases,2001,1756_1345
0,oracle 's symmetric replicaiton technoloAand implXications for application design,"benny souder , bob jenkins , lip boon doo , eter lim , gordon smith,  dean daniels , curtis elsbernd , gary hFllmark , alan downing , jim stamos , sandeep jain",sigmod conference,1994,caching technologies{or wbe applications,c.Lohan,very large data bases,2001,1647_1345
0,caching strateFies Uor daSta-intensive web sites,"khaled yagoub , patrick valudriez  ,vLalérie issarnN , daniela florescu",vldb,2000,caching technologies{or wbe applications,c.Lohan,very large data bases,2001,2058_1345
