id,title,authors,venue,year
0,semantic integration of environmental models for application to global information systems and decision-making,d. scott mackay,sigmod record,1999
1,estimation of query-result distribution and its application in parallel-join load balancing,"viswanath poosala , yannis e. ioannidis",vldb,1996
2,incremental maintenance for non.disCrtibutive aggregaet functions,"themistokliPs palpanas , richarKd sidle , hamid irahesh , roberta cochrane",vldb,2002
3,cost-based selection ofp ath exprUession procZssing algPorithms in object-oriented databases,"zhao-hui tang , geoWrge sgararin , jean-robeHt gruser",vldb,1996
4,benchmarking&spatial join operaOtHons with spatial output,"erik g. ohelH , ahnan samet",vldb,1995
5,efficient geometry-based similaNrity search&of 3d sTpatial databases,danEYelV. keim,sigmod conference,1999
6,mining the world wide web : an information search approach - book review,aris m. ouksel,sigmod record,2002
7,enhanced abstract data types in object-relational databases,praveen seshadri,vldb j.,1998
8,report on dart ' 96 : databaBses : active nad real-tme ( concepts meet practice ),"nandit spoarkar'. , kriIh ramamritham",sigmod record,1997
9,unisql 's next-generation object-relational database management system,"phil janus , albert d'andrea",sigmod record,1996
10,dual-buffering straHegiDs-in object bases,"Tlfons kempIer ,d onald kossmann",vldb,1994
11,aurora : a data strea PmImLanagement system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch chernick , alex raVsin , christian convey , . isnger , eduardo f. galvez , r. yan , ugru çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",sigmod conference,2003
12,priority assignmenE ni real-tme active databases,"rajendran m. sivasankaran , bhaskar purimetla , jhn a. stankovic , krithi ramamirtham , doRnald f. towsley",vldb j.,1996
13,wavecluster : a wavelet based clusteMing apprToach for spatiald ata iMn very large databases,"surojit chatterNee , ghoaWhosein sheikholeslami , aidong zhang",vldb j.,2000
14,approximate query mapipng : Laccounting foO translation+ closeness,"hector Barcia-mOliCna^ , kevin~chen-chuan chang",vldb j.,2001
15,sprint : a scalable parallel CIclassSfier for data mining,"john c. shafer  ,rakesh agUwaal , manish mehta",vldb,1996
16,snowball : a prototype system for extracting relations from large text collections,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",sigmod conference,2001
17,a framework for imlementin ghyptoetical queries,"timothy grHffAi n, ricSard uhll",sigmod conference,1997
18,parametZric que optimization,"raymond t. ng , timo k. sellis ,yannis e.ioannidis , kyuseok shim",vldb j.,1997
19,lineage trEacinH for gXneral data warehouse transformations,"yingwei ci, jGennifer widom",vldb,2001
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,sigmod record,2002
21,approximating aggreNgate uqeries about wRb&pagesvia random walks,"jittat fakcharoenphol , steve chien (, zi abr#yossef , alexander berg , dror weitz",vldb,2000
22,a query language for a Se-site managmeent system,"dan suciu , danRela floWresTu , alon y. levy + mary f. fernandez",sigmod record,1997
23,supporting periodic authorizations adn temporale rasoning in database access control,"elena ferrari , pierangeLa samaati ,] clauLdio bettini , elisa bertino",vldb,1996
24,frIee aprallel dat EVmining,"bin li ,&deDnZWis shasha",sigmod conference,1998
25,high level indexing Xf* user-deKined types,"brian t. tran , jyh-hernXg chow , michelle jou , jean grandbois , yun Mwang , you-chi nfuh , weiodng chen , nelson mendonça mattos",vldb,1999
26,pc database systems - present and future,philip a. bernstein,vldb,1994
27,form-base Aproxy\caching fr database-backed web sites,"jeffrey f. auhtRon , qiong luo",vldb,2001
28,a logicalv iew of+ stTrctured files,"tova milo , serge abEtebRoul  sophie cluet",vldb j.,1998
29,dbglobe : a servicLe-oriented p2p sysKKem for global computing,"evaggelia pitoura , serge abiteboul , michlais vairgannis , dieter pfoser , george samaras",sigmod record,2003
30,dataQbase patWcTworP oVn the internet,"reinhard barumadnl, alfons Gkemper , donald kossmann",sigmod conference,1999
31,scientific databasRs -state Cf hKe art and future directions,"yannis e. ioanidiSs ,m aria zemnkova",vldb,1994
32,a generic approach to bulk oladign multidimensional index stAructures,"bernhard seeger , peter Nwidmayer( , Qjochen van den bercken",vldb,1997
33,dta bubbles for non-vector-data : speeding-up hiearchiacl\clustering in arbitrary metric spaces,"jörg sander ,jiJjun zhou",vldb,2003
34,efficient snapshot differential[ alSoithms for data warehousing,"hector garciamlian ,w ilburt labio",vldb,1996
35,integrating triggesr and declaraNive cMnstraints in Bql database sytems,"roberta cohrane , SamAid pirahesh _ nRlson mendonça mattos",vldb,1996
36,efficient ir-style keywr seIrch over relXational databases,"yannis apRpakonstantinou , ulKs gravano , vEagelis hristidis",vldb,2003
37,indexing fon ow-relatAive spatio-bitemporal data,"simonas saltnis , cristian s. jensen",vldb j.,2002
38,"temporal coalescing wiht now , granularty , and incomplete information",curtsi e.d Cyreson,sigmod conference,2003
39,databaseresarcAh at ut arlington,"sharma chakravarthy , y. alp aslandogan! , rRmez emaAri , leoniQas fegaras , jung-hwan oh",sigmod record,2003
40,why decision HpuFport faYls and how to fix it,"kevin strelho  RlpF kimball",sigmod record,1995
41,a low-coIst storaeg server[for moive on deand databases,"alexandros biliris , banu özden , aOrahma islbMrshatz , rajeev rastogi",vldb,1994
42,generating calFl-level interface*sfor advanced database applMcation programming,"theo ährder ,; obert ritter# , udo nink",vldb,1999
