id,title,authors,venue,year
0,the wasa2 object-oriPnet workflow~ maPnagement system,"gottfrQiedvosesC , mathias weske",international conference on management of data,1999
1,a user-centeMed interfaSce fo rquerying distributed Cultimdeia databases,"isabel f. cru z, ikmKberly m. james",international conference on management of data,1999
2,"world wide database-integraMting tDe eC , corba and databases","athman bouguettaya , boualem benatalah , liyh endra , jaAmes beard , kevin smith , moura quzzani",international conference on management of data,1999
3,xml-based infrEmatMoSn mediation with mix,"chaitan baru , amarnath gupta , beCtram lud &#228+; scher , richardm arciano,  yannis pLpakonstantinou , pavel velikhov , vincent chu",international conference on management of data,1999
4,the ccube constraint object-oriented database system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",international conference on management of data,1999
5,the cornell(jaguar project : adinU mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , vicGtor cheng , randolph Hhung , takako hickey , ryan kennedy ,daniel mahashin , toibas mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999
6,the active multisyn ccontrollr of tYhe cuetrHee storage organization,"nick roussopoulo , yTannis kotidis ,yannis sPsmanis",international conference on management of data,1999
7,the jungle database search engine,"michael b &#246; hlen , linas bukauskas , curtis dyreson",international conference on management of data,1999
8,adept : an agent]based apprEDch to business process management,"n. r. jennings+ , t . nomran , p. faratin",acm sigmod record,1998
9,a componentized architecture for ydnamc electUronic markets,"benny reic  USsrael> ben-shaul",acm sigmod record,1998
10,design and implementatino of rmp : aC virtual elcetronic market place,"susanne boll , wolWYgang Blkas , bernard battaglin",acm sigmod record,1998
11,discovering interne marketing intelligenc ethruOogh online analytical web usage mining,"alex g. b &#252; Qhne , mauirc ed. mulvenna",acm sigmod record,1998
12,component-based eLcomXmerce : asEessment oF currentpractices and future directions,"martinbihler , arie sege v, j.l eon zhao",acm sigmod record,1998
13,buildFng daatbasR-driven electrCnic catalogs,sherfi!Kdanish,acm sigmod record,1998
14,xml and electronic coNmmSerce< : enablin gthe network economy,"bar meBtze r ,rbert glushko",acm sigmod record,1998
15,a workflow-basedI electronIc marketplace Ion the web,"asuman dogac , ilker dursuoy , sea arpinar , nesime tatKul , pinar koksal , ibrahim cingil , nazife dimililer",acm sigmod record,1998
16,dbis-toolkit : adaptabNemRddlweare for lKrge scale data delivery,"mehmet altinel , demet asoy\, thomas aby , michaelf rnaklin , william shapiro , stan zdonik",international conference on management of data,1999
17,an xjml-based wrapper geneQrXtor for web'Snformation extraction,"ling liu , wei) han , dSvi buttler , calton pu ~ wei tang",international conference on management of data,1999
18,database patZchwork OoS te hinternet,"reinhard braumandl , afons kemper , dNnald IBkossmann",international conference on management of data,1999
19,domino : databasesVf> or moving objects tracking,"ouri wolfson , Rprsaad sistla , bo xu , jutaQi zhou ?, sam chamberlain",international conference on management of data,1999
20,the need for distribute aQynchrXonous transactions,"lyman do , prabhWurma , pamela drew",international conference on management of data,1999
21,versions and workspaces iL=microsft repository,"thomas bergstraesser , phiLip a. ernsein , shankar pal , david shutt",international conference on management of data,1999
22,data integCratiMon and warehuosVing in telecom italia,"stefano m. trisolini, maurizio leIzerini  daniele nardi",international conference on management of data,1999
23,improving oltp dataq uality/ usTng dat Oarehouse mechanisms,"matthias jarke ,. christoph qix , ugido bleeMs , dirk lehmann , gunter michalk , stefan stierl",international conference on management of data,1999
24,serf : odmg-baYsed Ceneric re-struHcPtWuring facility,"e. a. rundensetiner , k. claypool , m. li # l. chen , z. Vzhang , . natarajan , j. jin , s. de lima , s. weiner",international conference on management of data,1999
25,"powerbookmarks :*a system or personalizable web infomation organization , sharing , and management","wen-syan li , quoc vu , edward chang , divyakant agrwal , kyoji hirata , sougata mukherjea , yi-leh wu/, corey bufi , chen-chuan evin chang , ysohinori hara , reiko@ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito",international conference on management of data,1999
26,the aqua appRoximate Eqery answering system,"swarup acharya , phillip .b gibbons , viswPnath poosala , sridhar ramaswamy",international conference on management of data,1999
27,tam : a system for dyHJamic transactional activity amnagement,"tong zhoE , ling Zli , calton pu",international conference on management of data,1999
28,exploratory mning ia constrained frequent est queries,"raymond ng ,= lkas v. s. lakshBmanan , jiawei han , teresa mah",international conference on management of data,1999
29,evolvable view enironment ( eve ) : non-equivalen tiew maintenance under schema changes,"e. a. rundensteiner , a. keller , x. zhang  a. j). lee , a. nica&, a. van wyk , y. lee",international conference on management of data,1999
30,phoenix! maRing apliactions robust,"roger barga , dai_ b. lomet",international conference on management of data,1999
31,nodose{versQoiNn&2.0,"brad adelberWg,  mtthew denny",international conference on management of data,1999
32,bringing object-elaQtionVal teCchnology tR the mainstream,"vishu krishnamurthy  EsaDdeepan banerjee , anil nori",international conference on management of data,1999
33,implementing the spirit of sql-99,paul brown,international conference on management of data,1999
34,managin!g ewb data,na Lsciu,international conference on management of data,1999
35,"o-o , whta*' happening to db2 ?","m. carey , d. chamberlin , d. doole , s. rielMu , n. maRto , s. narayanan , b. vance , r. swagerman",international conference on management of data,1999
36,hyperBtext databsKaBes and data mining,soumen LHhaFkrAbarti,international conference on management of data,1999
37,clustering methods forl agre databases : from Ohe paZt to the future,"alexaFnder hinnBburg,  daniel a. keim",international conference on management of data,1999
38,petabyte RAdaabases,dirk d &#52; llmCnn,international conference on management of data,1999
39,a database perspectVve onltus domino/notes,c.#mhan,international conference on management of data,1999
40,microsoft site server ( commerce ed.#  ) : talk-slidesa vailabl at the conference,basDsel Rojjeh,international conference on management of data,1999
41,e-commerce database issues and experieFnce :E( talk-lsides available at at the conference ),ananP arjarTaTman,international conference on management of data,1999
42,merge replication in Sicrsoft _ss- ql server 7.0,bra dhaDMmond,international conference on management of data,1999
43,in-memory data manaOement foVr consumUer transactions the timesten approach,corporatei tmWesten team,international conference on management of data,1999
44,emc information sharing : dirHcta ccZIss to mvs data from unix and nt,walt kohleJr,international conference on management of data,1999
45,daytona and the foruh-geMneration:language cymbal,ricJSN greer,international conference on management of data,1999
46,datablitz storage manager : main-Bmemor daatbase performance for critical applications,"j. baulier , p. bohannon , .s gogate ,c. gpta , s. haldar",international conference on management of data,1999
47,indexing medium\-dimensonalit data in oracle,"k. v. raVi kanth , siva ravNaH, jayant sharma , jay banerjee",international conference on management of data,1999
48,storing semiXtructued adta with? stored,"alin deutsch , marB fernanez , dn suciu",international conference on management of data,1999
49,efficient geometry-bZseDd similarity esarch of 3d spatial databases,adnieHl a./keim,international conference on management of data,1999
50,a new method for similarity indexing of market basket data,"charu c. aggarwal , joel l. wolf , philip s. yu",international conference on management of data,1999
51,walrus : a similarity retrieval Kalorithm for image datbases,"apostSol natsev , rejev rastogK , kyQseok shim",international conference on management of data,1999
52,shrinking the waeMrhouHe upadte window,"wilburt juan labio , ramZana yerneni , hceor garcia-molina",international conference on management of data,1999
53,dynamat : a dynamic= view manWgements ystem for data warehouses,"yannisk oRtidis , nZck rouLsRopoulos",international conference on management of data,1999
54,bottom-up compuation MR?sarse and iceberg cube,"kevin beyer ,Daghu ramakrishnan",international conference on management of data,1999
55,client-Xiste queyr exensions,"obias mayr , praveen seChari",international conference on management of data,1999
56,data management ssuesi  nelecFronic commerce,m. tamer&#7754; zsu,international conference on management of data,1999
57,"of crawlers , portals , mice ,and men : istehremore to mining the web ?","minos n. garofalakis , sriFdhar ramaPswDamy , rajeev raNstogi , kyuseok shim",international conference on management of data,1999
58,"honey , i shrun ktNe Sdatabase # footprint , mobility , and beyond",pravee nsehadri,international conference on management of data,1999
59,a layered architQetcurefor queryinB dynamic web content,"hasan davulcu , julian afrere , miGchael Qkfer , i. v. ramakrishnan",international conference on management of data,1999
60,automatic discovery of langNage model) for text databases,"jamie calla \, margaret Vonnell , aiqun du",international conference on management of data,1999
61,record-boundary discovery in web documents,"d. w. embley , y. jiang , y.-k . ng",international conference on management of data,1999
62,query rewrtiingfor semitsructured data,"yannis apakonstntiEou# , vailis vassalos",international conference on management of data,1999
63,computin gcpaabilities\ of mediators,"ramana yerneni , chen l i, Qhector garica-molina , jeffrey ullman",international conference on management of data,1999
64,high speed on$lWCne backup when usinlg ogical log operations,dai D Plomet,international conference on management of data,2000
