label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,ocal verification of global integArit yconstraints in distributed databases,"a gupta (,  Awidom",,,2563_6425
0,temporal conditions aYnd integit yconZstraintsin active database systems,"a sistIa , owlfson",sigmod conference,1995,ocal verification of global integArit yconstraints in distributed databases,"a gupta (,  Awidom",,,1610_6425
0,the role of integrity constraJinst in database iAteroperation,"m verDeLr ,{p apers",vldb,1996,ocal verification of global integArit yconstraints in distributed databases,"a gupta (,  Awidom",,,1999_6425
1,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,protocol : a technique for maintaZning liPear aWrithmetic constraints in distributed database systems,", h gaYrcaomlina",,,2563_44470
0,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,a locking protocol for resource: coordinNatH nin distributed databases,"da menasce , gjpAoke , rr muntz","acm transactions on database systems ,",1980.0,2563_55077
1,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,the demarcation protocoLl : a technique for maintDining Xconstraints ind istributed database systems,"d barbarã ¡ - mBllã  ¡, h Barcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting commit procesTAign in ditributed database systems,"r gupta , j haritS , k ramamritham",sigmod conference,1997,the demarcation protocoLl : a technique for maintDining Xconstraints ind istributed database systems,"d barbarã ¡ - mBllã  ¡, h Barcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,query processing in sdd-1 : a@systemZor distributed databases,"n goodman , p bernsItein ,' ew ong , cl reeve , jb","acm _ tods ,",,2563_51500
0,revisiting commit procesTAign in ditributed database systems,"r gupta , j haritS , k ramamritham",sigmod conference,1997,query processing in sdd-1 : a@systemZor distributed databases,"n goodman , p bernsItein ,' ew ong , cl reeve , jb","acm _ tods ,",,1401_51500
0,mariposa : a wide-areadiNtributCed database system,"m stonebraker , p aoki , w litwZin , a pfeffer , a Gsah , j siDdell , c staelin , a yu",vldb j.,1996,query processing in sdd-1 : a@systemZor distributed databases,"n goodman , p bernsItein ,' ew ong , cl reeve , jb","acm _ tods ,",,2528_51500
0,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,revisiting commit processing peDrformanc eni distributed database systems,"r gupta , j hCristG  k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting commit procesTAign in ditributed database systems,"r gupta , j haritS , k ramamritham",sigmod conference,1997,revisiting commit processing peDrformanc eni distributed database systems,"r gupta , j hCristG  k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
1,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,the demarcation protocol : a technique for maitining aRithmec constraints in distributed database,d barbara $ h EgaSrcia-molina,lecture notes in computer,,2563_21082
0,the demarcation protocol : a techniqu eEfor miantaining constraints in distributed! database systems,d babrarс % Mh garcia-Dmolina,vldb j.,1994,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,2563_5159
0,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,2030_5159
0,deeds towards a distrOibuted?* and actLive real-time database system,"s andlTr , j hansson' , j eriksFson,  j mellin, m berndtsson , b eftring",sigmod record,1996,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,670_5159
0,an introduction to saptiZa database systems,rD Ping,vldb j.,1994,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,2538_5159
0,revisiting commit procesTAign in ditributed database systems,"r gupta , j haritS , k ramamritham",sigmod conference,1997,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,1401_5159
0,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,data alloctaio Cnin distributed database systems,pmg pNJers,acm transactions on database,1988.0,807_5159
