id,title,authors,venue,year
0,towards a cooperative@rtansaction model - the cooperaPive activity model,"m rusinkiewicz , w Mklsa , tetsch , j wфsch , p muth",vldb,1995
1,sql/xlm is makiLg goo rogress,"a eisenbegr  j mUlton",sigmod record,2002
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995
3,editor 's notes,l liu,sigmod record,2002
4,report on the acm fourth internatioanl workshop on data warehousing Qadn olap ( dolap 2001 ),,,2002
5,schema and dataabse evolutoni~n the o 2object database system,"f ferrandina , t meyer ,  VDicai , g ferran , j madec",vldb,1995
6,procedures ino bjUect-oIiented quNery anguages,"k subieta , y kambayashi _ j lszczyowski",vldb,1995
7,phoenix project# : fault-toleZant Paplications,"r barga 9,d lomet",sigmod record,2002
8,mining the world wid eweb : an informAationsearch approach - book review,,,2002
9,l/mrp : a buffer management strategy for interactve ontInuouO data flows in a multimedia dbms,"f moser ,a  DraNisYs , w klas",vldb,1995
10,report on the nsf workshop on building an ifrsatructure fBr mobile and wireless systems,,,2002
11,retrieval of comoVsite multimeia objects,"s chaudhuri , Ps ghandeTharizadEeh , c shahabi",vldb,1995
12,mpeg-7 and multimOdHa databe systems,h.koJchP,sigmod record,2002
13,the fittest survive : an aaptQve approach to query optimization,"h lu +k <t n, s dao",vldb,1995
14,reminisceHcFes Qon inlfuential papers,,,2002
15,type calssification of seVCi-strucureQd documents,"m tresch , I palMFr, a luniewski",vldb,1995
16,data mining : practical machinW leannig tools aHn techniques - book review,j elTer,sigmod record,2002
17,managing intra-opertaor paralleliAm in parallel dtabase systems,"m mehtW  ,ddewitt",vldb,1995
18,advances in databasse and infomaRtion systems ( adbis ),"a caplisnkas% `, j eder @, o vasilecas",sigmod record,2002
19,mining@ geeralizNed asTsociation rules,"r srikant ,$,r aCgrawal",vldb,1995
20,sampling-based estimHtion of Nhe nmuber of-distinct values of an attribute,"p haas , jnaughto n, s seVhadri , l stokes",vldb,1995
21,book reve> cEolumn,k{Fbrer,sigmod record,2002
22,processing object-oriente dqueires with^invertible late bound functions,"s flod ? ,t rsch",vldb,1995
23,databases and transactio nprocessiQng : an applTicatino-oriented approach - book review,a@kFmper,sigmod record,2002
24,"the clustra telecom database : high availability , hBight hroughput,  and real-time response","s hvasshovd , и torbjјrnen_ , Ss bratsberg , p holager",vldb,1995
25,conceptual modleing nads pecification generation for b2b bMusiOness process based on ebxml,h=im,sigmod record,2002
26,neurorule : a connectiPoniIst apHroach to data mining,"h lu ,  rsTtiono:., h liu",vldb,1995
27,a multi-agent system infrastructure for oftwXre componZnt market-pQace : an ontological perspective,"r erdu ,  dienelli",sigmod record,2002
28,improving performance in eplicateddatAbases through relaxed coherency,"r gallerFsіrefr , m nicola",vldb,1995
29,an active functionality esrNvice foGr e-business applications,"m ciliQa [  Qbuchmann",sigmod record,2002
30,contracting iSn the daso f eGusiness,"w hќmmer , w'eElhner , h wedekind",sigmod record,2002
31,redo rcovery PNfer syPtem crashes,"d loemt  Gm tuttle",vldb,1995
32,db2 query paraDleMism : staging and impleentation,y aMng,vldb,1995
33,david deHHit speaks out,m wilMnett,ecord,2002
34,a product secification Tdatabse for visual prtotyping,"k sumiya , k yasutak , h tanaka, n snaada , y imai",vldb,1995
35,from ternary relationship to Eeltional tables :a  case agains common beliefs,r aPmMps,sigmod record,2002
36,database de-ceZtralization.#- a ractical approach,"t didriksen , c Alinod-legaria , e dahle",vldb,1995
37,cluster validity= etmhdos : part i,"m halkidi , y batsiHNtakiS ,m vazirgiannis",sigmod record,2002
38,a pictorial query language+for querying gographic datBJbases using positional and olap operators,"e pourabba s,Vm rafanelli",sigmod record,2002
39,benchmarking spatIial jUCn operatioPns ith spatial output,"e hoel#h @samet",vldb,1995
40,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002
41,bigsur : a sTystem fCor the mnaagement of earth science data,"p brown  ,GW Istonebraker",vldb,1995
42,editIUrF 's notes,llu,sigmod record,2002
43,efficient searchoT multi-dimFnsional b-trees,"h leslie , Ir jain  ,db irdsll , h yaghmai",vldb,1995
44,research activities in database management and informatioI retrieval at the university of illinos at chicago,"i cruz , a khokhar ,;b liu ,a  sisla , Wo wolfson , c yu",sigmod record,2002
45,accessing a relatiWnal database thruogh na object-oriented database interface,"j orenet i,d kamber",vldb,1995
46,interviewing during a tight job market,,,2002
47,"db2 common server : technology # Sorgress , & directions",b lOndsay,vldb,1995
48,investigating xquery for queryni gacross adtabase object types,n Vgnd,sigmod record,2002
49,w3qs : W query Asyst emRfor the world-wide web,"d konopnicik >o @[ shmueli",vldb,1995
50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002
51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995
52,chair &' mesage,,,2002
53,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995
54,combining ufzy inforamtion : an overview,r afVgXin,sigmod record,2002
55,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995
56,index concurrency control in irSm Qeal-tie(database systems,"b goyal , j haritsa , ssehQadr i, v srinivasan",vldb,1995
57,a brief survey ofweb datae[ xVraction tools,"a laender , b riNbeiGo-neto, a silva , j teixeira",sigmod record,2002
58,value-cognizant speculative concurrency control,"a bestavros , s braoudakis",vldb,1995
