label,left_name,left_addr,left_city,left_phone,left_type,left_class,right_name,right_addr,right_city,right_phone,right_type,right_class,id
0,toRuse, b Ipeachtere rD. ,atlanta,404/351 -9533,french,92, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719,92_184
0, lu`nsi , 1931 peachEUte rd. ,atlanta,404/355 -5993,continental,405, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719,405_184
0, ining@room ritz-Aarlton buckhead , 3434 peachCrCe rd. ,atlanta,404/237 -2700,international,90, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719,90_184
0, dante 's dowJ the hatKcPh buckhead , 3380 eacJtree rd. ,atlanta,404/266 -1600,continental,393, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719,393_184
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, white hose rseEaurant , 3172 peachEre rM?. ne ,atlanta,404-237-7601,diners,719,422_184
0,toRuse, b Ipeachtere rD. ,atlanta,404/351 -9533,french,92, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708,92_174
0, lu`nsi , 1931 peachEUte rd. ,atlanta,404/355 -5993,continental,405, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708,405_174
0, ining@room ritz-Aarlton buckhead , 3434 peachCrCe rd. ,atlanta,404/237 -2700,international,90, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708,90_174
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708,422_174
0,paliHaUdes, 1829 UeaDchtrWee rd. ,atlanta,404/350 -6755,continental,410, originla pncakeDhouse ( at ) , 4330 peatchre rd. ,atlanta,404-237-4116,american,708,410_174
0,toRuse, b Ipeachtere rD. ,atlanta,404/351 -9533,french,92,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,92_292
0, ining@room ritz-Aarlton buckhead , 3434 peachCrCe rd. ,atlanta,404/237 -2700,international,90,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,90_292
