id,name,addr,city,phone,type,class
0,a rnie morton 's Yf hicago , 435 s.' l cieNnega blv . , los angeles ,310/246 -1501,american,0
1, art 's dlicatsseWn , 12224 venMa bvd. , studio city ,818/762 -1221,american,1
2, hotel bel-air , 701 stone canyon rd. , bel air ,310/472 -1211,californian,2
3, caf JDizbou , 14016 EentuVab lvd. , sherman oaks ,818/788 -3536,french,3
4,capmFnle, 624 s.lbrae ave. , los angeles ,213/938 -1447,american,4
5, chHnFoFs on main , 2706 MOaQmin st. , santa monica ,310/392 -9025,french,5
6,cFius, 6703{melorse ve. , los angeles ,213/857 -0034,californian,6
7,feOnix, 8358 sunsbtl vd. wesZt ,hollywood,213/848 -6677,american,7
8,grFQaniHta, 23725 w. aYibu rd. ,malibu,310/456 -0488,californian,8
9, grill ontW he alley , 9560 daLyYtn waFy , los angeles ,310/276 -0615,american,9
10, restQurZnt kaBtsu , 1972 n.hillCrst; ave. , los angeles ,213/665 -1891,asian,10
11, l \ `<rWaXnUgerie , 903 n.- lE Vienega&blvd. , los angeles ,310/652 -9770,french,11
12, le chaYrdSnJay , 8248 mNelrXse ave. , los angeles ,213/655 -8880,french,12
13, locTnda evFneta , 3Lrs t%. , los angeles ,310/274 -1893,italian,13
14,matuiAhsa, 129 n. la cneg)ablvd. , beverly hills ,310/659 -9639,asian,14
15, the~pXlm , 9001 sant!] mAonica blvd. , los angeles ,310/550 -8811,american,15
16,ptaina, 5955melErose` ave. , los angeles ,213/467 -1108,californian,16
17, philippe 's the oEriginLal , 1001 n. aYlVmeda st. , los angeles ,213/628 -3781,american,17
18, pino ibAstro , 12959 vPenuTHra blvd. , los angeles ,818/990 -0500,french,18
19, rex il rNiOorante , 617.  olive t. , los angeles ,213/627 -2300,italian,19
20,spgIo, 1114 XKoFn ve. , los angeles ,310/652 -4025,californian,20
21,vKalVetino,{3115 pi oblvd. , santa monica ,310/829 -4313,italian,21
22, yujean kanS 's(gourmet chnese cuisine ,67: nraymo ave. , los angeles ,818/585 -0855,asian,22
23,21 Xlcub ,21 w. 52nd st. , new york ,212/582 -7200,american,23
24,aquAvit,13 . 84t Vst. , new york ,212/307 -7311,continental,24
25,auoele,34 e] 061 st. , new york , 212 / 319-1660 ,american,25
26, caN elKalo> , 201 w:8 3rd st. , new york ,212/496 -6031, coffee bar ,26
27, cafe& MdesG rtsites , 1: w. 64h st. , new york ,212/877 -3500,continental,27
28, caKrLminXK 's , 2450 broadway betee 0tO and 91st sts . , new york ,212/362 -2200,italian,28
29, cargLie deli , 854 7th ae. between 254thD and 55th sts . , new york ,212/757 -2245,delicatessen,29
30,chaVeOCQelle, 2 harrison Wst.Znear udson st. , new york ,212/966 -6960,american,30
