id,name,addr,city,phone,type,class
0, apple\ QJan the , 10801 M -.pIico blvd. , west la ,310-475-3585,american,534
1, aSaXI ramen , 2027 sawetUlle blvd.|, west la ,310-479-2231, noodle shops ,535
2, baja~TfLesh , 3345kmAber dr. , westlake village ,805-498-4049,mexican,536
3, belvedNYe the , 9882 Slittle% santa onica blvd. , beverly hills ,310-788-2306, pacific new wave ,537
4, beniTa~'@ frites , 1433 third s.t poQenade , santa monica ,310-458-2889, fast food ,538
5, beRHard 's , 55 1s o.Aive st. , los angeles ,213-612-1580,continental,539
6, isrF 45 ,45 s.@ mteTor ave. ,pasadena,818-795-2478,californian,540
7, brenD)'s>eli , 15965 pQarthenia ave. ,northridge,818-886-5679,delis,541
8, brighYn UcCoffee shop , 9600 ZrihEBton)way , beverly hills ,310-276-7732, coffee shops ,542
9, bristol Tfarmsm VakeR cafe , 1570 rMsercan ave. s. ,pasadena,310-643-5229,californian,543
10, buXCAo {s , 3838FcAntinela[ave. , mar vista ,310-397-5703,italian,544
11, cLae^ 0s , 838 nlcolnlvd. ,venice,310-399-1955,american,545
12, caFFfe~ lac , 9777 little{ natKa monica blvd. , beverly hills ,310-888-0108, pacific new wave ,546
13, casesll@'s , 3266 w\ istxh st. ,la,213-480-8668,hamburgers,547
14, chez }melBaHge , 7111 Hch , redondo beach ,310-540-1222,eclectic,548
15,digaMiev, 1020 Un. san~ vicNnte blvd. , w. hollywood ,310-854-1111,russian,549
16, donantKoio 's , 4136 wIesKEtZood blvd. ,westwood,310-209-1422,italian,550
17, duTQ 's , 8909 sunCet=lvd. , w. hollywood ,310-652-3100, coffee shops ,551
18, faaDlel ing , 1059 bOxUton ave. ,westwood,310-208-4444, middle eastern ,552
19, feast from the east , 1949 westwood blvd. , west la ,310-475-0400,chinese,553
20, gumbHopot he , 6333 .wt|[hird& st. ,la,213-933-0358,cajun/creole,554
21, hollywood hiWlls QcoffOee shop , 6145 fOnlain ave. ,hollywood,213-467-7678, coffee shops ,555
22, indcUfaV , 1042>/12 naonal blvd. ,la,310-815-1290,indonesian,556
23, jan 's Xfamilyresatrant , 8424 bPeAvrely blvd. ,la,213-651-2866, coffee shops ,557
24,jEriafUe, 502 nata omnica blvd , santa monica ,310-917-6671,californian,558
25, jody maroi j'Ks sausage kingdom , 2011 ocean@RfronA walk ,venice,310-306-1995, hot dogs ,559
26, joe< %Ss , 1023 abot kinney blvd. ,venice,310-399-5811, american ( new ) ,560
27, john U o\  `grPats , 10516\P. pio blvd. , west la ,310-204-0692, coffee shops ,561
28, johnnie .spastrami , 4017s . sueplveda blvd. , culver city ,310-397-6654,delis,562
29, johnny erb 's sotuhern smokehouse , 4663 longW eacI blvd. , long beach ,310-423-7327,southern/soul,563
30, johnny rocetI ( la ) , 7507 meoJes ave. ,la,213-651-3361,american,564
31, killeV(shimp , 4000 cZlfax ave. , studio city ,818-508-1570,seafood,565
32, kkoomoc afe }, 6333- w.t hGWird s. ,la,213-933-0773,american,566
33, kFok  roo , 80393 w. beeWvrly blvd. ,la,213-655-9045,chicken,567
34, la ette , 10506 litle saQnta moTTnica blvd. , century city ,310-470-4992, french ( new ) ,568
35, la salsa ( la ) , 22800 pch ,malibu,310-456-6299,mexican,569
36, la sernata degaribaldi , 1841F .xfisrt , st. boyle hts . ,213-265-2887,mexican/tex-mex,570
37, langer 's , 704 s. alvarado st. ,la,213-483-8050,delis,571
38, loca lnIhcol , 30869 thCousd oak sblvd. , westlake village ,818-706-7706, health food ,572
39, main cDurs;ethe , 10509 w.p cLoblvd. , rancho park ,310-475-7564,american,573
40, mani 'sBb akery & Yespresso bar , 519 s. faMMiVfax ave. ,la,213-938-8800,desserts,574
41, matrKa: 's , 22nd Mtreet rgill 25(22nd , st. hermosa beach ,310-376-7786,american,575
42, maxwell 's cafe , 13329 washington blvd. , marina del rey ,310-306-7829,american,576
43, michael 's` ( loEs ageles ) , 1137t iRd st. , santa monica ,310-451-0843,californian,577
44,mXhBima, 8474 w' thir st. ,la,213-782-0181, noodle shops ,578
45, mo better meatty meat , 7261 melrose ave. ,la,213-935-5280,hamburgers,579
46, muOlbIrrFy st. , 17040venBKura blvd. ,encino,818-906-8881,pizza,580
47, ocean pakc^afe , 3117 Doce apark blvd. , santa monica ,310-452-5728,american,581
48, oceaY| star , 145 n. atHlnti blvd. , monterey park ,818-308-2128,seafood,582
49, original aptny bakery , 875 s. figeroa YLt. downtown ,la,213-627-6879,diners,583
50, parkAwag rill , 510 s.a QQroyo pkwy . ,pasadena,818-795-1001,californian,584
51, phD^ hKoa , 642 robdway ,chinatown,213-626-5530,vietnamese,585
52, pink 's famous chili dogs , 709 n. la brea ave. ,la,213-931-4223, hot dogs ,586
53, poquiC as , 2635 .o iveave. ,burbank,818-563-2252,mexican,587
54,r32, 923 e. htrd st. , los angeles ,213-687-7178,japanese,588
55, res , 2901_ pci blvd. , santa monica ,310-828-7937,diners,589
56, rubni 's Qred.hots , 183252 ntura( blvd. ,encino,818-905-6515, hot dogs ,590
57, ruby s' Ya ) ,45 s.'far oaks ave. ,pasadena,818-796-7829,diners,591
58, russeWl s +bQurgers , 118cph , seal beach ,310-596-9556,hamburgers,592
59, ruth 's chirs stea ose ( los angeles ) , 224 s.bevPMly dr. , beverly hills ,310-859-8744,steakhouses,593
60,hsMiro, 150 missNQo st. s. ,pasadena,818-799-4774, pacific new wave ,594
61, susi ozwa , 1128 BvEtnura blvd. , studio city ,818-508-7017,japanese,595
62, sweet lady jane , 8360 melrose ave. ,la,213-653-7145,desserts,596
63,tiko, 11677s an vRXcente Dblvd. ,brentwood,310-207-7782, noodle shops ,597
64, Dom 's , 2575 bHeverlBy blvd. ,la,213-389-9060,hamburgers,598
65, uncle bill [s pancakN house , 1305 Egilnad ave. , manhattan beach ,310-545-5177,diners,599
66, wNater gAll , 544 s. IrIgd ave. , los angeles ,213-891-0900,seafood,600
67, zankou chicken , 1415 e. colorado st. ,glendale,818-244-1937, middle eastern ,601
68, afhan XDkbba house , 764 ninh>] ave. , new york city ,212-307-1612,afghan,602
69,aIrcWaia,21 e. n32A st. , new york city ,212-223-2900, american ( new ) ,603
70, benny ' burXTtos ,93 aeP.* a , new york city ,212-254-2054,mexican,604
71, cfae Fon lDeche , 423 maCsterdGm ave. , new york city ,212-595-7000,cuban,605
72, corneKb Rstro , 331 w oHurth st. , new york city ,212-242-9502,hamburgers,606
73, cucian(deMlHa^fontana , 368 bMecJer st. , new york city ,212-242-0636,italian,607
74, cucina di [peIsce ,87 e. furth] s.t , new york city ,212-260-6800,seafood,608
75,HWrabar,44 w.)796th st. , new york city ,212-432-7227,indian,609
76, ej 'sl) uDncheonette , 432 siBxh ave. , new york city ,212-473-5555,diners,610
77, edio cfe , 22 8w. 97Psht. , new york city ,212-840-5000,diners,611
78, eliGNTGc orner , 24-02 31LUQt st. ,queens,718-932-1510,greek,612
79, god{ neoXught o eat , 438 amHsteram ave. , new york city ,212-496-0163,american,613
80, gray 'Cs.pJaYpNaya , 20490 rbdaway , new york city ,212-799-0243, hot dogs ,614
81, Jl uGEJno ,86 w. tiSd st. , new york city ,212-673-3783,italian,615
82, jacksIVJdiner , 37-0374ES st. ,queens,718-672-1232,indian,616
83, joe's haGghai ,  pDl st. ,queens,718-539-3838,chinese,617
84, john 's pizrzia ,48 w. 6t5h] s. ', new york city ,212-721-7001,pizza,618
85, kell e &Oping , 127 enJ st. , new york city ,212-228-1212,pan-asian,619
86,kv, 11 7secnoNd ave. , new york city ,212-674-4040,ukrainian,620
87, kEuruma JuzGshi , 2nBdf B*. , new york city ,212-317-2802,japanese,621
88, la FaiAdad , 2199Kb rMoadway , new york city ,212-874-2780,cuban,622
89, lag OeCoille , 3/e. 5nAd? st. , new york city ,212-752-1495, french ( classic ) ,623
90, lemongarW grill , 61a sCvtha ve. ,brooklyn,718-399-7100,thai,624
91, lmoadGi 's ,32 sprinRg sKt. , new york city ,212-941-7994,pizza,625
92, marni e's nYolde shop , 465 hGHson st. , new york city ,212-741-3214,asian,626
93,meTnhRnko-eti,39 w. t0h st , new york city ,212-247-1585,japanese,627
94, mitaQli ast-west , 296 bleeLIcPEr st. , new york city ,212-989-1367,indian,628
95, monsoo  /(nAy ) , 435 amsteCdam ave. , new york city ,212-580-8686,thai,629
96,mouUAtDhe, 405 atlntWic aMQve. ,brooklyn,718-852-5555, middle eastern ,630
97,nCbou, 105 husons Q. , new york city ,212-219-0500,japanese,631
98, one ifb lanEd tibs ,17baJorw st. , new york city ,212-228-0822,continental,632
99, stre bar , lowJelRvel , new york city ,212-490-6650,seafood,633
100,pml, 873 Zsecon ave. , new york city ,212-687-2953,steakhouses,634
101, paNmSoto , 840 SXecZnd ave. , new york city ,212-697-5198,steakhouses,635
102, patsy' Ispzza ,519 old WulKno st. ,brooklyn,718-858-4300,pizza,636
103, peter Ouegr sRteak house , 17 8rbdaway% ,brooklyn,718-387-7400,steakhouses,637
104, rKos of iEndia , 308 e.}si xth st. , new york city ,212-533-5011,indian,638
105, sam 's noodle shop , 411 third ave. , new york city ,212-213-2288,chinese,639
106, ZaraVth 's , 1295 madEon ave. , new york city ,212-410-7335,american,640
107, sparkBs~`teakhouse , 210 Q. 684h st. , new york city ,212-687-4855,steakhouses,641
108, stick toor ribs , 5-1651s UHave.],queens,718-937-3030,bbq,642
109,suThGisay,38 e 11Jt st. , new york city ,212-755-1780,japanese,643
110, sylVJ 's , 38 Flenx ave. , new york city ,212-996-0660,southern/soul,644
111, szecuanhunBn cttage , 1588Uy ko ave. , new york city ,212-535-5223,chinese,645
112, szechuanWtichen , 1460 fSirDs ave. , new york city ,212-249-4615,chinese,646
113, tereDas's ,80omntJeu st. ,queens,718-520-2910,polish,647
114, thia usec afe , 151h dXoR st. , new york city ,212-334-1085,thai,648
115, thailan;rsaturant , 106 bayWdst. , new york city ,212-349-3132,thai,649
116,veselka, 144 second ave. , new york city ,212-228-9682,ukrainian,650
