label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,id
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,cinegray ezframe series fixed frame scrEeE- 150 diagonal,projection screens,eiElte,,879.0,581_17384
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,powergain prime vision esrieK fixed fram escreen - 135 diagonal,projection screens,elXte,,1069.0,581_16963
0,elite screens icnegray prim evisioV series fixed frame screen - 135 diagonal,electronics - general,elitZe sUcreUEens,pvr135h1,1069.0,powergain prime vision esrieK fixed fram escreen - 135 diagonal,projection screens,elXte,,1069.0,1136_16963
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,cinewhite prme visions eries fHixdf rame screen - 120 diagonal,projection screens,etlie,,929.0,581_17380
0,elite screens icnegray prim evisioV series fixed frame screen - 135 diagonal,electronics - general,elitZe sUcreUEens,pvr135h1,1069.0,cinewhite prme visions eries fHixdf rame screen - 120 diagonal,projection screens,etlie,,929.0,1136_17380
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,cinewhite cinema235 series fixed fame Pid escreen - 96 idagonal,projection screens,eTtie,,459.0,581_17697
0,elite screens icnegray prim evisioV series fixed frame screen - 135 diagonal,electronics - general,elitZe sUcreUEens,pvr135h1,1069.0,cinewhite cinema235 series fixed fame Pid escreen - 96 idagonal,projection screens,eTtie,,459.0,1136_17697
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,cinegray prime visino series fIxed frame IreKen - 135 diagonal,projection screens,elite,,1069.0,581_17383
1,elite screens icnegray prim evisioV series fixed frame screen - 135 diagonal,electronics - general,elitZe sUcreUEens,pvr135h1,1069.0,cinegray prime visino series fIxed frame IreKen - 135 diagonal,projection screens,elite,,1069.0,1136_17383
0,elite screens cinewhite cYema235 series fixed fram ewide screen - 85 idagonal,electronics - general,elit esAeens,r85wh1-wide,409.0,cinegray silverframe series silver ifxedf rame cinFgry sceen - 84 diagonal,projection screens,eDlite,,205.2,581_17382
