id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,RunaCway^Tain,CaXm,Welcome to Cam Country - EP,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,2015 Sony Music Entertainment,3:01,31-Mar-15
1,Tac% 14,OmRi,Me 4 U,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Album Only,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",3:41,
2,Lips? rZe Movin,MegNBM nTrainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
3,I Want a HippoWtamus for hristmas,A Graet BAig>World,I 'll Be Home For Christmas,"Holiday , Music",$ 1.29,"Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",2:20,24-Nov-14
4,CrKFGdit,MeWghanTrFainor,Title ( Deluxe ),"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",2:51,9-Jan-15
5,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
6,Lips ACePrMovin,MeghPnTE rainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
7,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
8,Lips9r NFovin,MeghanT aEnor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
9,rPeect,SelneaEGomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
10,WraHped pU ( ELive ),OlMly urs,Radio Disney Music Awards,"Pop , Music",Album Only,2015 Walt Disney Records,3:01,21-Apr-15
11,Lips ~rAe Movin,Eeghnrainr,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
12,Lips AHr Bovin,MeghUa nMrRainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and BirdFs and Fire ( CHS4 Edit) ) [ ma Feldt & Bloombox Remix ],IA  SOak,Chilled House Session 2015 - Ministry of Sound,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey vs. Ceirc GervSis< ) [ Cedric Gervais Remix ],Lana Del Re y& QedRrcHi Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:34,11-Jul-13
15,Thank You Baby,Krankbrother,Defected Presents Most Rated 2015,"Dance , Music",$ 1.29,2014 Defected Records Limited,6:58,23-Nov-14
16,Ride  (Lyla 's SuYprise#) [* James Lavelle Remix ],LanaUeDl)Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
17,West CoaCs ( MU Gemi ),Lana eD\Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
18,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ],Lana Del Rey & Cedric Gervais,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,"Alternative , Music , Rock",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:47,29-Oct-13
19,TrKIoico,Lana-el ey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
20,Blue eJans ( PenZuni Pison Remix ),LanaP  Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
21,Blue Jeans  PXnQi nPrison Remix ),LanA el Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
22,I Need Somebody Tnoight ( feat . ThKelma Houston  [ Audiowhores Remix ],Joey AWDeYgro,Hed Kandi Ibiza 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,3:08,15-Jul-13
23,This Is WXht&Makes Bs Girls,LanY Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
24,This Is What QaEes YUs Girls,Lan DBNRl^Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
25,Summertime Sadness ( Lana DelRey vs. Cedric Grevais )[  Cedric Gervais SExtended Remix ],Lana' Del Rey&  CedriN Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6:52,25-Feb-14
26,Blue Jeans ( PUnguiH Prison eRmix ),Lana E lRey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
27,Ultraviolence ( HHok ^NSling Remix ),Lana De Rey,Ultraviolence ( Hook N Sling Remix ) - Single,"Alternative , Music",$ 1.29,2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:29,15-Feb-15
28,Blue Jeans (VPenguin PrLiYon Remix ),Laan DD Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
29,West CoastM(K Remix ),Lana DE Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
