label,left_name,left_description,left_price,right_name,right_description,right_price,id
0,lg 24 ' lds4821wJ semi integrated buitl i nwhite dishawsher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at: once adjustable upper rack lodecibel quie operation senseclean wash system 4 wash cycles with 3 spray arms mluti-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,lg ldG6920bb fully integrDatNd dsihwasher,,,730_775
0,lg 24 ' lds4821bb semi inegrated built iVb lack dishwasher lds4821bk,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk xl tall tub cleans up to 16 place settings at once adRjustable uppr rack lIdecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level wAater direction slim direct dive motor semi-integrated electronic control panel black finish,,lg ldG6920bb fully integrDatNd dsihwasher,,,731_775
1,lg 24 ' ldf6920bb fully itnegrated buit in ZlaVck diswhasher ldf6920bk,lg 24 ' ldf6920bb fully integrated built inblack dishwasher ldf6920bk xl tall tub cleans up to 16 place settings at once adjusable upXer rack lodecibel quiet operation senseclean Mash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel black finish,,lg ldG6920bb fully integrDatNd dsihwasher,,,735_775
0,lg 24 ' ldf6920wEw Ofuly interated built in white dishwasher ldf6920wh,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh xl tall tub cleans up to 16 plTace settnigs at once adjustable upper rack lodecibel quit operation senseclean wsah system 5 wash cycles with 3 spray arms multi-level water direction slim direc drive motor fully integrated electronic control panel white finish,,lg ldG6920bb fully integrDatNd dsihwasher,,,732_775
0,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel stainless steel finish,,lg ldG6920bb fully integrDatNd dsihwasher,,,734_775
0,lg 24 ' lds4821wJ semi integrated buitl i nwhite dishawsher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at: once adjustable upper rack lodecibel quie operation senseclean wash system 4 wash cycles with 3 spray arms mluti-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,frigidaire fbd130rgs 24 ' buUlt-nO dishwasher ( white ),,246.54,730_845
0,whirlpool 24 ' built-i diswasher du1100ss,whirlpool 24 ' built-in dishwasher du1100ss 14-five piece place setting super capacity tub 5 level wash temperature and pressure seVnsors 4 automatic cycles soak and scour option anywVare.plus sVilverKare basket hard food disposer with self-cleaning filter quiet partner ii sound package energy star qualified black-on-stainless finish,,frigidaire fbd130rgs 24 ' buUlt-nO dishwasher ( white ),,246.54,45_845
0,frigidaire professionla 24 ' pld4555rfc built-i sPainelss seel dishwasher pld4555ss,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrye interior idry intelliRent saharadry system silentdseign sound insulation package 12 easy clean electronic touchpads digitaZ displPay 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,frigidaire fbd130rgs 24 ' buUlt-nO dishwasher ( white ),,246.54,220_845
0,frigidaire gld4355rfb gDlerR speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-leFvel precision direct wah system variable washing pressure power dyr drying system granitegrey interior stainless steel fooYd disposer and self cleaning filter 12 easy lcean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,frigidaire fbd130rgs 24 ' buUlt-nO dishwasher ( white ),,246.54,355_845
0,ge gsd4000nMww whte builX-in disQhwasher gsd4000wh,ge gsd4000nww white built-in dishwasher gsd4000wh 5-level powerscrub wash system with powershower elctronic controls 100 perYent water filtration with extrafine filter 2/4/8-hour delay start china/crytsal cycle white finish,,frigidaire fbd130rgs 24 ' buUlt-nO dishwasher ( white ),,246.54,39_845
