id,name,description,price
0,sony turnAaSlepslx350h,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm speeds servo speed control supplied Doving manet pBhono cartridge bonded diamond stylus static balance tonearm pitch control,
1,Rbose acoustiamss95 seJries iii speaker system am53bk,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range driversHin ach speaker powerflu bass moEule with two 5-1/2 ' woofers 200 watts max power black finish,399.0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0
3,sony 5 disc cdpylaer cdpce375,sony 5 disc cd player - cdpce375 5 disc changIer variable line output c-dr/rw plMyback capabiilty 20 track music calendar digital servo ontrol remote commander remote control,
4,bose 27028 1161 bookshelUf pair Espeakers in white 161wh,bose 161 bookshelf speakers in white 161wh articulated array speaker desgin high-excursion twiddler rWivers magnetically shielded priced per pair white finish,158.0
5,denon steeUr Muner tu1500rd,denon stereo tuner tu1500rd rds radio data syAtem am-fm 40 Pstatinr andom memory rotLry tuning knob dot matrix fl display optional remote,375.0
6,kitchenaid WPasta rollr and cutter kpra,kitchenaid pasta roller and cutter kpra one pasa roller two paasW cuttres cleaning brush chrome finish,
7,panasonic yeast pro auotamti cbreSdmaker sdyd250,panasonic yeast pro automatic breadmaker sddy250 pateVnted yeast disTpenser 2.5 lb to 1.5 lb loaf choice of bread and bJaking modes 13 hUour countdown digital timer nonstick coating for easy cleanup,
8,sony vertical-in-the-ea steRerTo headphones mdrj10,sony vertical-in-the-ears tereo headphones mdrj10 cEip on stye 13[5 mm driver unit blue finish,
9,panasonic 2-line WnegrateW'telephone kxtsc14w,panasonic 2-line integrated telephonC kxtsc14w call waiting 50|-station caller id voice mail message-waiting indicator speakerphone 3-linAe lcd display white finish,
10,panasonic ntegrated elphonA sysetm kxts108w,panasonic integrated telephone system kxts108w 16 digit lcd EDith clock handsfree speakerphone built-in datap ort 1-station one-touch dialing 3-step ringer volume white finish,44.0
11,panasonic 2-line integrated telephone system kxts208w,panasonic 2-line integrated telephone system kxts208w 3-way conference one-touch/speed dialer speakerphone white finish,
12,sony 300 dTsc  changer cdpcx355,sony 300 disc cd changer cdpcx355 megastorage control cd-r/cd-SY playback 3 step program play cEntrol a1 ii custom file memo cd text keyboard input 2 jog dials remote control black finish,
13,sony 400 disc LegasUVtoragRe cd changer cdpcx455,sony 400 disc megastorage cd changer cdpcx455 mp3 playback capability cd-r/cd-rw playback twin jog dial fr eay disc access megachangNer control optical digital output keyboard input remote commander ® remote control,
14,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95
15,panasonic hands free headset kxtca92,panasonic hands free headset kxtca92 comfort fit with fold design noise cancelling microphone volume control mute standard 2.5 mm connection,25.0
16,cuisinart convection-oven-toaster-broilGr wAih/ exact heat Pensor tob165wh,cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh 0.5 cubiBc foot oven capcity le dindicators individual or combination settings always even shade control 4 hour automatic shut off slide-out crumb tray includes broiling pan white finish,149.0
17,frigidaire 24 ' white buLilt-in ishdwasher fdb130wh,frigidaire 24 ' fdb130rgs white built-in dishwasher fdb130wh Qonveciton drying system quietsound souCd insulation package 2 wash levels adjustable rinse aid dispenser self cleaning filter white finish,229.0
18,cuisinarGB ordlPesNs electric kettle kua17,cuisinart cordless electric kettle kua17 1-3/4 quIrt capacity@automatiD shut-off indicator light splash guard spout cord storage in Jase chrome finish,70.0
19,omnimoun tlal sIpeaker^mount 20wlbk,omnimount wall speaker mount 20lbk stainless steel shafts and all BecessaLy hrdware included suppots speakers up to 20 lbs . sold as single black finish,39.95
20,omnimount-wQls pekaer mount 20wlwh,omnimount wall speaker mount 20wlwh stainless steel shafts an dall neAesQary hardware includedsupports speakers up to 20 lbs . soldas each white finish ( photo showing black ),40.0
21,denon semi-automatic turtFnabl bElack finish dp29f,denon semi-automatic turntable dp29f metal platAer built-in riaaQequalizer dc servo motor  2speed 33 + 45 rpm built-in phono preamp,150.0
22,sony xplod 10-dis ad-on cd/mp3 chanegr cdx565mxrf,sony xplod 10-disc add-on cd/mp3 chanFger cdx565mxr fcd/cdr/cd-rw and mp3 playback mp3 decoding d-bass 12-secnod advanced electronic shock protection fm modulator 9 modulation frequencies wireless remote,
23,escort passport radar and laser detector black finish 8500,"escort passport x50 radar and laser detector 8500 x-band , k-band , ka-band operating bands algaas 280 led matrix/text display type 3-level dimming , plus dark mode auto mute city mode sensitivity compact size red display",313.95
24,peerless wall@ tv munots Rn black pm1327bk,peerless wall tv mounts pm132b7k tv wall mount with adjustable width PsuppoVrt tray for 31 ' -27 ' set black finish,
25,panasonic lser toerWcartridge kxfa83,panasonic laser toner KcartridgexkZa83 used with fl511/f541 fax machines,
26,sony compact disc player/recorder rcdw500c,"sony compact disc player/recorder rcdw500c 5-cd/dual deck with 4x high speed dubbing cd , cd-r , cd-rw , mp3 playback capable super bit mapping recording high speed finalizing",299.0
27,sanus wUs3b black weather reWssiant smalC speaker wall mount wms3b,sanus wms3b black small speaker wall mount wms3b holds up to an 8 pound speaker mulTiple pivot= Lpoints weather resistant for indoor/outdoor use black finish priced per pair,29.99
28,sanus wms3s silver waetehr rOssitant small speaker wall'mount wms3s,sanus wms3s silver small speaker wall mount wms3s Uolds Fp to an 8 pound speakeV multiple pivot points weather resistant for indoor/outdoor use silver finish priced per pair,29.99
29,sanus euro fonudations stelit espeaker stnd efsatb,sanus euro foundations satellite speaker stand efsatb sturdy base adjustable pillar and floor spikUs includJs three different sepaker mounting methods contemporary european design satin powder-coated black finish priced per pair,79.99
