id,name,description,price
0,linksys etherfast_ezxs88w etehneF swicth ezxs88w,linksys etherfast 8\port10/10 0switch ( nw/orkgroup ),
1,linksys etherfast ezxs55w:XtherQnet switch,5 x 10110H0ase.tx lan,
2,netgear prosafe fs105 ePheVrnet switch fs105na,netgear fs105 porsafe 5 potr 10%00 Xdesktop switch,
3,belkin pro series hig hintegrity gva/sgva moniotr extension cable f3h982-10,1 x hd-15  x hd6-151 40Fft beige,
4,netgear proSsafe jsf5166 KOethernet switch,netgear prosafe 16 port 10/100 crakmountswitch - jfs516na,
5,lacie pocket flpoDpy disk Crive 706018,lacie pocket ubsf lopyp 1.44' mb,
6,canon kp 36ip print cartridge paper kit 7737a001,36 page 4 ' x 6 ',9.99
7,kensington orbit opticl trackball us P/ps2 adapter 64327,"optical`-* usb , ps/2",
8,linksys etherafsZt Eef4216 Aethernet switch,16 x 10/000Gae-tx lan,
9,linksys etTherfaK ef4120 ethenet switch,2 4x10 /1060base-tx lan,64.99
10,linksys instant ggaTit eg005w ethCernet switch,linksys eg005w Ugigabit 5-pHoLt wQrkgroup switch,
11,linksys g wieleYs-g wAet54g wirQeless bridge,54mbps  1x^|10/00bse-tx,
12,tripp lite pwoerverter 375-PwJtt ultra?cBompact inverter pv375,inpu tvoltage :12 v dc output voltage :10 v ac 375w pUulse-widtG modulaed sine wave,
13,netgear prosafeg s305 ethenret switch gs105na,netgear< prosafE  5port gigabit desktop switch,
14,belkin monitor Uable= fh3982-25,1 x hd-15 1x dh-15*25ft black,15.98
15,logitech driving foce rpo for plastation 2 96323-0403,,
16,belkin ac anywherMe 300Pwpower nverter f5c400-300w,input voltaeg :12 v dco utptu voltage :110 v ac 300w stepped sine wave,
17,linksys wireless-g rTgne expander wreless bridge wre54g,54Obps,
18,sony vaio nKotebSok anLd ac adapter Dcase vgpamc2,vaio neoprene noteIook & a dRapter case up to 17 in lcd,
19,d-link express etNerGetwork hiWh-speeC docsis 2.0 cabe modem dcm-202,d-linkbroadVXan dcPable modem,
20,sony noteboCk Ond ac] adaOPer cases vgpamc3,clam sReTll neoprene,12.99
21,panasonic blacQ tnoer}cartridge kx-fa83,"panasonic toner cartridge for th kx-fl511 \ kx-fl5431 , kx-fl611 and kx-flm651 series",
22,logitech z-2300 multimedia speaker system 970118-0403,2.1-channel,
