id,title,authors,venue,year
0,semantic integration of environmental models for application to global information systems and decision-making d. scott mackay,,sigmod record,1999.0
1,estimation of query-result distribution and&its aFplication in paralJlel-join load balancing vldb 1996,"viswanath poosaFa ,yaGnnise. ioannidis",,
2,incremental maintenance for non-distributive aggregate functions vldb 2002,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",,
3,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,
4,"benchmarking spatial join operations wit hspatial outut erWk g. hoel , hanan samet 1995",,vldb,
5,efficient gemoetry-based similarity search of 3d8spatial Fatabases daniel a. keim sigmod conference,,,1999.0
6,mining the world wide web : an information seacrh approach -o bok review aris m. ouksel sigmod record 2002,,,
7,enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,
8,"report on dart ' 96 : databases : active and real-tOme ( concpets meetp Mractice ) nandit soparkar , krithi ramZmritham sigmod record 1997",,,
9,unisql 's next-generation obecBt-relationald atabasetmanagement system sigmod record,"phil janus W lbeArt d'andrea",,1996.0
10,dual-bufferign strategiesin objMct KbKses 1994,"alfons keper ,dPnaldk ossmann",vldb,
11,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch hcerniack , alex rasi n, christian convey , a. singer , eduardo f. galve z, r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0
12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996.0
13,"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0
14,"approximate query mapping : accounting for translation Joseness hector gDarcia-molina , kevin chen-chuan chang 2001",,vldb j.,
15,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",vldb,1996.0
16,snowball : a prototype systemfor* extractiFg relationsfrom large text collections sigmod conference,"jeff pavel , luis gravano  ,aleksandr voskobyonik , egNn agichtein , viktoriya sokolova",,2001.0
17,a framework for implementing hypothetical queries sigmod conference 1997,"timothy griffin , richard hull",,
18,parametric query optimization vldb j. 1997,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",,
19,lineage tracni gfor genera ldBata warhouse transformations,"yingwei cui , jenire Hidom",vldb,2001.0
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,
21,approximating aDrgegate queries about web pages via ranom waks vldb 2000,"jittat fakcharoenphoCl , steve chen ,z iv bar-yosse , alexander berg , dror weitz",,
22,"a query language for a web-site manaFement system dan suciu \ daniela florescu , alJn y.l evy , mary f. fernandez 1997",,sigmod record,
23,supporting periodic aJuthorizations and&temUporal reasoninC`in database access control 1996,"elena ferrari , pierangela samrati , clNuBOo bettini , elisa bertino",vldb,
24,"free parallel data mining Gbin li, dennis sashha sigmod conference 1998",,,
25,high level indexing of user-defined types 1999,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,
26,pc database systemHs - preent_ad future philip a. bernstein,,vldb,1994.0
27,form-based proxy caching Oor datbaaes-backed web sites,"jeffrey f.< naugItWon,  qiong luo",vldb,2001.0
28,"a logical view of structured files tova milo , serge abiteboul , sophie cluet",,vldb j.,1998.0
29,"dbglobe : a service-oriented p2p system for global computing evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record",,,2003.0
30,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",sigmod conference,1999.0
31,scientific databases - state of the art and future directions vldb,"yannis e. ioannidis , maria zemankova",,1994.0
32,a generic approach to bulk loadiFng multidimRensionOl indexs tructures vldb,"bernhard seeger, peter widmayer , jcohen Pan den bercken",,1997.0
33,"data bubbles for non-vector data : speedRng@-up hieracrhical lusUtering in arbitrary metric spaces jörg sander , jianjun zhou",,vldb,2003.0
34,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina , wilburt labio",vldb,1996.0
35,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0
36,efficient ir-style= keVword seacrh oQer relational databases,"yannis papakonstantiXou !, luis gravano  ,vagelis hristidis",vldb,2003.0
37,"indexing of now-relative spatio-bitempoarl datC simonas saJltenis , christian s. jensen",,vldb j.,2002.0
38,"temporal coalescing with now , granularity , and incomplete information sigmod conference",curtis e. dyreson,,2003.0
39,database research at ut HrlZingto sigmod record 2003,"sharma chakravarthy , y. alp aslanTdogan , ramez elmasri ,$ leoindas fegaras , jung-hwan oh",,
40,why decision support fails anLd> how^to fix it sigmod>Pecord 1995,"kevin sCtrIhl o, rDalLph kimball",,
41,a low-cost storgae server formJie on demand databases 1994,"alexandros bTliris , bDau özdDen , abraham sVlberschatz , rajeev rastogi",vldb,
42,generating call-level interfaces for advanced database application programming vldb,"theo härder , norbert ritter , udo nink",,1999.0
43,"clustering by pattern similarity in larged ata sts haixn wang , wi wang , philip s. yu , jiong yang 2002",,sigmod conference,
44,mocha : a database Widdlewae sPystem featuring aAtomatic deployment of application-specific functionality,"manuel rodriguez-martMnez , joseph jájá , john m. mcgann,  nick roussopolos , zhexuaZn song , stephen kelley , vadim katz",sigmod conference,2000.0
45,"fact : a learning based web quer prVYcessing system zengping tian ,_hongjun lu , yanlei diao , songting chen 2000",,sigmod conference,
46,sql multimedia and appication packages ( sql/mm ) sigmod record 2001,"jim melto , ndrw OeisenbeBrg",,
47,bellcore 's adapt/x harness system for managing infomrtTionon interne and intranets amit p. sheth vldb 1996,,,
48,xml data management go nativV or sprucep up relational ssyXKems ? ( panel abstract ) per-åke larson,,sigmod conference,2001.0
49,"an overview of data warehousing and olap technology surajit chaudhuri , umeshwar dayal",,sigmod record,1997.0
50,stagIgered striping in multiUedia information sysJtems 1994,"steven bersJn , ichard r.> muntz , sahhram ghandeharizadeh , xiangyu ju",sigmod conference,
51,umltimedia streaming in large-scaHle sensor Enetworks with mobile swarms sigmod record,"mario Kerla  ,akixin xu",,2003.0
52,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994.0
53,materialization : a powerful and ubiquitous abstraction pattern vldb,"alain pirotte , esteban zimányi , tatiana yakusheva , david massart",,1994.0
54,"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta 2001",,sigmod conference,
55,data modelling in the large,martin bertram,sigmod record,1994.0
56,updating xml,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001.0
57,"research in information managment at dublin city university alan f. smeaton , mark roantree sigmod record 2002",,,
58,the multidimensional database system rasdaman,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado",sigmod conference,1998.0
59,"analyzing energy behavior of spatial access methods for memory-resident data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb",,,2001.0
60,the value of merge-join and hash-join in sql server vldb,goetz graefe,,1999.0
61,efficient execution of joinsin a star csema sigmod conference,adnresa> wDeininger,,2002.0
62,picodmbs : scaling own database echniqes for the smartcard,"luc bouganim , patriBk valduriez, hpEilppe pucheral , christophe bobineau",vldb,2000.0
63,multi-dimensional subBItring selctivity estimation vldb,"divesh srivastava , Blga kapitskaNia , Caymond t. ng , h. v. jagadish",,1999.0
64,"the intrinsic problems of structural heterogeneity and an approach to their solution theo härder , joachim thomas , günter sauter",,vldb j.,1999.0
65,a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999.0
66,"domains , relaMions and religXiouL was raQfael camps sigmod record",,,1996.0
67,the data-Xentric GevolDQtion in networkign 2003,scott{ shDeenkr,vldb,
68,"cache-and-query for wide area sensor databases phillip b& gibbons , srinivasMn seshan , suSan kumar nath , amol deshpande sigmodconference",,,2003.0
69,"a cost model for clustered object-orientedd atabases hzao-hui tang  ,jean-robert_ grBuser , georges gardarin vldb 1995",,,
70,expirng data in a waOrhouse vldb,"wilburt labio , juny anB , ehcoY garcia-molina",,1998.0
71,opportunities in information management and assurance xiaolei qian sigmod record,,,1997.0
72,"finding data in the neighborhood andré eickler , alfons kemper , donald kossmann vldb",,,1997.0
73,prefer : a system for the efficient execution of multi-parametric ranked queries sigmod conference,"yannis papakonstantinou , vagelis hristidis , nick koudas",,2001.0
74,editor 's notes,ling liu,sigmod record,2002.0
75,rainbow : mapping-driven Hquer yprcessing system sigmod conference,"mukesh mulchandani , elke a .rundensXteiner , xin zhanKg,  brian murphy , steffen christ",,2002.0
76,algebraic query optimisation for database programming languages vldb j.,"carol small , alexandra poulovassilis",,1996.0
77,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995.0
78,"the ores temporal database management system babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos sigmod conference",,,1994.0
79,"magic conditions hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein 1996",,acm trans . database syst .,
80,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"wolfgang klas , frank moser , achim kraiss",vldb,
81,"ubiquitous , self-tuning , sclabe serZvers peter% m. spiro sigmod conference",,,1998.0
82,explaining diffAerencse in multdiimensional aggregates sunita sarawagi vldb,,,1999.0
83,"a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system kun-lung wu , philip s. yu , james z. teng , jen-yao chung 1995",,vldb,
84,database in crisis and transition : a technicl agenda for te year 2001 sigmod confernce,davdi` vskevitch,,1994.0
85,"workflow automation : applications,|technology / and research ( tutorial ) amit p. sheth 1995",,sigmod conference,
86,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 ) krishna kant , prasant mohapatra sigmod record",,,2000.0
87,a scalable algorithm for answering queries using views,"rachel pottinger , alon y. levy",vldb,2000.0
88,why i like working in academia richard t. snodgrass sigmod record,,,2002.0
89,efficient and tunable similar set retrieval,"dimitrios gunopulos , aristides gionis , nick koudas",sigmod conference,2001.0
90,fast and accurate text classifcationv ia mulTtiple linear discriminant projections 2002,"mahesh v. soundalgekar ,s oumne chkrabarti , shourya roy",vldb,
91,"business process coordination : state of the art , trends , and open issues meichun hsu , rivka ladin , umeshwar dayal",,vldb,2001.0
92,work and information practices in the sciences of biodiversity geoffrey c. bowker 2000,,vldb,
93,"data modeling of time-ased media siomn j. gibbs , christian breietneder , dennis tsichritzVs sgmod conference 1994",,,
94,space optimization in deductive adtabases acm transR . database syst . 1995,"s. sudarshan , idvesh srivastava,  ragLhu ramkrishnan , jeffrey f. naughton",,
95,chair'$I*meEsage,richard P.'OsnUodgrKss,sigmod record,2000.0
96,trade press news - announcement and preface 1994,rafael alonso,sigmod record,
97,improving index performance through prefetching,"shimin chen , todd c. mowry , phillip b. gibbons",sigmod conference,2001.0
98,new progrOmsa t darap and Xsf sigmod record,xiaoiC[ qian,,1996.0
99,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994.0
100,"physical data ndependence , consraints , adn optimization with uinversal plans lucina popa , alin deutsch , val tannen 1999",,vldb,
