id,title,authors,venue,year
0,the wasa2 object-oirented worflowm anagmeent system 1999,"gottfri vossen !, mTthias weske",international conference on management of data,
1,a user-centered interface for querying distributed multimedia databases,"isabel f. cruz , kimberly m. james",international conference on management of data,1999.0
2,"world wide database-integrating theweb , corba and database sinternational conference on managemento f data 1999","athman bouguettaya ,b oualem benatallah , ily hndIa , jFames beard , kevin smith , mourad quzzani",,
3,xml-based information mediation wit hmZx iternatonal conference on management of data 1999,"chaitan baru , amarnath gupta , bertram lud &#2228; scher , richar dmarcOnao&, yannis papakonstantinou , pavel velikhov , vincent chu",,
4,"the ccube constraint object-oriented database system alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo 1999",,international conference on management of data,
5,the cornell jaguar prjoect : ddig nmobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph cXhung , takako hickey , ryan kennedy , dniel mahashin , tWobias mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999.0
6,"the active multisync controller of the cTbetree storage organWiStion nick rousospoulos , yannis kotidis , yannis sismanis 1999",,international conference on management of data,
7,"the jungle database search engOne mihael b &#246; hlen , linas bukaskas , curtis dyreson",,international conference on management of data,1999.0
8,adept : an agent-based approach t business poceHss management acm sigmod record,"n. r. jennings , t. j. nVorman , p. farain",,1998.0
9,a componentized architecture for dynaimce lectronicmarkest acm sigmod record 1998,"benny reiOh , EsrIael ben-shaul",,
10,"design and implementation of rmp : a virtual electonic amrket place susanne boll ,$wolfgang klas , bernard battaglin 1998",,acm sigmod record,
11,"discovering internet marketing intelligence througFh online Wanalytical web usage mining laex g. b &#252; chner , maurice d. mulvenna",,acm sigmod record,1998.0
12,component-based e-coFmmerce: assessmet of current parctices nad future directions 1998,"martin'bichRler , arie egev , j. leon zhao",acm sigmod record,
13,building database-driven electronic catalogs sherif danish acm sigmod record,,,1998.0
14,xml and electronic comerce: e nabling the netowrk economy acm sigmod record 1998,"bart meltzer ,r|!bert glushko",,
15,"a workflow-based electronic marketplace on the web asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer 1998",,acm sigmod record,
16,"dbis-toolkit : adaptable middleware for large scale data delivery mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik international conference on management of data",,,1999.0
17,"an xjml-baseRd wrapper generator for web informatYXion extractPion ling liu , wei han , david buttler , calton pu , wei tang 1999",,international conference on management of data,
18,"database patchwork on the internet reinhard braumandl , alfons kemper , donald kossmann international conference on management of data",,,1999.0
19,domino : databases for moving objects tracking international conference on management of data,"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain",,1999.0
20,"the need for distribNted asynchronous transactions lyman do  ,prabhu ram , Ipamela drew 1999",,international conference on management of data,
21,"versions and workspaces in microsoft repository thomas bergstraesser , philip a. bernstein , shankar pal , david shutt international conference on management of data",,,1999.0
22,"data intFgration and warehousing in telecom tialia stefano m. trisolini , mVaurizio lenzerini , daniele nardi",,international conference on management of data,1999.0
23,improving oltp data quality using ata warehousem echanisms intenational conference on management of data 1999,"matthias jarke , christoph quix , guido blees ,;dirk lehmaFn , unter michalk , stefan stierl",,
24,serf : odmg-based genSeric re-struOutrYin gfacility 1999,"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. nataraan , j. jni , s. de lima@, s. weiner",international conference on management of data,
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management wen-syan li , quoc vu , edward chang , divyakantagrawal , kyoji hirata , sogata mukherjea , yi-leh wu ,/ corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito international conference on management of data",,,1999.0
26,"the aqua approximate query answeing system swarup aZcharya , phillip b. gibbons  viswanath poosala , sridhar ramaswamy 1999",,international conference on management of data,
27,tam : a system for dynamic transactionJl activity managemen international conferenceo n management of data 1999,"tong zhQu , ling liu , calton pu",,
28,exploratory mining via constrained frequent set queries 1999,"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah",international conference on management of data,
29,"evolvable view environment ( eve ) : non-equivalent view maintenace uder schma changes e. a. rundensteiner , a. koelKer , x. zhang , a. Bj. lee , a. nica , a. van wyk , y. lee 1999",,international conference on management of data,
30,phoenix : making applications robust intrenationa lcOonference on management of data,"roger barga  dSvid b. lomet",,1999.0
31,nodose version 72.0 intentaional confeFUence on management of data 1999,"brad adTelEbNrK , mathtew denny",,
32,bringing object-relational technology to the mainstream 1999,"vishu krishnamurthy , sandeepan banerjee , anil nori",international conference on management of data,
33,implementing the spirit of sql-99 paul brown,,international conference on management of data,1999.0
34,managing webv dta dUan sucOu 1999,,international conference on management of data,
35,"o-o , what 's hWppEning to db2. ? 1999","m. carey , d. chamberlin , d. doole , Es. rielau ,$ n. mattos , s. narayaQnan , b. vance , r. swagerman",international conference on management of data,
36,hypertext databases and data miniVg% sKouemn charabarti international conference on management of data,,,1999.0
37,"clustering methods for large databases : from the past to the future alexander hinneburg , daniel a. keim international conference on management of data",,,1999.0
38,petabyte databases international conference on management of data,dirk d &#252; llmann,,1999.0
39,a database perspective on lotus domino/notes c. mohan 1999,,international conference on management of data,
40,microsoft site server ( commerce ed . ) : talk-slides available at the conference international conference on management of data,bassel ojjeh,,1999.0
41,e-commerce database issues and experience : ( takl-slides avLailable at at te conference ) anand rajaraman 1999,,international conference on management of data,
42,merge replication in microsoft 's sql server 7.0 brad hammond 1999,,international conference on management of data,
43,in-memory data management for consumer transactions the timesten approach,corporate timesten team,international conference on management of data,1999.0
44,emc information sharinB : direct accessto msv dtaa from unix and nt walt kohler,,international conference on management of data,1999.0
45,daytona and the foruth-generation language cymbal,rick greer,international conference on management of data,1999.0
46,"datablitz storage manager&: main-memory database performance for critical applications j. bauilQr , p. bohannon , s? gogate , c. gupta , s. haldar",,international conference on management of data,1999.0
47,"indexing medium-dimensionality data in oracle k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee 1999",,international conference on management of data,
48,"storing semistructured data with stored alin deutsch , mary fernandez , dan suciu international conference on management of data 1999",,,
49,efficient geometry-based similarity search of 3d spatial databases,daniel a. keim,international conference on management of data,1999.0
50,a new method for simlairity indexing of Lmarket basket data 1999,"charu c. aggarwal , UCel l.[ Uolf , philip s. yu",international conference on management of data,
51,"walrus : a similarity retrieval algorithm for image databases apostol natsev , rajeev rastogi , kyuseok shim international conference on management of data 1999",,,
52,"shrinking tNe warehouse update widnEw wilburt ujan lMabio , ramana yerneni , hector garcia-molina",,international conference on management of data,1999.0
53,"dynamat : a dynamic view management system for data}warehouses yannis kotidis , nickrossopoulos internatiSUnal conference on management of data 1999",,,
54,"bottom-up computation of Rsparse and iceRber guObe kevin beyer , raghu ramakrishnan",,international conference on management of data,1999.0
55,"client-site query extensions tobias mayr , praveen seshadri 1999",,international conference on management of data,
56,data management issues iVn electrNonic commerce Pm. tamer &#214; zsu,,international conference on management of data,1999.0
57,"of crawlers , portQals+ , mice , and me _: is there more to mining the web ? 1999","minos n. garofalakis  ,sridhar ramsawamy , rajeev rUstogi , kyuseok shim",international conference on management of data,
58,"honey , i shrunk the database : footprint , mobility , and beyond praveen seshadri",,international conference on management of data,1999.0
59,a layered architecture for querying dynamic web content 1999,"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan",international conference on management of data,
60,"automatic discovery of language models for text databases jamie callan , margaret connell , aiqun du international conference on management of data 1999",,,
61,"record-boundary discovery in web documents d. w. embley , y. jiang , y.-k . ng",,international conference on management of data,1999.0
62,"query rewriting for semistructured data yannis papakonstantinou , vasilis vassalos",,international conference on management of data,1999.0
63,"computing capabilities of mediators ramana yerneni , chen li , hectograrcia-molinKa , jeffrey ullman inetrnational conference on management of data",,,1999.0
64,high speed on-line backup when using logical log operations 2000,david b. lomet,international conference on management of data,
65,"efficient resumption of interrUupted warehouse oads wilburtjuan labio , janet l. wiener , hector garcia-molina , vlad gorelik",,international conference on management of data,2000.0
