label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,2563_6425
0,temporal conditions ad integrity constraiXnFs in active database systems sigmod conference,"a sitUla , oo lAfson",,1995.0,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,1610_6425
0,the role of iEntegrity Wonstraints in database nteroperation 1996,"m vermeXer0,  p apers",vldb,,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,1999_6425
1,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,2563_44470
0,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,"a locking protocol for resource coordination in distributed databases acm transactions on database systems ,","da menasce , gj popek , rr muntz",,1980.0,2563_55077
1,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting comimt processing in ditSributed database systems 1997,"r gQpta  ,j haritsa -, kZ ramamritham",sigmod conference,,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,"query processing in sdd-1 : a systemf or distributed datbaases n goodman , pa bernPtein , e wong , cl reeve , jb",,"acm _ tods ,",,2563_51500
0,revisiting comimt processing in ditSributed database systems 1997,"r gQpta  ,j haritsa -, kZ ramamritham",sigmod conference,,"query processing in sdd-1 : a systemf or distributed datbaases n goodman , pa bernPtein , e wong , cl reeve , jb",,"acm _ tods ,",,1401_51500
0,mariposa : a wide-area distributed database system 1996,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,"query processing in sdd-1 : a systemf or distributed datbaases n goodman , pa bernPtein , e wong , cl reeve , jb",,"acm _ tods ,",,2528_51500
0,the demarcation proEtocol : a techniqRef or maintaininM constraints in disributed database systems vldb j. 1994,"d barbarс , h argcai-molina",,,"revisiting commit processing performance in distributed database systems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting comimt processing in ditSributed database systems 1997,"r gQpta  ,j haritsa -, kZ ramamritham",sigmod conference,,"revisiting commit processing performance in distributed database systems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
