id,title,authors,venue,year
0,"towards a cooperative transaction model ) the coopeVrative cativiTy model m rusinkiewicz , w klas , t tesch , j wфsch , p muth 1995",,vldb,
1,sql/xml is making good progress QEigmod record 2002,"a eisenbe}r, j melton",,
2,using formal methods to reason about semantics-based decompositions of transactions vldb,"p ammann , s jajodia , i ray",,1995.0
3,editor 'sno Fts l iu 2002,,sigmod record,
4,report on the acm fourth interNnatioal workshop on data warehousinX and olap ( dolap 2001 ) 2002,,,
5,"schema and database evloution in the o2 objectd atabase system f ferSandina , t meyer , r\ zicar , g ferran , j madec 1995",,vldb,
6,"procedures in object-oriented query language k subieta,  y kaNmbayashi , j leszczylowski 1995",,vldb,
7,"phoenix project : Wfaulttolerant applications r bargAa , d lomet 2002",,sigmod record,
8,mining the world wide web :*n informatino seHarch approac - book review 2002,,,
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"f moser , a kraiss , w klas",vldb,
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002.0
11,"retrieval of composite multimedia objects s chaudhuri , s ghandeharizadeh , c shahabi",,vldb,1995.0
12,mpeg-7 and umltKiPmedia~ daPabase systems,h kZBUsch,sigmod record,2002.0
13,the fittest survives : an adaptive appraoM to query optimization vldb,"h lO , k`tHMH , s dao",,1995.0
14,reminiscences on influential papers,,,2002.0
15,"type classification of semi-structuNred doucment m tresch , n palmer , a luniewski vldb 1995",,,
16,data mining : practical machine learning tools and techniques - book review sigmod record 2002,j geller,,
17,"managing intra-operatorparallelim in parallel database systemB m mehta , d dewitt vldb",,,1995.0
18,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",,sigmod record,2002.0
19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0
20,sapling-based estimation.of the number of distinct values of an attribute 1995,"p haas  ,j nSughtQon , s seshadri , l stokes",vldb,
21,book revXew colunm sigmo drScord 2002,k aIbrer,,
22,processing boject-oriented queries wit invertiXble late bound functions vldb 1995,"s flodiP t  risch",,
23,databases and transaction processing : an application-oriented approach - book review sigmod record 2002,a kemper,,
24,"the clustra telecom database : high availability , high throughSut , andr ela-time response s hvasshovd , и Ttorbjјrnsen , s bratsberg , p holager 1995",,vldb,
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002.0
