id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,"Runaway Train Cam Country , Music , Contemporary Country , Honky Tonk $ 0.99 3:01 31-Mar-15",,Welcome to Cam Country - EP,,,2015 Sony Music Entertainment,,
1,"Track 14 Me 4 U Pop/Rock , Music , Pop , Dance , R&B / SoVul Album Only 2015 Utra Records , LLC under exclusive license to Columbia Records , a iDvision of Sony Music Entertainment 3:41",mOi,,,,,,
2,Lips Are Movin Title $ 1.29 9-Jan-15,Meghan Trainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,
3,"I Want a Hippopotamus for Christmas A Great Big World I 'll Be Home For Christmas Holiday , Music Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",,,,$ 1.29,,2:20,24-Nov-14
4,"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment",,Title ( Deluxe ),,,,2:51,9-Jan-15
5,"Lips Are Movin Meghan Trainor $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01",,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,,,9-Jan-15
6,Lips Are Movin MeghQn TDrIainor 3:1 9-Jan-15,,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,
7,Lips Are Movin Title $ 1.29 3:01,Meghan Trainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
8,"Lips Are Movin Meghan Trainor Title Pop , Music , Pop/Rock , Dance , Rock , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01 9-Jan-15",,,,$ 1.29,,,
9,Perfect 205 InerRcope Records,SeNelUa Gmez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,,4:02,
10,"Wrapped Up ( Live ) Radio Disney Music Awards Pop , Music Album Only 2015 Walt Disney Records 3:01 21-Apr-15",Olly Murs,,,,,,
11,Lips Are Movin Megha^n Trainor itle $ 1.29 3:01,,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
12,Lips ARr ovin,Megha Tirnor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire ( CSH6 Edit ) [ Sam Feldt & Bloombox Reimx ] I Am Oak Chiled House Session 2015  Ministry of Sound,,,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais RNmix ] Lana Del Rey & Cedric Gervais $ 1.29 2013 Lan Del Rey unXder exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 3:34,,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",,,,11-Jul-13
15,Thank You Baby $ 1.29 2014 Defected Records Limited 23-Nov-14,Krankbrother,Defected Presents Most Rated 2015,"Dance , Music",,,6:58,
16,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Ride ( Remixes ) 19-Nov-12,Lana Del Rey,,"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,
17,"West Coast ( MK Remix ) West Coast ( RemiN EP ) AlternaQtive , Music , Rock 2014Lana Del Rey under excluisve licence to Polydor Ltd. ( UK ) . Under exclusive licenKe to Interscope Records in the USA",Lana CZlRey,,,$ 1.29,,5:26,13-Jul-14
