id,title,manufacturer,price
0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
1,ca international rceFe Plap/desktop oem 30pk,compEteSKsociates,
2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
4,singing coach unlimited,carry-a-tune technologies,99.99
5,emc retrospect 7.5 disk to disk windows,dantz,
6,adobe after effects professionMl 6.5 uprgde from tsandard to professional,adobe,499.99
7,acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance academic,399.54
8,mLa 's math adveZnutre : just in time,GkutAoka,19.99
9,disney 's 1st & 2nd grade bundle ( Kixar 1s grade secret keys anQ aladdin reading quest ),isdne,14.99
10,paper art : gift wrapping,arc-media-inc .,
11,nfs aestOro olo 0206 1u,hummingbir OdKommunciations,309.56
12,microsoft sql serve rsLandard edition0205 64 bit cd/dvd 5 client,microosft,1849.0
13,spy sAeSReS: spanish,webMooN sfotware,29.95
14,domin esCgner/developer v5 .0,lotus deFvUopment,95.0
15,omnioutliner prfoAsiona 3.0,scVc,69.95
16,compaq comp . secure pat hv.0c-newtare rwkLgrp 50 lic 231327-b22 ),cmNAaq Jmputer,
17,upg sgms!1009 BnAcremental node,sonc-syQems-inc .,
18,the human body,topics entertainment,19.99
19,school zone pencil-pal` softwJre big hpnis ( cd-rom & book ),school^-zone-interactive,
20,millie 's maht houWe ages 37- ^;win/mac ),ibm -(  aaOmTisc-pBrts ),
21,world book ecclHopedia 2006,topics enMtetCinment,19.99
22,musicalis guitar workshop,global-software-publishing,9.99
23,the printshop$ 2 0SroefssQional publisher,broJYrTObund,69.99
24,data protUcioHn suite,stmMop inc,69.99
25,kid swre fun for girls,topics entSeZNBtainment,19.99
26,adobe premiree pro?cs2 upgrade,WdRbe,299.0
27,i copy dvds 2 professional edition,me-too-software,69.99
28,gen-x media made easy vol . 3,gen-x,49.95
29,family tree maker 1.2c ollecto r's edition,ecRnoer,109.95
30,adobe fireworks cs3 [ mac ],adobe,299.0
31,dinsYoUaPurs,topics nteJtainment,19.99
32,instant home design 3.0 [ lb ],topics entertainment,19.99
33,x-oom internet movies 2,x-oom,
34,form workshop 1200,valusoft,29.99
35,the print sYop pr opublishe r22 deluxe [ dvd ],core,99.99
36,stomp icn rPcvBer lost dat a2005,soMmpi nc,39.95
37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
38,the big mix ( mac ),aladdin,59.99
39,x-oom movie clone 3 gold,x-oom,
40,the print hsop%22:deluxe,enrTe,49.99
41,imsi trubco>adesigner v. 11,iEi,39.99
42,lavasoft aR-waarep lus} edition,tr iyVZergy,29.99
43,clip art and more 250 000 ( jewel case ),imsi design,
44,instant immerisoNn lTanguage lab deluxe edition,topiAs entAeLrtainment,
45,elementary school sMuXcesDs deluxe 2006,topics etnrZetaEinment,49.99
46,national geographic presents : redshift planetarium,topics entertainment,29.99
47,math success eZluxe 2006,topicsenHGterYainment,49.99
48,national geographic presents : forces of nature,topics entertainment,29.99
49,reference success deluxe 2006,topics entertainment,49.95
50,clifford the big red;% odg thinking adventures,scIYlastic,9.99
51,mastercoo^deluxe lw carb,vIalDGoft,14.99
52,instant home design ( jewel case ),topics entertainment,9.99
53,boomeranDg wUbhOY platinum,bomoJerang,
54,allume oosL_[xp for windows,smith-mSRcor]sftware,29.99
55,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
56,kids power fun for little ones,topics entertainment,19.99
57,museums of the world,topics entertainment,19.99
58,matchbox cross-tLWn heroes,Uhq,19.99
59,studyworks ! teaching pro : miBddXe school mAath & science ( win/mac ),global-osAtfware-publishing,29.99
60,trudy 's tie Fand plaec houe ages 3-6,bim,
61,persoal AKaSmge manager,smith-mciros}oXware,29.99
62,stomp inc drive washer,stomp inc,
63,movies on psp,x-oom,
64,kids power fun for kids,topics entertainment,19.99
65,custom landdesigner 3d design 7.0,sierra on-line,
66,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
67,netgear pn01l vpn cXient soRftware,nteAgNear,89.99
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
70,diskeepeer 2007 admiKMuArade sngl lic pack,diskeeper coKGrBorZation,200.0
71,monarIAch 9 0 1u .,dataPtach,699.0
72,midwEy arcade traesures ( ejwel case ),enocrsoftware,9.99
73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
74,mac os x sevrer v1 .4.7 0-client,apple,499.0
75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
76,adobe acrobaF cpture 3.0 12101258 ),abde,299.99
77,age of mythCgoy ( mac ),maHoft,19.99
78,emedia intrmediate uTtar~method os x,emBeTia,59.99
79,ca internet securitAysute 2007 3 user,computer>aDssociates,69.95
80,kaplan sat/act/psat express,topics entertainment,9.99
81,passwords plus 1.0,dataviz,29.99
82,emedia@essntiPl bass guitar,eeEdVa,19.95
83,scratches : directors cut,got game,19.99
84,x3 : reunion virtula$ rporgamming ltd.,sRdc,39.95
85,write brothers?draatica prowin/mac,write Yroehrs,269.99
86,emedia VaOs< metd win/mac,SeJmdia,59.99
87,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4
88,total training for adobe creative suite 3 : design premium bundle,total training,299.99
89,everTest :^= titanium,sony-creaive-SVoftwQare,19.95
90,emc retrospect 7.5 professional for windows upgrade,dantz,
91,iriscard pKr businss card scanner,iKirs,199.99
92,computrace lojakc BVor laptops 4 year subscription,absolutKe]oftware,119.99
93,microsoft office froFtpaYe 2050 aLademic version windows ),miYcsoft,159.98
94,warlords 3 ( jewel case ),red-orb-entertainment,
95,autocad 2007 coursewrae.cusomizing the interface,autoCFdek psg,47.95
96,sonicwall internet upgrade ( 50-node ),sonicwall,
97,tournKmBent poUer 2005,eagSl ZgZames,20.99
98,cold zMero : Gn mercy,encore OsfQtware,19.99
99,listen for ipdo Eganetic time,sos-aggHregatiWno-company,39.99
100,textbridge pro 11 5u license xp,nuance communications inc. .,
101,atari arcade classics ( mac ),macsoft,19.99
102,myinvoices & etsimBets deluxe,avanJut software,39.95
103,my sim aquarium,viva media,19.99
104,scrabble,destineer,24.99
105,instant immeNrsio nspanisE ( audio Ubook ),topics KenetJainment,
106,cisco security server_aYgent for wndows and soGUaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-VCytemse-nterprise,
107,photoshop elements 5 and premiere elmeet3 budnle win minibox ( 29180248 ),adUoQbe,242.62
108,buzby breakin ' alSthe rles hemie and friends,digiltapraise,19.99
109,instant immersion french 2.0,topics entertainment,29.99
110,hp digital sendiHg secue liceJse 50 users std,hewlet^t) aZkard,
111,instant lpya electric guFitar deluxe,topics eOItetranient,39.99
112,foreign poliEy|& reform ( Fwin/mac ) ( jeewl case ),fogware [Kublishing,9.99
113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95
115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95
116,cook 'n vegetarian,dvo enterprises,19.99
117,hiddne exepdition : Witanic,actiiion,19.99
