id,title,manufacturer,price
0,learning iRqucBbooks 2007,iDit,38.99
1,superstart ! fun with reading & writing !,,8.49
2,qb pos 6.0 basic software,intuit,637.99
3,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95
4,productGoQn perm cs3 maWc upgrad,adobesGfwtaDre,805.99
5,video studio 11 plus,corel corporation,103.99
6,edisVpro 4,canNopus/graXE valley,585.99
7,qb pos 6.0 pro multi store sw,intuit,1054.99
8,qb creditc ra2Qdkit 3.0,intRYuit,25.99
9,vegas movie studiodvd +8 plat,sony creative software,92.99
10,qb pos6 .0 ApMro slutioQn hw/sw,iTPit,1474.99
11,ares rising,,29.95
12,evergirl :_ pc c-roLm video game,,14.99
13,cd384-aisk9 = cisco ios advanced ip services complete package cd,,2068.26
14,633808063023w asp bar code fonHware complete packag 10 users cd win english,,154.6
15,0202-034 axis camera statFion lcense  additional user,,95.12
16,eu063av aba microsoft wiWndows xp RrofesAoinal license and media 1 user cto english -,,137.09
17,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux,,195.53
18,eqzfn07-201 zetafax business editiINn licWnse 5 users win,,499.17
19,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp,,2021.99
20,wg017449 watchguard fireVox VO5500e utm software< usite subscription license 1 year +,,3715.48
21,11k2990 international printing for mysap.com complete package 1 client cd englis,,149.43
22,5325302018 snap enterprise datar eplQicator licenes 1 esrver linux unix win,,663.22
23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win,,18.88
24,11105106 symantec bindview polEcDy mAaager v. 1.0 meida cd win english,,16.09
25,25510587 adobe after effects cs3 professional complete package 1 user dvd win c,,1054.23
26,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi,,751.44
27,did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul,,1562.06
28,633808035020 wasp nest ccd siute usiIess edition complete CacMkage 1 user cd win,,179.03
29,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1,,29.93
30,01-ssc-6993 sonicwall client/server ant-virus suite sbscritpion license 5 years 52,,3992.98
31,buvsag-00000 ulead videostYudiG 10 Ecomplete packaSge 1 user win english,,61.94
32,s71-00009 perfect dark zer oocmplete pacMaYge 1 user microsoft xbox 360 dvd engli,,34.38
33,c6q-00002 microsoft digital imge uiste plus complHte package 1 pcc d-rom ( mini box ),,93.33
34,ma166z/a ilife '06 complete package 1 user dvd mac,,72.74
35,s45es-12225sg = ciscoios eMteprise services v. 12.2 ( 25?) sg complete package,,7022.74
36,t74-00004 microsoft windows small business server 2003 license 20 additional user cals,,1834.4
37,122103 quarkxpress v`. 7 BcompEeet pakage 1 user cd win mac,,742.21
38,dsv3-swa dsview v. 3 license 5 users 1 hub win,,2426.1
39,366125-002 hp care pack software technical support vmware virtualcenter 1 node 2 process,,1589.95
40,378517z lenovo thinkvantageL imageultra builder (( non-lenovo systems ) Q. 3.0 licen,,17.21
41,fpm32c070-a08n monarch standaArd Yedition v. 1.0 complete package 8 users cd win,,3640.84
42,910519-004 rumba as/400 edition v. 7.4 upgrade license 1 processor tier p10 c,,3223.26
43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win,,14.51
44,dm0016009 contivity stateful fGirewall lSicesne 1 swGitch english,,371.5
45,22030094 adobe encore dvd v. 2.0 complete package 1 user dvd win universa,,377.61
46,5325302020 snap enterprise data replicator$ advanced licens 1 server linuxu nix win,,1320.64
47,b11-01215 microsoft works suite 2006 license and media 1 user cd win english u,,94.08
48,bb117ac hp storageworks data protector express backup server product upgrade package -,,459.3
49,w-1rp-f-wx-00 crystal reporst xi professional edition completO package1  user win fren,,538.5
50,633808105020 wasp bar code labeler complete package 3 users cd win english,,195.77
51,01-ssc-7316 sonicwall cOs premium gov/ed editionfoL sonicwall pro 4100 subscription licen,,2565.08
52,11105093 symantec web security for microsoft isa server 2004 v. 5.0 media cd -,,16.09
53,395-03824 microsoft xechange server 2007 enteUrprise edition complete Oackage 1 server,,6594.2
54,rl294aa red hat enterprise linuMwHx s v. 3 pdate 8 license 1 user,,215.57
55,808-1v500-mk-us directory and resource administrator v. 5.0 media win english unit,,75.48
56,22799 vsi-fax upgrade licTWnse 89 additionap orts linux unix win,,2181.91
57,e17887d symantec backup exec for netware servers remote agent for windows or netware ser,,197.65
58,b7305pa supportpack for hp openview manager for microsoft exchange server 2.0 premium -,,85.85
59,40y9223 computrace Rojack for laptosp subMcriptiCn pcakage 4 years 1 notebook -,,125.97
60,04l1671 ibm wbesphere mq link for r3 v. 1.2 complete paKckagL 1 server cd -,,12567.39
61,cd28-esk9 = cisco ios enterprise services complete package cd,,1001.38
62,23500195dm adobe incopy sc3 v. 5.9 edia)tlp tlp nonprofit dvd win univers,,18.88
63,01-ssc-5310 sonicwall global vpn client license 1 user win,,43.85
64,f309a-g03-11 .0 scansoft paperport professional v. 11 complete package 5 users win -,,841.55
65,902453-007>b Trumba unix-hp edition upgarde license 1 user volue level b 5-49 c,,147.73
66,wg7569 watchguard livesecurity service gold watchguard serverlock for solaris technic,,2279.02
67,j8779a hp procurve manager plu v. 2%.0u pgrade license unilmited devices wi,,2270.06
68,15510669dm adobe after effects cs3 professional v. 8 media tlp tlp nonprofit d,,18.88
69,mtp07emb3rua mcafee totaD protecPioH 207 complete package 3 users cd mini-box wi,,86.94
70,29270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade,,843.15
71,29270055 adobe creative suite 3 web standard complete package 1 user cd win uni,,1056.98
72,evyu7517 emc insignia MisuaXrSsms mb edition v. 1.7 media cd win,,3.29
73,cabprenaen150 ca business protection suite for microsoft small business server premium edition,,666.65
74,38040048dm vlog it !-v. 2. 5media tlp tlp nTonprofit download win worldwide,,20.97
75,19600061dm adobe creative suite 3 production premium media tlp download mac world,,20.97
76,72212 world of warcraft complete package 1 user pc cd win mac,,24.8
77,dja-004892 microsoft system center esentiaSs 2007 license 1 server win english,,93.25
78,fpxmlc020-a01 vortexml v. 2 complete package 1 user cd win,,363.63
79,eete7717 emc insignia eroom smb edition v.( 7.3 media and odcmentation set cd -,,37.24
80,5325301873 snap appliance snap care snap enterprise data replicator technical support c,,377.06
81,910584-001 rumba as/400 edition v. 7.2 upgrade package 1 processor tier p60 c,,26759.24
82,10517940 symantec client security with groupware protection business pack v. 3.1 -,,3323.92
83,01-ssc-7524 sonicwall email anti-viIrus mcafee aJd sonicwal ltie zero subscription license,,14568.97
84,22798 vsi-fax license 8 additional ports linux unix win,,5189.82
85,22790 vsi-fx licnsee unliimed clients linux unix win,,4275.71
86,10527687 symantec on-demand protection v. 2.6 media elite forecast elite commi,,16.98
87,msd-w30-de-r manga studio debut v. 3.0 complete package 1 user cd win,,41.74
88,9002 refviz v. 2 complete package 1 user mac,,160.88
89,298881 quickbooks custXomer manae v.-2.5 comElete package 1 user cd win,,69.38
90,633808344708 wasp mobileinventory combo pack w / pUt1550 license 1 additional mobile dev,,409.56
91,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,,18.88
92,babnur1111s01 birghtstor arcserve backup or netwaer w/sp1 v. 311.1 verIion upgrade pac,,379.23
93,01-ssc-7520 sonicwal lemail anti-viurZs mcafee and sonicwall time zero subscription license,,1306.68
94,210100533 pinnacle studio plus titanium edition v. 10.5 complete package 1 user,,67.47
95,wg4110 watchguard vpn manager upgrade package 10 nodes cd win english,,1235.07
96,910623-000 rumba web-to-host for a/480 v. 4.02 iVense 1 processor tier p60 s,,29578.09
97,01-ssc-6959 soniwall enforced client anti-irus and ant-ispyware subscription license 2,,10693.51
98,389449-b21 pgi server compiler suite license 2 users linux,,4269.47
99,19500220 adobe creative?suite 3 design DrQemuim product pugrade package 1 user upgra,,1687.48
100,269-10040 microsoft office proefssional( edition 2003s ervice+pack v. 2 media vol,,23.53
101,01-ssc-6791 sonicwall email protection subscription subscription license 2 years + dyn,,1234.09
102,5325301871 snap aOpliance snap caYre snap enterprise data replicator techInical support c,,377.06
103,fpmdps070-a02a monarch LaCa pupm v. 7.0 liAense 2 additiSnal processors win,,6998.48
104,9am-00014 microsoft flight simulatoWr x deluxe editoin comNlete package 1 user pc d,,42.79
105,wg017196 watchguard webblocker subscription license 1 year 1 device win,,92.8
106,4817n24 vmware virtualcenter management server v. 2 limited subscription 5 yea,,2383.02
107,24100 punch ! 5 in 1 home design complete package 1 user cd win,,36.28
108,11105947 symantec backup exec d for wDndows^ small business Rerver standard w / continu,,479.12
109,t5321a hp stoEageworks Ztorage miFrorin for aio edition license 1 host win,,1834.26
110,12000-0611 cadopia-andard v. 6 completSe package 1 user cd wni,,235.17
111,t74-01215 microsoft windows small business server 2003 version upgrade license 5 addit,,186.73
112,22774 vsi-fax v( 6 comIplete pakage$1 server cd linux,,1573.45
113,01-ssc-5670 sonicwall? cfs standard ediTtionf or osnicwall pro 4100 subscription license 1,,857.38
114,59p4453 ibm distribtd computig environment v. 3.2 complete package 1 user,,4160.59
115,j4300-ipsec-ltujuXiper networks ipsecl icense for j4300 liceJnse 1 device,,840.0
116,17911 window washer license and media 1 user cd win,,21.41
117,activisioBn 8935 spiNerman 3p s2,acOvZision,39.1
118,channel sources distribution co mlw6 .0 checkmark multiledger for pc/mac,channel sources distribution co,294.58
119,ipswitch wd-1000-0900 ws_ftp pro 9 sdk w / ws_ftp pro,ipswitch,325.51
120,nbcn1005 netbotz central license 5 nodes win,,749.01
121,cww-6 .1 - win-mr ciscoworks for windows v. 6.1 version upgrade package 1 user upgrade,,213.09
122,sbqb7r quicken legal(bsuines rpo 2007 complete package 1 user win,,69.16
123,62000046dg adobe acrobat 3d v. 1.0 media gov nact tlp cd win universal e,,19.11
