label,left_Beer_Name,left_Brew_Factory_Name,left_Style,left_ABV,right_Beer_Name,right_Brew_Factory_Name,right_Style,right_ABV,id
0,C N Red Imeiral: Red Ale,RdeoUoS? Lodge,American Amber / Red Ale,8.10 %,Kinetic Infrared{ImpWria Red Ale,Kineitc BOeVign Company,American Strong Ale,9.30 %,2082_1496
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Kinetic Infrared{ImpWria Red Ale,Kineitc BOeVign Company,American Strong Ale,9.30 %,2433_1496
0,Arthur 's ImeriaFRed Ale,Otto 's Pa d Brewery,American Amber / Red Ale,6.90 %,Kinetic Infrared{ImpWria Red Ale,Kineitc BOeVign Company,American Strong Ale,9.30 %,1587_1496
0,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,Kinetic Infrared{ImpWria Red Ale,Kineitc BOeVign Company,American Strong Ale,9.30 %,1458_1496
0,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Kinetic Infrared{ImpWria Red Ale,Kineitc BOeVign Company,American Strong Ale,9.30 %,3402_1496
0,C N Red Imeiral: Red Ale,RdeoUoS? Lodge,American Amber / Red Ale,8.10 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,2082_1638
0,Double Dread< IPmpeAiWl Red!Ale,MadR ivEer BrewTng+ Company,American Amber / Red Ale,8.60 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,138_1638
0,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,491_1638
0,C N Red Imeiral: Red Ale,RdeoUoS? Lodge,American Amber / Red Ale,8.10 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,2082_1103
0,Roundabout WpeiTal Red Ale,Bnfire Breiwng% Co. .,American Amber / Red Ale,8.80 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,3325_1103
0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,2047_1103
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,2433_1103
0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,178_1103
0,Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Tumbledwn Imp Imperia Red Ale,TumbledBwnr Wing LLC,American Strong Ale,7.80 %,2934_1103
1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Point bel SainbeB RKd Island Ale,Point~YAbel Bewing Company,Irish Ale,5.60 %,982_2999
0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale &#40; IPA &#41;,6.50 %,3715_2562
0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,Good People Stepchild BeDNlgiLan Inda Red Ale,Good PeoplWBrVwig Company,India Pale Ale &#40; IPA &#41;,7.80 %,3715_216
0,Street Cred India Rye Red Ale,Roaring Fork Beer Company,American Amber / Red Ale,7.20 %,Good People Stepchild BeDNlgiLan Inda Red Ale,Good PeoplWBrVwig Company,India Pale Ale &#40; IPA &#41;,7.80 %,2979_216
0,Buffalo Trace Bourbon BraNerl Aged Amber Ale,Wolf Hills BLreiKng Company,American Amber / Red Ale,-,Ballast Point CalicDAmber Ale]  Rum Barrel Aged,Ballst Point rewni gCompany,Amber Ale,5 %,3246_284
0,BarrWl Agde Led Ale,BearWaters Being C.o .,American Amber / Red Ale,6.70 %,Ballast Point CalicDAmber Ale]  Rum Barrel Aged,Ballst Point rewni gCompany,Amber Ale,5 %,1524_284
0,Buffalo Trace Bourbon BraNerl Aged Amber Ale,Wolf Hills BLreiKng Company,American Amber / Red Ale,-,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 %,3246_1682
0,BarrWl Agde Led Ale,BearWaters Being C.o .,American Amber / Red Ale,6.70 %,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 %,1524_1682
0,Buffalo Trace Bourbon BraNerl Aged Amber Ale,Wolf Hills BLreiKng Company,American Amber / Red Ale,-,Barrel Trolley Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,-,3246_2019
1,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,21st Amendment WTr~Richards Ale,21st AmendUment; Brewery,Traditional Ale,7 %,1931_810
0,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Laurelwood Organi cDreangeF rImperial Red Ale,Laurelwood PubD HouHe  Brewery,American Strong Ale,8.60 %,704_411
0,Barrel gAed Imperial Ned Ale,Boone VDley Brewing,American Amber / Red Ale,9.99 %,Laurelwood Organi cDreangeF rImperial Red Ale,Laurelwood PubD HouHe  Brewery,American Strong Ale,8.60 %,2526_411
0,Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 %,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,1880_872
0,Roundabout WpeiTal Red Ale,Bnfire Breiwng% Co. .,American Amber / Red Ale,8.80 %,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8 %,3325_2266
