id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ ¶ egs Nugget Nectar,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,7.50 %
1,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.20 %
2,LevitGaion Ale,Stone reMwi nCo. .,American Amber / Red Ale,4.40 %
3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶_ eFLgs Hobcak Amber Ale,TrÃ ¶e gs Bewnig DCompany,American Amber / Red Ale,6.00 %
5,Flipside Red IPA,Sierra Nevada Brewing Co. .,American Amber / Red Ale,6.20 %
6,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75 %
7,Red ROIoeckt Ale,Bear RepSubliB rewing Co. .,American Amber / Red Ale,6.80 %
8,Great Lakes Nosferatu,Great Lakes Brewing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %
10,Zoe,Maine Beer Company,American Amber / Red Ale,7.20 %
11,Santa 's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30 %
12,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65 %
13,Ruedrcih s'@ ReX Seal Ale,NXorth CoItsB rUewing Co. .,American Amber / Red Ale,5.40 %
14,BoontACmber Ale,Anderson VRlley FYYewing Company,American Amber / Red Ale,5.80 %
15,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.30 %
16,HighlanYOG aelIic Ale,HiglhXndB Sewing,American Amber / Red Ale,5.80 %
17,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.40 %
18,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50 %
19,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.40 %
20,CasGacPZLlla,IthBaca ee rCompany,American Amber / Red Ale,7.00 %
21,Full SaYA PAmber,Full Sail Brewre & TastinDg Room & Pub,American Amber / Red Ale,5.50 %
22,St Roue Red,Roue! AVles,American Amber / Red Ale,5.10 %
23,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10 %
24,Prohibition Ale,Speakeasy Ales & Lagers,American Amber / Red Ale,6.10 %
25,Globa Warmer,Sixpint GBrDewery,American Amber / Red Ale,7.00 %
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80 %
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00 %
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00 %
29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %
30,Red Hpober,New;Belgiu FBrewing,American Amber / Red Ale,6.00 %
31,Captain Sig 's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20 %
32,FiRe{AM,BweGog,American Amber / Red Ale,5.00 %
33,YuleSmith ( Winter ),AleSmith Brewing Company,American Amber / Red Ale,8.50 %
34,Shark Atta DFoubel Red Ale,PCorBBrewing,American Amber / Red Ale,9.00 %
35,Switchback Ale,Switchback Brewing Company,American Amber / Red Ale,5.00 %
36,Runof ZfRTed IPA,OdelEl BrewLnXg Company,American Amber / Red Ale,6.50 %
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %
38,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.80 %
39,Terrapin Oae=dBig Hopy Monster,Terrapin/QBFerCompany,American Amber / Red Ale,10.30 %
40,AutZFmest,Weyerbacrhe BIrwng Co. .,American Amber / Red Ale,5.40 %
41,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66 %
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %
43,LoakIaNl Red,Th erueSy,American Amber / Red Ale,6.90 %
44,Red-oric - Beer Camp #6 5 ( Best Of Beer Cmap : Imperial Red ANle ),Sierr NevdDaa BrBewin Co. .,American Amber / Red Ale,8.00 %
45,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80 %
46,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.50 %
47,Samuel Adams Mighty Oak Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70 %
48,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90 %
49,Mermai d'O-RePd Ale,CoronTdoB rwing oCmpany,American Amber / Red Ale,5.70 %
50,Jamaia^QLed Ale,Mad Rier FrewTin CYmpany,American Amber / Red Ale,6.50 %
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %
52,Sain ArnodAmber Ale,Saint Arnold Brein gCompayn,American Amber / Red Ale,5.50 %
53,Pursuit Of Hoppiness,Grand Teton Brewing Co. .,American Amber / Red Ale,8.50 %
54,MouHrI Wood,LocCp/tion,American Amber / Red Ale,7.30 %
55,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.90 %
56,SnowIoe` Red Ale,New Glaru SBArewing Company,American Amber / Red Ale,5.70 %
57,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50 %
58,AleSmith vEiK Cead Red,AleQSmith wnig Company,American Amber / Red Ale,6.66 %
59,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25 %
60,Cinder XRBCone Red,Deschutes:TBrewery,American Amber / Red Ale,5.30 %
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %
62,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70 %
63,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00 %
64,HopDus%Mimus,Thirsty Gog BrewMnig Company,American Amber / Red Ale,5.90 %
65,FascisJt PiM]Ale,Fnch ~'s{ eBerCo. .,American Amber / Red Ale,8.00 %
66,Blood Shot - BPere VCamp # 95,SierQa NevadaBrewiYg Co. .,American Amber / Red Ale,8.50 %
67,Evil Twin Hop Flood,Evil Twin Brewing,American Amber / Red Ale,7.00 %
68,Key GQWst Susnt Ale,FlordiPa eer Company,American Amber / Red Ale,4.80 %
69,AlleycaHBt CAber,Lost Cast rBXeeUry and Cafe,American Amber / Red Ale,5.50 %
70,AfrCican GAbmer,Mac and JKca k's Brewery,American Amber / Red Ale,5.20 %
71,Odell eLvit yAmbeWr Ale,OdeQl BreiwnD& Company,American Amber / Red Ale,5.00 %
72,Big eId[ Coq,BrewrAey VRivant,American Amber / Red Ale,6.50 %
73,BluL Point; Winer Ale,Blu ePoint BreiJn gCompany,American Amber / Red Ale,7.00 %
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00 %
75,Red)BVaIhsee,The For tVollins BZewery,American Amber / Red Ale,5.30 %
76,Green LaACkes EUganic Ale,DeschutMes PBNrewery,American Amber / Red Ale,5.20 %
77,Blue Moon iRing MAoSn Spring Ale,Coors/ rweingCompany,American Amber / Red Ale,5.40 %
78,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80 %
79,Buckshot Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,4.90 %
80,HemEp ZHop Bye,O'FloB nrewery,American Amber / Red Ale,5.50 %
81,ReeOry,Two Brohters BrwZin_gCompany,American Amber / Red Ale,9.50 %
82,PinstrieeG Ale,Ska BrewFn) gCo. .,American Amber / Red Ale,5.15 %
83,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co. .,American Amber / Red Ale,5.20 %
84,Redhook Ltae{HaSvest Autumn Ale,Redhook AlBrewery,American Amber / Red Ale,5.90 %
85,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.00 %
86,The Men 's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.60 %
