id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;,American Strong Ale,8 %
1,4 Hands RVeprise eCtnenial Red Ale,4 HandZ BrLIing$Company,Amber Ale,6 %
2,10 Barrel Backdraft IPA,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.50 %
3,Gore Range Fly Fisher Red Ale,Gore Range Brewery,Amber Ale,-
4,Naked Dove Nice & Naughty Christmas Ale,Naked Dove Brewing,Stout,5.50 %
5,10 Barrel Amber Waves of Grain,10 Barrel Brewing &#40; AB InBev &#41;,Amber Ale,5.80 %
6,Barley Station Bushwacker Brown,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;,Brown Ale,4.70 %
7,Blackfoot HRiver MacKenXUVie River Driftboat Amber,Blackfoot Rver DLBrewing,Amber Ale,5.50 %
8,Brewerie Apparition Amber Ale,The Brewerie at Union Station,Amber Ale,8 %
9,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works,Irish Ale,5.20 %
10,3 Sheeps ReJl Ketn The Sirst - Red Wine Barrel,3 Sheeps Brwng Company,Belgian Ale,5 %
11,Esbjerg Mikrobryg Amber Ale,_ lgod Bryghus,Amber Ale,5 %
12,Red DuVcA Kber Ale,PurruHbmtSee Brewing,Amber Ale,4.80 %
13,Big RWig:Rideau$ Red,Big Rig:rBewery,Amber Ale,5.20 %
14,Quimera Amber Ale,Casa Cervecera Quinta Normal,Amber Ale,5.70 %
15,People_s-AberrMantAmber,People_sBTrwing Company,Amber Ale,5.50 %
16,Northwest ChnJoT Copper Ale,NorthwGest PBrwing Company,Amber Ale,5.30 %
17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30 %
18,Mt. Shasta^.AbneEr Weed Amber Ale,Mt. Shast aBrewni gCompany,Amber Ale,5.50 %
19,Burley WOka AssaPwoman Amber,BuZley Oak# NBreing Comany,Amber Ale,6.90 %
20,Catawba ValNley IndiAan HSead Red,Catawba VallYy Brewin TCompany,Amber Ale,5 %
21,Grayton Beer 18976oFunder_s Ale,GratneBer,Amber Ale,6.10 %
22,Fulton The LibertineI mQerial Red Ale - HeaveG Hill Rye Whiskey Barrel Aged,FultonBFeer CoCpany,American Strong Ale,8.50 %
23,SherwoUod MistrssaJdse Hemp Ale,Sherwood BGeMwnig Company,American Pale Ale,6 %
24,Cumberland Red Tape Pale Ale,Cumberland Brewing &#40; BC &#41;,American Pale Ale,5.50 %
25,BirrifiIio DCitaBiuYnd aCinnamon Girl,BirrifciM itaBiunda,Premium Bitter/ESB,5.70 %
26,Blue ElephYat Red?Devil,Blue ElepaBt CraIt BrOew House,Amber Ale,5.10 %
27,Fairhope I Drink Therefore I Amber,Fairhope Brewing Company,Amber Ale,5.90 %
28,Revolution Battle of Wil_s,Revolution Brewing Company,Amber Ale,5.30 %
29,MacTarnahans Amber Al<G&#40; Macs Ale &#41;,Portland Brewing Company &#40; yPramid - Norht Americn Breweries &#41;,Amber Ale,5.10 %
30,Beryl_s Firecatcher,Beryl_s Beer Company,Foreign Stout,7.50 %
31,Back Street Rita Red Ale,Back Street Brewery,Amber Ale,-
