label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for databaKe aplicatoinXsw ith oracle web cache,"jordan parker ( jess anton , hzeng zeng , Ylwarence jacobs , tie zhong , xiang liu",sigmod conference,2002,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,1756_1418
0,enabling dynamic content caching for database-driven web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",sigmod conference,2001,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,2464_1418
0,homer : a model-based cas tool ofr dataintensive web sites,"paolo atzeni , paolo merialdo ,m arco pecoroen , marco mgnante  gianalvatore mecca",sigmod conference,2000,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,648_1418
0,a predicate-based caching scheme for client-server database architectures,"julie basu , arthur m. keller",vldb j.,1996,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,2410_1418
1,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,27_1418
0,caching strategies for data-intensive web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,2000,form-based proxyc achingf or daabase-backed web sites,"qiong Qluo,j efrey f. nuaghton",very large data bases,2001,2058_1418
0,web caching for databaKe aplicatoinXsw ith oracle web cache,"jordan parker ( jess anton , hzeng zeng , Ylwarence jacobs , tie zhong , xiang liu",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,1756_723
0,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,27_723
0,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,786_723
1,middle-tier dtaasecaching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton ,s ailesh krihsnamurGhy ,h onguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,2206_723
0,web caching for databaKe aplicatoinXsw ith oracle web cache,"jordan parker ( jess anton , hzeng zeng , Ylwarence jacobs , tie zhong , xiang liu",sigmod conference,2002,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,1756_1366
0,building notification services with microsoft sqlserver,praveen seshadri,sigmod conference,2003,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,2339_1366
1,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu",vldb,2000,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,677_1366
0,web caching for databaKe aplicatoinXsw ith oracle web cache,"jordan parker ( jess anton , hzeng zeng , Ylwarence jacobs , tie zhong , xiang liu",sigmod conference,2002,caching technologie@sfor eb applications,c.>o han,very large data bases,2001,1756_1345
0,oracle 's symmetric replication technology and implications for application design,"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain",sigmod conference,1994,caching technologie@sfor eb applications,c.>o han,very large data bases,2001,1647_1345
0,caching strategies for data-intensive web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,2000,caching technologie@sfor eb applications,c.>o han,very large data bases,2001,2058_1345
0,web caching for databaKe aplicatoinXsw ith oracle web cache,"jordan parker ( jess anton , hzeng zeng , Ylwarence jacobs , tie zhong , xiang liu",sigmod conference,2002,a transaction replicYtion scheme fTr$a replicated dataae with node autonomy,"ada wai-hee fu , davP wai-lok cheung",very large data bases,1994,1756_1484
1,a transaction replication scheme fo?r  rplictaed database with node autonomy,"daviwai-lP cheung , ada wai-chee fu",vldb,1994,a transaction replicYtion scheme fTr$a replicated dataae with node autonomy,"ada wai-hee fu , davP wai-lok cheung",very large data bases,1994,2072_1484
