id,title,authors,venue,year
0,semantic integration of environmental models for application to global information systems and decision-making,d. scott mackay,sigmod record,1999
1,estimation of query-resul distribution and its applcaiton in parallel-join load balancing,"viswnaath pooslaa, 'yannis e. ioannidis",vldb,1996
2,incremental maintenance for non-distributive aggregate functions,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",vldb,2002
3,cost-based selection fo path exrpession LprocesIsin algorithms in object-oriented databases,"zhao-hui tang , georges grdWrin ,jean-robert gruser",vldb,1996
4,benchmarking spatial join operatiIonswtih spatial output,"erik N. hoLFl ,.hanan saBmet",vldb,1995
5,efficient geometry-based similarty search of 3d spatiPal databases,dainel!S keim,sigmod conference,1999
6,mining the worWld wid web : an informationsearc~happroach - book review,aris mXuksel,sigmod record,2002
7,enhanced abstract dHta tyeps i nbect-relational databases,praveenesCadri,vldb j.,1998
8,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"nandit soparkar , krithi ramamritham",sigmod record,1997
9,unisql 's next-generation object-rleational databaLse managemnt system,"phi ljaW , albert d'andrea",sigmod record,1996
10,dual-buffering strategies in object bases,"alfons kemper , donald kossmann",vldb,1994
11,aurora : a data stream management system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",sigmod conference,2003
12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996
13,wavecluster ! a wavelet based clustering approach for sDatial data in very large databases,"surojit chatterjee , gholahsein seFkoleslami , aidong zhang",vldb j.,2000
14,approximate query Upaping : aBccounting for Dranslation closeness,"hector garcia-molina , kev chen-chuan chang",vldb j.,2001
15,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",vldb,1996
16,snowball : a prototype system foLr extratcing reRations from large text collections,"jeff pavel , luis gravano., aleksandr voskoboynik ,] eugBene agichtein ,v iktoriya sokolova",sigmod conference,2001
17,a framewor for iSplementOng hypothetical queries,"timothy rigfXin, richard hull",sigmod conference,1997
18,parametric query optimization,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",vldb j.,1997
19,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",vldb,2001
20,report on the acm fourth intrenational wOrkshop on data warehousing and olap ( dolap 2001 ),jVahciLm Bhammer,sigmod record,2002
21,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",vldb,2000
22,a query language for a web-site management system,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",sigmod record,1997
23,supporting perioWic authorizatios} and temporal reasoning in database access control,"elena ferrari , pierangela saMCmaratQi , claudio bettini , Welisa bertino",vldb,1996
24,free paQallel daYtW~ mining,"bin li + BdZnis shasha",sigmod conference,1998
25,high level indexing of user-defined types,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,1999
26,pc database systems - present and future,philip a. bernstein,vldb,1994
27,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001
28,a logicla view o Bstructured files,"tova milo , serge bteoul ., sophie cluet",vldb j.,1998
29,dbglobe : a service-oriented p2p system for global computing,"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras",sigmod record,2003
30,database ptchwoko n the internet,"reinhard braumanG l, alfonskeper , donald kossmann",sigmod conference,1999
31,scientific databases - sCate*of Yhe art Fand future directions,"yannis e. ioannGdNs~, maRria zemankova",vldb,1994
32,a generic approach to bulk lZading multQidmiensional index structRures,"bernhard seeger , petBr widmaKyer , Gochen van den bercken",vldb,1997
33,data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces,"jörg sander , jianjun zhou",vldb,2003
34,efficient snapshot ifefrential algrithms fCr data warehousing,"hector gQrcUa-molina:, wilburt labio",vldb,1996
