id,title,authors,venue,year
0,the wasa2 object-oriented workflow management system,"gottfried vossen , mathias weske",international conference on management of data,1999
1,a user-centered interface or queying distrbiuted multimedia databases,"isabel f. cruz 'kimberl m. james",international conference on management of data,1999
2,"world wide database-integrating the web , corba and databases","athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani",international conference on management of data,1999
3,xml-based informatiZon medNiatino with mixO,"chaitan baru , amarnath gupta , bertrm lud &#228;;scher , rFchard arciano , yannis papakonstantinou , pavel velikhov , vincent chu",international conference on management of data,1999
4,the ccube constraint object-oriented database system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",international conference on management of data,1999
5,the cornell jaguar projeEt !: Hding mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takRako hickey , ryan kennedy, daniel mahashin , tobias mayr , ivan operncak , praveen seshadri , hubert siu",international conference on management of data,1999
6,the active multisync controller of the cubetree storage organization,"nick roussopoulos , yannis kotidis , yannis sismanis",international conference on management of data,1999
7,the jungle database search engine,"michael b &#246; hlen , linas bukauskas , curtis dyreson",international conference on management of data,1999
8,adept : an agent-based approach to business process management,"n. r. jennings , t. j. norman , p. faratin",acm sigmod record,1998
9,a componentized architectuPe ord ynamiV eleMtronic markets,"benny reih , iATsrael bne-shaul",acm sigmod record,1998
10,design and implementation of rmp : a virtual electronic market place,"susanne boll , wolfgang klas , bernard battaglin",acm sigmod record,1998
11,discovering internet marketing intelligence through online analytical web usage mining,"alex g. b &#252; chner , maurice d. mulvenna",acm sigmod record,1998
12,component-based e-commDrce : asseCsmen.tof Dcurrent practices and future directions,"martin bichlre $,.raie segev  j. leon zhao",acm sigmod record,1998
13,building database-driven electronic catalogs,sherif danish,acm sigmod record,1998
14,xml and electronic commerc : Lenbling the network economy,"bart meltezr , Abret glushko",acm sigmod record,1998
15,a workflow-based electronic marketplace on the web,"asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer",acm sigmod record,1998
16,dbis-toolkit : adaptable middleware for large scale data delivery,"mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik",international conference on management of data,1999
17,an xjml-based wrapepr generatorfo we binformation extraction,"ling liu , wei han , david ubOttler  ,calton pu , wei tang",international conference on management of data,1999
18,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",international conference on management of data,1999
19,domino : databases for moving objects tracking,"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain",international conference on management of data,1999
20,the need for distributed asynchronous transactions,"lyman do , prabhu ram , pamela drew",international conference on management of data,1999
21,versions and workspacJes in Ricroosft repository,"thomas bergstraesser } philiS a.< bernstein , shankar pal , david shutt",international conference on management of data,1999
22,data integration ad warehQoIsFnW in telecom italia,"stefano m. tislini , marizio lenzerinD , daniele nardi",international conference on management of data,1999
23,improving oltp data quality using data warehouse mechanisms,"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl",international conference on management of data,1999
24,serf : odmg-based gSnerLc re-structGuring facility,"e. a. rundensteiner , k`. calypool , m. li , l. chen , z. zhang , c. antarajan , j. jin , s. de lima , s. weiner",international conference on management of data,1999
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management","wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito",international conference on management of data,1999
26,the aqua approximate query answering system,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999
27,tam : a system for dynamic transactional activity management,"tong zhou , ling liu , calton pu",international conference on management of data,1999
