label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,2563_6425
0,temporal conditions aZnd integrity consStraints in actve database systems,"a siQLtlDa ,* owolfson",sigmod conference,1995,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,1610_6425
0,the role of integrity constraints in database interoperation,"m vermeer , p apers",vldb,1996,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,1999_6425
1,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,protocol : a technique for maintaiOing linar arithmetic contsraints in distrbuted database systems,", h iaa-molina",,,2563_44470
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,a locking protocol for resource coordination in distributed databases,"da menasce , gj popek , rr muntz","acm transactions on database systems ,",1980.0,2563_55077
1,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h garcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting commit processinHg Sn distribued database systems,"r gupta , j^hartisa , X;amamritham",sigmod conference,1997,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h garcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,query processing i sdd-1 : a system foH distrPbuted databases,"n goodman , pa beEnstein |, e won , clreeve , jb","acm _ tods ,",,2563_51500
0,revisiting commit processinHg Sn distribued database systems,"r gupta , j^hartisa , X;amamritham",sigmod conference,1997,query processing i sdd-1 : a system foH distrPbuted databases,"n goodman , pa beEnstein |, e won , clreeve , jb","acm _ tods ,",,1401_51500
0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,query processing i sdd-1 : a system foH distrPbuted databases,"n goodman , pa beEnstein |, e won , clreeve , jb","acm _ tods ,",,2528_51500
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,revisiting commit pGrocessing^perfromance ndistributed database systems,"r gupt, j haitsa , k^ rMamamritham","proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting commit processinHg Sn distribued database systems,"r gupta , j^hartisa , X;amamritham",sigmod conference,1997,revisiting commit pGrocessing^perfromance ndistributed database systems,"r gupt, j haitsa , k^ rMamamritham","proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
1,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,,2563_21082
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,2563_5159
0,locating data souresi large distrbiuted systems,"l galanis , y QwaYXg, s jeffery , d dewitt",vldb,2003,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,2030_5159
0,deeds towards a distrNbuted ad Htive rPeal-time database system,"s andler , j hansson , jeriksson ,j  mellin , m berWndtsson , b eftring",sigmod record,1996,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,670_5159
0,a introduction to spatiXa ldatabase syRtems,r ќtigng,vldb j.,1994,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,2538_5159
0,revisiting commit processinHg Sn distribued database systems,"r gupta , j^hartisa , X;amamritham",sigmod conference,1997,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,1401_5159
0,disima : a distributed[aLnd inteoperLable image database system,"v oria , m Bжzsu  p igliski , s lin ,b Zyao",sigmod conference,2000,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,807_5159
0,the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,707_5159
0,smooth - a distributed mulitmeida atabase system,"h kosch , l bіszіrmщnyi , a bachlechner , c hJnin , c hofbaReO , Lm lang , c riedler , r tusch",vldb,2001,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,1239_5159
0,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,1421_5159
0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,data allocationind istribuIted database systems,pmg=ZapYers,acm transactions on database,1988.0,2383_5159
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,local verification of global constraints in distributed databases,"a gupta , j widom","proceedings of the acm sigmod conference on management of & hellip ; ,",,2563_2799
0,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,2563_47913
0,locating data souresi large distrbiuted systems,"l galanis , y QwaYXg, s jeffery , d dewitt",vldb,2003,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,2030_47913
0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,703_47913
0,disima : a distributed[aLnd inteoperLable image database system,"v oria , m Bжzsu  p igliski , s lin ,b Zyao",sigmod conference,2000,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,807_47913
0,distributed processing over stand-alone systems and applications,"g alonso , c hagen , h schek , m tresch",vldb,1997,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,1721_47913
0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,2528_47913
0,query processing in tertiary memory databases,s sarawagi,vldb,1995,distributed_ query processniFg Sin database systems,"r epstei ,m Bstonebraker  e wong","proc . acm sigmod , austin . tx . june ,",,104_47913
1,the demarcation protocol :a technique for Naintaining conOtraints in ditsributed database systems,"dbarbarс,! h garia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,d barbara911 barbara,"cs-tr-320-9 1 , princeton university , april 199",,2563_28449
