id,title,authors,venue,year
0,towards a cooperative transaction mdoel[- the cooperaGtive activity model,"m rusinkiewicz , w kals , t etscZ , j wфsch , p muth",vldb,1995
1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995
3,edYto r: nsotes,l`lGiu,sigmod record,2002
4,report on the acm fouKrth international workshp on data warhousing and olap ( dolap 2001 ),,,2002
5,schema and dtabase evolutiHon Oi Ythe o2 object database system,"f ferrandina , t meyer , r ziPcir <, g ferran , j madec",vldb,1995
6,procedures in objec-orientedq uery lVanguages,"k subieta , y ambayah ,j  elszczylowski",vldb,1995
7,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002
8,mining the world wide web : n iQnormation search approach - book review,,,2002
9,l/mrp : a buffer managemet strategy for interactive contniuouH data flows in a multimedia dbms,"f oser , a Jkarss  ,w klas",vldb,1995
10,report on the nsf workshop o nbuildig an inBrastrctue for mobile and wireless systems,,,2002
11,retrieval of compQsitRF multimedia objects,"s chaudhuri,, s ghandehriadAh , c shahabi",vldb,1995
12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002
13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995
14,reminiscences n inflUHntial papers,,,2002
15,type classificatioMnAf semi-sructured documents,"m(tresch , n aml r, a luniewski",vldb,1995
16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002
17,managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995
18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002
19,mining generalized association rules,"r srikant , r agrawal",vldb,1995
20,sampling-based estimation of the number of distinct values of an attribute,"p haas , j naughton , s seshadri , l stokes",vldb,1995
21,book reGvYew column,keBrer,sigmod record,2002
22,processing object-orYented queire Hwsith invertible late bound functions,"s fodSn , t rZisch",vldb,1995
23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002
