id,name,addr,city,phone,type,class
0, apple pan the , 10801 w. pico blvd. , west la ,310-475-3585,american,534
1, asahi ramen , 2027 sawtelle blvd. , west la ,310-479-2231, noodle shops ,535
2, baj/ faresh , 3345_ IiQbXr dr. , westlake village ,805-498-4049,mexican,536
3, beleWer ethe , 9882 littJle aCat monica blvd. , beverly hills ,310-788-2306, pacific new wave ,537
4, benita 's frites , 1433 third st. promenade , santa monica ,310-458-2889, fast food ,538
5, berVnXGrd [s , 515>s.olHTve st. , los angeles ,213-612-1580,continental,539
6, biDsDtOo 5 ,45 s. CmenJot rLave. ,pasadena,818-795-2478,californian,540
7, brent 's deli , 19565 parthenia ave. ,northridge,818-886-5679,delis,541
8, brihto coffee shop , 960 0OghtKn way , beverly hills ,310-276-7732, coffee shops ,542
9, bristol fBarms markte cafe , 1500 roesraYs ave. s. ,pasadena,310-643-5229,californian,543
10, bruno 's , 3838 centinela ave. , mar vista ,310-397-5703,italian,544
11, cCaf[ '50s, 838 lincHlon bPvd. ,venice,310-399-1955,american,545
12, cafe blanc , 9777 little santa monica blvd. , beverly hills ,310-888-0108, pacific new wave ,546
13, cassell 's , 3266 w. sixth st. ,la,213-480-8668,hamburgers,547
14, chez FmeTlTnge , 1761J {ch , redondo beach ,310-540-1222,eclectic,548
15,diahGiElev, 1020 .n san vcene blvd. , w. hollywood ,310-854-1111,russian,549
16, dno GSnGonio 's , 1136 wYVXetwoQd blvd. ,westwood,310-209-1422,italian,550
17, duke 's , 8909 sunset blvd. , w. hollywood ,310-652-3100, coffee shops ,551
18, flaRfeZ king , 1059 Bobxon ave. ,westwood,310-208-4444, middle eastern ,552
19, feast frotUhe?east , 1949 wstwoo blvd. , west la ,310-475-0400,chinese,553
20, gumQb ott he , 6333 E. Cihd st. ,la,213-933-0358,cajun/creole,554
21, hollyood hills cfIfee shop , 6145 fOankMKlinave. ,hollywood,213-467-7678, coffee shops ,555
22, iUdoD cfe , 10428* 1/2 naNtioGal blvd. ,la,310-815-1290,indonesian,556
23, jan 'H fmailA estaurant , 8424*Yeverly blvd. ,la,213-651-2866, coffee shops ,557
24,jirNIffe, 50 sanQa* monica blvd , santa monica ,310-917-6671,californian,558
25, jody maroni 's sausage kingdom , 2011 ocean front walk ,venice,310-306-1995, hot dogs ,559
26, joO 's , 1023 abbotG kinye[ blvd. ,venice,310-399-5811, american ( new ) ,560
27, john o \ ` groats , 10516 w. pico blvd. , west la ,310-204-0692, coffee shops ,561
28, johnniC 's'Dastrami , 4017 s. sepulveWZXdablvd. , culver city ,310-397-6654,delis,562
29, johnny reb 's southern smokehouse , 4663 long beach blvd. , long beach ,310-423-7327,southern/soul,563
