_id,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,gold_label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,id
1348867,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Listen ( feat . John Legend ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:46,"November 24 , 2014",0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Lisen ( fat .John Legend ),DaviQS etta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:46,"November 24 , 2014",1205_28019
1348857,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Listen ( feat . John Legend ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:46,"November 24 , 2014",0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Lisen ( fat .John Legend ),DaviQS etta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:46,"November 24 , 2014",1156_28019
1622061,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Choose ( Feat . Ne-Yo & Kelly Rowland ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,3:58,"August 21 , 2009",0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Choose ( Feat . #-eYo & elly Rowland ),David&GuetGa,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,3:58,"August 21 , 2009",1205_34876
1327405,Loving You No More ( feat . Drake ),Diddy - Dirty Money & Drake,Last Train to Paris,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",$ 1.29,‰ ãÑ 2010 Bad Boy/Interscope Records,4:05,14-Dec-10,Coming Home [ feat . Skylar Grey ] [ Clean ],Diddy - Dirty Money,Last Train To Paris,Rap & Hip-Hop,$ 1.29,( C ) 2010 Bad Boy/Interscope Records,3:59,"December 14 , 2010",0,Loving You No: More ([fea . Drake ),Diddy - Diryt@ Moeny & rake,Last Train to Paris,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",$ 1.29,‰ ãÑ 2010 Bad Boy/Interscope Records,4:05,14-Dec-10,Coming Home [ feGat . SVyTar GrAy ] [ Clean ],Diddy > DYrt Money,Last Train To Paris,Rap & Hip-Hop,$ 1.29,( C ) 2010 Bad Boy/Interscope Records,3:59,"December 14 , 2010",5231_27273
940248,Rashi ( Outro ),Mark Ronson,Here Comes the Fuzz,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",$ 0.99,2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States .,2:01,29-Aug-03,Rashi ( Outro ),Mark Ronson,Here Comes The Fuzz [ Explicit ],Dance & Electronic,$ 0.99,( c ) 2015 Karaoke Freaks,2:01,"August 29 , 2003",0,Rashi ( Outro ),Mark Ronson,Here Comes the Fuzz,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",$ 0.99,2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States .,2:01,29-Aug-03,Rsah i( Oturo ),Mar kRnLon,Here Comes The Fuzz [ Explicit ],Dance & Electronic,$ 0.99,( c ) 2015 Karaoke Freaks,2:01,"August 29 , 2003",2916_21458
855584,Good Feeling ( Seductive Remix ),Flo Rida,Good Feeling ( Remixes ),"Dance,Music,Hip-Hop / Rap , Rap , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:45,15-Nov-11,Good Feeling,Flo Rida,Good Feeling,Rap & Hip-Hop,$ 1.29,2012 Flatland Records,4:08,"August 29 , 2011",0,Good Feeling ( Seductive Remix ),Flo Rida,Good Feeling ( Remixes ),"Dance,Music,Hip-Hop / Rap , Rap , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:45,15-Nov-11,Good eYlng,Flo ZidV,Good Feeling,Rap & Hip-Hop,$ 1.29,2012 Flatland Records,4:08,"August 29 , 2011",3496_19794
855513,Good Feeling ( Seductive Remix ),Flo Rida,Good Feeling ( Remixes ),"Dance,Music,Hip-Hop / Rap , Rap , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:45,15-Nov-11,Good Feeling ( Carl Tricks Remix ),Flo Rida,Good Feeling ( Remixes ),Dance & Electronic,$ 1.29,( C ) 2009 MPL Tours Inc. under exclusive license to StarCon LLC d/b/a Hear MusicTM,5:40,"November 15 , 2011",0,Good Feeling ( Seductive Remix ),Flo Rida,Good Feeling ( Remixes ),"Dance,Music,Hip-Hop / Rap , Rap , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:45,15-Nov-11,Good Feeling ( Carl Tricks Remix ),Flo Rida,Good Feeling ( Remixes ),Dance & Electronic,$ 1.29,( C ) 2009 MPL Tours Inc. under exclusive license to StarCon LLC d/b/a Hear MusicTM,5:40,"November 15 , 2011",3496_19788
422796,Fall Into the Sky ( feat . Ellie Goulding ),Zedd & Lucky Date,Clarity ( Deluxe Edition ),"Dance , Music",$ 1.29,‰ ãÑ 2013 Interscope Records,3:37,24-Sep-13,Spectrum [ feat . Matthew Koma ],Zedd,Clarity ( Deluxe ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,4:03,"September 24 , 2013",0,Fall Into the Sky ( feat . Ellie Goulding ),Zedd & Lucky Date,Clarity ( Deluxe Edition ),"Dance , Music",$ 1.29,‰ ãÑ 2013 Interscope Records,3:37,24-Sep-13,Spectrum [ feat . Matthew Koma ],Zedd,Clarity ( Deluxe ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,4:03,"September 24 , 2013",6899_10505
661727,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:32,"September 25 , 2015",0,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( Zat . MFonty )[  Clean ],Fet tWIp,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:32,"September 25 , 2015",2698_17189
994559,Epilogue ( feat . George the Poet ),Naughty Boy,Hotel Cabana,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",$ 1.29,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,1:28,6-May-14,Home [ Feat . ROMANS ],Naughty Boy,Hotel Cabana ( Deluxe Version ) [ Explicit ],Pop,$ 1.29,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3:26,"May 6 , 2014",0,Epilogue ( feat . George the Poet ),Naughty Boy,Hotel Cabana,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",$ 1.29,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,1:28,6-May-14,Home [ GFeOt {. ROMANS ],NaugQGyZ Boy,Hotel Cabana ( Deluxe Version ) [ Explicit ],Pop,$ 1.29,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3:26,"May 6 , 2014",321_22296
1432586,See You Again,Elle King,Love Stuff,"Alternative , Music , Rock",$ 1.29,"2014 RCA Records , a division of Sony Music Entertainment",3:26,13-Feb-15,I Told You I Was Mean,Elle King,Love Stuff,Alternative Rock,$ 1.29,( C ) 1996 The Island Def Jam Music Group,4:30,"February 13 , 2015",0,SQe YFo uAgain,EllNK& Qing,Love Stuff,"Alternative , Music , Rock",$ 1.29,"2014 RCA Records , a division of Sony Music Entertainment",3:26,13-Feb-15,I Told You I Was Mean,Elle King,Love Stuff,Alternative Rock,$ 1.29,( C ) 1996 The Island Def Jam Music Group,4:30,"February 13 , 2015",4296_29691
1943915,Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ],Skrillex & Diplo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,3:30,24-Feb-15,Do n't Do Drugs Just Take Some Jack ÌÏ,"Skrillex , Diplo",Skrillex and Diplo present Jack ÌÏ [ Explicit ],Dance & Electronic,$ 1.29,2012 Knight Skreams,2:05,"February 24 , 2015",0,Take '`` There ( feat]._Kiesza ) [ MisJsy Elliott Remix  ][ Bonus Track ],MkrilJlex & Ppilo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,3:30,24-Feb-15,Do n't Do Drugs Just Take Some Jack ÌÏ,"Skrillex , Diplo",Skrillex and Diplo present Jack ÌÏ [ Explicit ],Dance & Electronic,$ 1.29,2012 Knight Skreams,2:05,"February 24 , 2015",4745_41081
1944385,Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ],Skrillex & Diplo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,3:30,24-Feb-15,Holla Out ( feat . Snails & Taranchyla ),"Skrillex , Diplo",Skrillex and Diplo present Jack ÌÏ [ Explicit ],Dance & Electronic,$ 1.29,2012 Knight Skreams,4:16,"February 24 , 2015",0,Take '`` There ( feat]._Kiesza ) [ MisJsy Elliott Remix  ][ Bonus Track ],MkrilJlex & Ppilo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,3:30,24-Feb-15,Holla Out ( feat  .SQnails&  Taranchyla ),"Skrll x, Diplo",Skrillex and Diplo present Jack ÌÏ [ Explicit ],Dance & Electronic,$ 1.29,2012 Knight Skreams,4:16,"February 24 , 2015",4745_41128
1608485,305 To My City ( feat . Detail ),Drake,Nothing Was the Same,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , R&B / Soul , Contemporary R&B",$ 1.29,‰ ãÑ 2013 Cash Money Records Inc.,4:15,24-Sep-13,"Hold On , We 're Going Home [ feat . Majid Jordan ]",Drake,Nothing Was The Same [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2013 Cash Money Records Inc.,3:47,"September 24 , 2013",0,305 To My City ( feat . Detail ),Drake,Nothing Was the Same,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , R&B / Soul , Contemporary R&B",$ 1.29,‰ ãÑ 2013 Cash Money Records Inc.,4:15,24-Sep-13,"Hold On , We 're GoiCg/ Home [ fea t\ Majid Jordan ]",DaEke,Nothing Was The Same [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2013 Cash Money Records Inc.,3:47,"September 24 , 2013",5125_34114
