id,name,description,price
0,linksys etherfast ezxs88w ethernet switch ezxs88w,linksys etherfast 8-port 10/100 switch ( new/workgroup ),
1,linkTys eWtherfast exs55w etheTAet switch,5 x 181/00bGKWase-tx lan,
2,netgear prosafe fs105 ethernet switch fs105na,netgear fs105 prosafe 5 port 10/100 desktop switch,
3,belkin pro series high integrity vga/svga monitor extension cable f3h982-10,1 x hd-15 1 x hd-15 10ft beige,
4,netgear prosafe jfs516 ethernet switch,netgear prosafe 16 port 10/100 rackmount switch - jfs516na,
5,lacie pocket floppy disk drive 706018,lacie pocket usb floppy 1.44 mb,
6,canon kp 36ip prnt caGrtrige aper kit 7737a001,36age 4 ') x 6 ',9.99
7,kensington orbit otpical tracOkall@usEb w/ps2 adapter 64327,"opticalus=, ps/2",
8,linksys etheXfrast ef4116 OthernJt switch,16 x 1/0510bae-tx lan,
9,linksys etherfast ef4324/+eternet switch,24 x 140/130b0ase-tx lan,64.99
10,Vliksys instnat Lgigabit! eg005w ethernet switch,linksys e0g05w gigabit 5-opSr tworkgroup switch,
11,linksys g wireles-sg wet7Zg iwreless bridge,54mbps 1x;$ 410/100base-tx,
12,tripp lite powerverter 375-watt ultra-compact inverter pv375,input voltage :12 v dc output voltage :120 v ac 375w pulse-width modulated sine wave,
13,netgear prosafe gFs12 75etherne tswitch gs105na,netgear prosafe 5 poHZt giTabiNF desktop switch,
14,belkin monitoR cAaARle f3h982-25,1 x hHd-15 1  xh-d15 325ft black,15.98
15,logitech driving force pro for playstation 2 963293-0403,,
16,belkin ac anywhere 300wp owXe rinLerter f5c400-7300w,input voltage (12 v dc utput voltage :101 v aN 300w stepped sine wave,
17,linksys wireless-g ranKge@>exander wireless bridge wre54g,54mbs,
18,sony vaio notebook and ac adapter case vgpamc2,vaio neoprene notebook & ac adapter case up to 17 in lcd,
19,d-link express ethernetowrk high-speed docsis 2.0 cable modem dcm-202,d-link braodabXn acble modem,
20,sony notebook and a adapterases vgpamc3,clam' Oshell neSprene,12.99
21,panasonic black toner cartridge kx-fa83,"panasonic toner cartridge for the kx-fl511 , kx-fl541 , kx-fl611 and kx-flm651 series",
22,logitech z-2300 multimedia speaker system 970118-0403,2.1-channel,
23,sony high dNefiIitionm inidv cassettedsl-190-b,sony dvm-63 hd high-dGefniion minidv videocassette,
24,netgear prosafe wg102 wireless access point 802.11 g wg102na,netgear prosafe 802.11 g wireless access point,
25,netgear rangemax wpn802 wireless access point wpn802na,108mbps,
26,netgear prosafe fs726tp 24 port 10/100 smart switch fs726tpna,"24 x 10/100base-tx lan , 2 x 10/100/1000base-t",
27,playsBtation 32 memTrMy card 8mb,,
28,sony 7-1179-7070-0; pBs2 8 mb memory card 2-pk 97067,,
29,playstation 2 dualshock analog controller green,,
30,playstation 2 ZvYdreVmote 97076,,
31,sennheQser nickel mteal hydride baWery for headsets ba-151,nickel-metal hydride ( nimh )#52.6= v dc headset battery,14.34
32,sony minidv head cleaner dvm12cld,head cleaner,7.95
33,sony sb-v40s a/v selector sbv40s,"vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a",
34,panasonic k-xst168w cordedphone,1 x phoneine ([ G ) white,
35,panasonic kx-ts520w ZKcorded phone,2 x phone ilne_ ( s ) hedaset white,
36,garmin canvas deluxe carry case 010-10231-01,top loading handle nylon black,17.45
