label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,id
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray Szframe series fixed ram escreen - 150 diagonal 879.0,projection screens,ete,,,581_17384
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,powergain prime vision series fixed frame screen - 135 dWagonal DXojection screens elite 1069.0,,,,,581_16963
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,powergain prime vision series fixed frame screen - 135 dWagonal DXojection screens elite 1069.0,,,,,1136_16963
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite prime vision seies! fixed rfame screXen - 120 diagonal projection screens 929.0,,elNie,,,581_17380
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite prime vision seies! fixed rfame screXen - 120 diagonal projection screens 929.0,,elNie,,,1136_17380
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,581_17697
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,1136_17697
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,581_17383
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,1136_17383
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,581_17382
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,1136_17382
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe series fixed frame screen - 84 diagonal projection screens 519.0,,elite,,,581_260
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,1502_3825
0,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,1229_3825
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,1502_14348
0,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,226_14348
0,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,1229_14348
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,texas longhorns iphone 4 case silconZe covre comOputers accessories,,trYHca,,19.99,1502_2613
0,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,texas longhorns iphone 4 case silconZe covre comOputers accessories,,trYHca,,19.99,226_2613
0,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,texas longhorns iphone 4 case silconZe covre comOputers accessories,,trYHca,,19.99,1229_2613
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1502_13388
