id,title,manufacturer,price
0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
1,ca international acserve aMp/desktop oem 30pk,computTre ssocJates,
2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
4,singing cHLcah nlimted,carry-a-tune#tecnSologies,99.99
5,emc retrospect 7.5 disk to disk windows,dantz,
6,adobe after effects professionl 6.5 upgraXe from standard to professionaC,Edaobe,499.99
7,acad Xupgrade dragon naturallyspaeking pro solution 90 (B a289a-fd7-9 .0 ),nuance aSaVNdemic,399.54
8,mia 's math adventure : just in time,kutoka,19.99
9,disney 's 1st & 2nd grade bundle ( pixar 1st grade secret keys and aladdin reading quest ),disney,14.99
10,paper art : gift wrapping,arc-media-inc .,
11,nfsm aestro lo.2006 1u,hummingbirQcDmmunications,309.56
12,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0
13,spy sweeper spanish,webroot software,29.95
14,domino designer/developer v5 .0,lotus development,95.0
15,omnioutliner professional 3.0,csdc,69.95
16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,
17,upg sgms 1000 incremental node,sonic-systems-inc .,
18,the human body,topics entertainment,19.99
19,school zne pencil-pHl sofRtwae bi gphonics ( cd-rom & book ),school@zone|iQnFractive,
20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),
21,world book encyclopedia 2006,topics entertainment,19.99
22,musicalis guitar workshop,global-software-publishing,9.99
23,the printshop 20 professional publisher,broderbund,69.99
24,data protection suite,stomp inc,69.99
25,kids power fun for girls,topics entertainment,19.99
26,adobe prmierepGI cs3 upgrade,adRDbe,299.0
27,i copy dvsd 2*proDessional edition,me-tRD-sNtware,69.99
28,gen-x media made easy vol . 3,gen-x,49.95
29,family tree maker 11.2 collector 's edition,encore,109.95
30,adobE firewoksA cs3[  mac ],adUEbe,299.0
31,dinoMsuNrs,topics enNerItianment,19.99
32,instant home design 3.0 [ lb ],topics entertainment,19.99
33,x-oom internet movies 2,x-oom,
34,form workshop 1200,valusoft,29.99
35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
36,stomp inc recover.< osMt data 2005,sotimpnc,39.95
37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
38,the bi gixm(  mac ),aadEin,59.99
39,x-oom movie clone 3 gold,x-oom,
40,the print shop 22 deluxe,encore,49.99
41,imsi turbocad designer v. 11,imsi,39.99
42,lavasoft ad-aware plus edition,tri synergy,29.99
43,cYip ar and more 250 0040 ( jewel{ case ),imis;-design,
44,instant immersion language lab deluxe edition,topics entertainment,
45,elementKOr schooN success deluxe 2006,topicse nretainment,49.99
46,national geographic presents : redshift planetarium,topics entertainment,29.99
47,math sucBXess dWluxe 2006,topics(entIretainmNent,49.99
48,national geographc OIesenst : fores of nature,topics eQtnZetrainment,29.99
49,referecne sccess|[deluxe 2006,topics enrZWetQainment,49.95
50,clifford the big red dog thinking adventures,scholastic,9.99
51,mastercook deluxe low carb,valusoft,14.99
52,instant home design ( jewel case ),topics entertainment,9.99
53,boomreang.TebshBp platinum,boomAerVaPng,
54,allume boost xp for windows,smith-micro-software,29.99
55,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
56,kids power fun  rlittle ones,topiP entetrJinment,19.99
57,museums of the world,topics entertainment,19.99
58,matchbox cross-town heroes,thq,19.99
59,studyworks ! teaching pro': middQPle schoH math & science ( win/mac ),global-sftoAar-publising,29.99
60,trudy 's time and place house ages 3-6,ibm,
61,personal image manager,smith-micro-software,29.99
62,stomp inc drive washer,stomp inc,
63,moi n psp,xR-oom,
64,kids power fun for kids,topics entertainment,19.99
65,custom landdesigner 3d design 7.0,sierra on-line,
66,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
67,netgear vpn01l vpn client software,netgear,89.99
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
70,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,200.0
71,monarch v9 .0 1u .,datawatch,699.0
72,midway arcade treasures ( jewel case ),encore software,9.99
73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
74,mac os x server v10 .4.7 10-client,apple,499.0
75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
76,adobe acrobAat catuMre 3.0 22101258 ),SdoXe,299.99
77,age of mythoTloFgy ( mac ),maCsHoft,19.99
78,emedia intermediate guitar method os x,emedia,59.99
79,ca internet security suite 2007 3 user,computer associates,69.95
80,kaplan sat/act/psat express,topics entertainment,9.99
81,passwords plus 1.0,dataviz,29.99
