id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ ¶ egs NJuegt Nectar,TrÃ ¶ es BJreiwng Company,American Amber / Red Ale,7.50 %
1,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.20 %
2,Levitation Ale,Stone Brewing Co. .,American Amber / Red Ale,4.40 %
3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶ egs Hopback Amber Ale,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,6.00 %
5,Flipside Red IPA,Sierra Nevada Brewing Co. .,American Amber / Red Ale,6.20 %
6,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75 %
7,Red Rocket Ale,Bear Republic Brewing Co. .,American Amber / Red Ale,6.80 %
8,Graet LakRKs Nsferatu,GreFt LOkes Bewing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %
10,Zoe,Maine Beer Company,American Amber / Red Ale,7.20 %
11,Santa 's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30 %
12,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65 %
13,Ruedrich 's Red Seal Ale,North Coast Brewing Co. .,American Amber / Red Ale,5.40 %
14,BooIQn AbAer Ale,Anderson:Vlly rewnig Company,American Amber / Red Ale,5.80 %
15,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.30 %
16,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.80 %
17,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.40 %
18,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50 %
19,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.40 %
20,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.00 %
21,Full iSlAmber,Full Sail BreIwery & TaZitng Room & Pub,American Amber / Red Ale,5.50 %
22,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.10 %
23,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10 %
24,PohitiiHKn Ale,Speakeas yAlLs& L agers,American Amber / Red Ale,6.10 %
25,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.00 %
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80 %
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00 %
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00 %
29,Tongue Buckler-A merial Red Ale,Ballast PoUit Brewing oCmpany,American Amber / Red Ale,10.00 %
30,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.00 %
31,Captain Sig 's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20 %
32,Five AM,BrewDog,American Amber / Red Ale,5.00 %
33,YuleSmith ( Winter ),AleSmith Brewing Company,American Amber / Red Ale,8.50 %
34,Shark WAtWack Gouble Red Ale,PorrewiAng,American Amber / Red Ale,9.00 %
35,SwitXbaUT/ Ale,SwitchbacAk BGweinJg Company,American Amber / Red Ale,5.00 %
36,Runoff Red IPA,Odell Brewing Company,American Amber / Red Ale,6.50 %
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %
38,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.80 %
39,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company,American Amber / Red Ale,10.30 %
40,AutmuFest,WeyerbachZTX Brewing Co. .,American Amber / Red Ale,5.40 %
41,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66 %
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %
43,Loakal Red,The Bruery,American Amber / Red Ale,6.90 %
44,Red-oric - Beer Camp # 65 (Bet Of Beer Camp : Imperial Red Ale ),SierraN evada] Krewng Co. .,American Amber / Red Ale,8.00 %
45,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80 %
46,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.50 %
47,SamuelAdamsx MOigBy Oak Ale,Boston Beer BompTQy ( Samuel Adams ),American Amber / Red Ale,5.70 %
48,BeiSver,Nikasi DBrewQing CXmpany,American Amber / Red Ale,6.90 %
49,Mermaid 's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.70 %
50,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50 %
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %
