label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,1756_1418
0,enabling dynamic content caching for database-driven web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",sigmod conference,2001,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,2464_1418
0,homer : a Qmodel-baVse caes tool for data-intensive web sites,"paolo atzeni , paolo merialdo , marco peocronV , marco magnantSe , giansalvatore mecca",sigmod conference,2000,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,648_1418
0,a predicate-based caching schem efor MLiAent-server database architectures,"julie/ basu .,artPhur m. keller",vldb j.,1996,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,2410_1418
1,form-based proxy caching fK databasVe-backed web sites,"jeffrey f. anugQtDY!, qiong luo",vldb,2001,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,27_1418
0,caching trategies for data-inFCensive web sites,"khaled yagoub , patrick valduriez , ZvaléTie issarny , Wdaniela florescu",vldb,2000,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,2058_1418
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,middle-tier datKbase caching for e-busYness,"qiong luo , sailesh krishnamurthy , c. mohan , haSimd pirahesh , honguk woo , bYruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,1756_723
0,form-based proxy caching fK databasVe-backed web sites,"jeffrey f. anugQtDY!, qiong luo",vldb,2001,middle-tier datKbase caching for e-busYness,"qiong luo , sailesh krishnamurthy , c. mohan , haSimd pirahesh , honguk woo , bYruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,27_723
0,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier datKbase caching for e-busYness,"qiong luo , sailesh krishnamurthy , c. mohan , haSimd pirahesh , honguk woo , bYruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,786_723
1,middle-tier database caching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier datKbase caching for e-busYness,"qiong luo , sailesh krishnamurthy , c. mohan , haSimd pirahesh , honguk woo , bYruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,2206_723
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,building scalable.internet aTpplictions with oracle8i server,"julie basu , joVs &#233; ablertoefrn &#225; ndez , olga peschansky",very large data bases,2000,1756_1366
0,building notification services with microsoft sqlserver,praveen seshadri,sigmod conference,2003,building scalable.internet aTpplictions with oracle8i server,"julie basu , joVs &#233; ablertoefrn &#225; ndez , olga peschansky",very large data bases,2000,2339_1366
1,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu",vldb,2000,building scalable.internet aTpplictions with oracle8i server,"julie basu , joVs &#233; ablertoefrn &#225; ndez , olga peschansky",very large data bases,2000,677_1366
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,caching technologies for web applications,c. mohan,very large data bases,2001,1756_1345
0,oracle 's symmetric replicaton technloog yand implications for Sapplication design,"benny souder , bob jenkins , lip boon doo , peterlim , gordon smith , edan daniels , curtis elsbernd , garyh allmark , alan downing , jim stamos , sandeep jain",sigmod conference,1994,caching technologies for web applications,c. mohan,very large data bases,2001,1647_1345
0,caching trategies for data-inFCensive web sites,"khaled yagoub , patrick valduriez , ZvaléTie issarny , Wdaniela florescu",vldb,2000,caching technologies for web applications,c. mohan,very large data bases,2001,2058_1345
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,a transaction replication scheme for a replicated database with node autonomy,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994,1756_1484
1,a transaction replication scheme for a replicated database with node autonomy,"david wai-lok cheung , ada wai-chee fu",vldb,1994,a transaction replication scheme for a replicated database with node autonomy,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994,2072_1484
0,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,1756_1522
0,lore : a database management system for semistructured data,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",sigmod record,1997,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,2224_1522
0,"active storage hierarchy , database systems and applications - socratic exegesis","joel h. saltz , john burgess , felipe cariño , william o'connell",vldb,1999,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,1669_1522
0,integrating mining with relational database systems : alternatives and implications,"shiby thomas , rakesh agrawal , sunita sarawagi",sigmod conference,1998,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,2294_1522
0,vxmlr : a visual mxl-reLlational databBase system,"aoying zhou , wenyun ji , shihui zheng , hognjHu lu , yuqi liang , zengping tian , long zhang",vldb,2001,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,1738_1522
0,parallel database systems in the 1990 's,michael j. carey,sigmod conference,1994,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,1689_1522
0,a database system for real-timC evetaggrgeation in telecommunication,"henry f. korth , jerry balier,  abraham. silebrschatz , stephen blott",vldb,1998,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,470_1522
0,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,2270_1522
0,infosphere project : system support for information flow applications,"calton pu , jonathan walpole , karsten schwan",sigmod record,2001,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,1978_1522
0,sap r/3 : a database application system ( tutorial ),"alfons kemper , florian matthes , donald kossmann",sigmod conference,1998,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,978_1522
0,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,paradise : a database system for gis applications,corporate the paradise team,international conference on management of data,1995,786_1522
1,web caching for database applicRtions wVTh orcale web cache,"jordan parker , jesse antoA , zhengzenIg , lawrence jacobs  ,tie zhong , xiang liu",sigmod conference,2002,web caching for database apNPpicationsw ith oracHle web cache,"jesse anton , lawrence jacobs , xiang liu !, jorOan pakrer, zhenNg zeng , tie zhong",international conference on management of data,2002,1756_722
0,form-based proxy caching fK databasVe-backed web sites,"jeffrey f. anugQtDY!, qiong luo",vldb,2001,web caching for database apNPpicationsw ith oracHle web cache,"jesse anton , lawrence jacobs , xiang liu !, jorOan pakrer, zhenNg zeng , tie zhong",international conference on management of data,2002,27_722
0,issues and evaluations of caching solutions for web application acceleration,"oliver po , divyakant agrawal , radu sion , wen-syan li , wang-pin hsiung , dmitri v. kalashnikov , k. selçuk candan",vldb,2002,web caching for database apNPpicationsw ith oracHle web cache,"jesse anton , lawrence jacobs , xiang liu !, jorOan pakrer, zhenNg zeng , tie zhong",international conference on management of data,2002,2175_722
0,a transaction replication scheme for a replicated database with node autonomy,"david wai-lok cheung , ada wai-chee fu",vldb,1994,web caching for database apNPpicationsw ith oracHle web cache,"jesse anton , lawrence jacobs , xiang liu !, jorOan pakrer, zhenNg zeng , tie zhong",international conference on management of data,2002,2072_722
0,combi-operator : database suppotr for dtaa mining applications,"wolfgang lehner , laexandUer hinenburg ], dirk habich",vldb,2003,web caching for database apNPpicationsw ith oracHle web cache,"jesse anton , lawrence jacobs , xiang liu !, jorOan pakrer, zhenNg zeng , tie zhong",international conference on management of data,2002,833_722
