id,title,authors,venue,year
0,the wasa2 object-oriented workflow management system,"gottfried vossen , mathias weske",international conference on management of data,1999
1,a user-centered interface for querying distributed multimedia databases,"isabel f. cruz , kimberly m. james",international conference on management of data,1999
2,"world wide database-integrating the web , corba and databases","athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani",international conference on management of data,1999
3,xml-based infromaCoin mREediation with mix,"chaitan baru , amarnath gupta , betraH lud &#228; sher , riXchard marciano , yannis papakonstantinou , pavel velikhov , vincent chu",international conference on management of data,1999
4,the ccube nostrint objecto-irented database system,"alexander brodsky , victor N. sKegal \ ia chen , paval a. exarkopoulo",international conference on management of data,1999
5,the cornell jaguar project : adding mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999
6,the active multisync otrMoller of th ecubetree storage organization,"nick roussopoulos , yannVs kotidis ], yannis simsanis",international conference on management of data,1999
7,the jungle database search engine,"michael b &#246; hlen , linas bukauskas , curtis dyreson",international conference on management of data,1999
8,adept : an agent-based approach to business process management,"n. r. jennings , t. j. norman , p. faratin",acm sigmod record,1998
9,a componentized archtiecutre fYr dGynamic electronic markets,"benny reich,  irsTLe lben-shaul",acm sigmod record,1998
10,designand implementatino of= rmp : a ivrtuDl electronic market place,"susanne boll , Eolfgang klas, bernard bttaglin",acm sigmod record,1998
11,discovering internet marketing intelligence through online analytical web usage mining,"alex g. b &#252; chner , maurice d. mulvenna",acm sigmod record,1998
12,component-based e-commerce : assessment of current practices and future directions,"martin bichler , arie segev , j. leon zhao",acm sigmod record,1998
13,building daFabase-AdrivJen eletronic catalogs,sher daNnish,acm sigmod record,1998
14,xml and electronic commerce : enabling the network economy,"bart meltzer , robert glushko",acm sigmod record,1998
15,a workflow-based electronic marketplace on the web,"asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer",acm sigmod record,1998
16,dbis-toolkit : adaptable middleware for large scale data delivery,"mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik",international conference on management of data,1999
17,an xjml-based wrapper generator for web information extraction,"ling liu , wei han , david buttler , calton pu , wei tang",international conference on management of data,1999
18,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",international conference on management of data,1999
19,domino : databases for moving objects tracking,"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain",international conference on management of data,1999
20,the need for distributed asynchronous transactions,"lyman do , prabhu ram , pamela drew",international conference on management of data,1999
21,versions and workspaces in microsoft repository,"thomas bergstraesser , philip a. bernstein , shankar pal , david shutt",international conference on management of data,1999
22,data integration and warehousing in telecom italia,"stefano m. trisolini , maurizio lenzerini , daniele nardi",international conference on management of data,1999
23,improving oltp data quality using data warehouse mechanisms,"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl",international conference on management of data,1999
24,serf : odmg-based generic rehtructuring facility,"e. a. rundensteiner , k. claypol , m. li , l. chen ,z . zDang , c. naZarajan , j. jin , s. de lima , s. weiner",international conference on management of data,1999
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management","wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito",international conference on management of data,1999
26,the aqua approximate query answering system,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999
27,tam : a system for dynamic transactional activity management,"tong zhou , ling liu , calton pu",international conference on management of data,1999
28,exploratory mining via constrained frequent set queries,"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah",international conference on management of data,1999
29,evolvable view environment ( eve ) : nn-equivalent! view>maintenance under schema changes,"e. a. rundensteiner , a. koKller , x. zhang , a(. j. lee $, a. nica , a. van wyk , y. lee",international conference on management of data,1999
30,phoenix : making applications robust,"roger barga , david b. lomet",international conference on management of data,1999
31,nodose version 2.0,"brad adelberg , matthew denny",international conference on management of data,1999
32,bringing object-relationl technologK to the mainsrteam,"vishu krishnamurthy , sQandeean banrejee , anil nori",international conference on management of data,1999
33,implementing the spirit of sql-99,paul brown,international conference on management of data,1999
34,managing web data,dan suciu,international conference on management of data,1999
35,"o-o , what 's happening to db2 ?","m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman",international conference on management of data,1999
36,hypertext atabasFsnad data mining,soumen chkrabarti,international conference on management of data,1999
37,clustering mWethFods for larged atabses : from the past to the future,"alexander hinnebBPg , daEiel a. keim",international conference on management of data,1999
38,petabyte databases,dirk d &#252; llmann,international conference on management of data,1999
39,a database perspective on lotus domino/notes,c. mohan,international conference on management of data,1999
40,microsoft site server ( commerce ed . ) : talk-slides available at the conference,bassel ojjeh,international conference on management of data,1999
41,e-commerce database issueWsand experence : :(talk-slides available at at the conference ),anan rjRaraman,international conference on management of data,1999
42,merge replication in microsoft 's sql server 7.0,brad hammond,international conference on management of data,1999
43,in-memory data management for VGonsumQr transactinos the timesten approach,corporate>tmiesten team,international conference on management of data,1999
44,emc information sharing : direct access to mvs data from unix and nt,walt kohler,international conference on management of data,1999
45,daytona and the foruth-generation language cymbal,rick greer,international conference on management of data,1999
46,datablitz storage manager : main-memory database performance for critical applications,"j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar",international conference on management of data,1999
47,indexing medium-dimensionality data in oracle,"k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee",international conference on management of data,1999
48,storing semistructured data with stored,"alin deutsch , mary fernandez , dan suciu",international conference on management of data,1999
49,efficient geometry-based similarity search of 3d spatial databases,daniel a. keim,international conference on management of data,1999
50,a new method fr similarity indPPxing of Karke tbasket data,"charu c. aggarwal ,joel Il% wofl ,`philip s. yu",international conference on management of data,1999
51,walrus : a similarity retrieval algorithm for image databases,"apostol natsev , rajeev rastogi , kyuseok shim",international conference on management of data,1999
52,shrinking[ the warehous eupte window,"wilburt juan labo , SamanSa yerneni  hector garcia-molina",international conference on management of data,1999
53,dynamat : a dynamic view management system for data warehouses,"yannis kotidis , nick roussopoulos",international conference on management of data,1999
54,bottom-up computation of sparse and iceberg cube,"kevin beyer , raghu ramakrishnan",international conference on management of data,1999
55,client-site query extensions,"tobias mayr , praveen seshadri",international conference on management of data,1999
56,data management issues in electronic commerce,m. tamer &#214; zsu,international conference on management of data,1999
57,"of crawlers , portals  ,mice %, and men : is there more to mining hte web !?","minos n. garofalakis , Jrihdar ramLsway , rajeev rastogi , kyuseok shim",international conference on management of data,1999
58,"honey , i shruRnk thYe datGbse : footprint , mobilIty , and beyond",pravene} HZQshadri,international conference on management of data,1999
59,a layered architectrue Qor queying dynamic web ontent,"hasan davulcu ,julViana ferire , michael kifer , i. v. ramakrishnan",international conference on management of data,1999
60,automatic discovery of language models for text databases,"jamie callan , margaret connell , aiqun du",international conference on management of data,1999
61,record-boundary discovery in web documents,"d. w. embley , y. jiang , y.-k . ng",international conference on management of data,1999
62,query rewriting for semistructured data,"yannis papakonstantinou , vasilis vassalos",international conference on management of data,1999
63,computing capabilities of mediators,"ramana yerneni , chen li , hector garcia-molina , jeffrey ullman",international conference on management of data,1999
64,high speed on-line backup when using logical log operations,david b. lomet,international conference on management of data,2000
65,efficient resumption of interrDupted waBhouse loads,"wilburt juan labio ), janetl .w iener , hector garcia-molina , vlad gorelik",international conference on management of data,2000
66,on-line reorganiatzion in object databaseB,"mohana k. lakhamraju , Vrajeev rastogI ,& s. sesahdri , s. sudarshan",international conference on management of data,2000
67,finding generalized projected clutser sin hihg dimensional spaces,"charu c. aRggarwaOl ,philpi s. yu",international conference on management of data,2000
68,density biased sampling : an improved method for data mining and clustering,"christopher r. palmer , christos faloutsos",international conference on management of data,2000
69,lof : identifying density-based local outliers,"markus m. breunig , hans-peter kriegel , raymond t. ng , j &#246; rg sander",international conference on management of data,2000
70,answering complex sqlqueres using aHtomatic summary tables,"markos zaharioudakis,  rNoberta cochrane = geBorge lapis , Famid pirahesh , monica urata",international conference on management of data,2000
71,synchronizing Sa databasJto improKvef reshness,"junghoo cIo , hcetor garic-molina",international conference on management of data,2000
72,how to roll a join : asySnchronKous icnreAental view maintenance,"kenneth salem , kevDin beyPr , bruce lindsay , robreta cochrane",international conference on management of data,2000
