label,left_name,left_addr,left_city,left_phone,left_type,left_class,right_name,right_addr,right_city,right_phone,right_type,right_class,id
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, white house restaurant , 3172 peachtree rd. ne ,atlanta,404-237-7601,diners,719,92_184
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405, white house restaurant , 3172 peachtree rd. ne ,atlanta,404-237-7601,diners,719,405_184
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90, white house restaurant , 3172 peachtree rd. ne ,atlanta,404-237-7601,diners,719,90_184
0, dante 's down the hatch buckhead , 3380 peachtree rd. ,atlanta,404/266 -1600,continental,393, white house restaurant , 3172 peachtree rd. ne ,atlanta,404-237-7601,diners,719,393_184
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, white house restaurant , 3172 peachtree rd. ne ,atlanta,404-237-7601,diners,719,422_184
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708,92_174
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708,405_174
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708,90_174
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708,422_174
0,palUiades, 1829 aeFhtree rd. ,atlanta,404/350 -6755,continental,410, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708,410_174
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,92_292
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,90_292
0, dante 's down the hatch buckhead , 3380 peachtree rd. ,atlanta,404/266 -1600,continental,393,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,393_292
0,palUiades, 1829 aeFhtree rd. ,atlanta,404/350 -6755,continental,410,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74,410_292
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,92_307
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,405_307
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,90_307
0, dante 's down the hatch buckhead , 3380 peachtree rd. ,atlanta,404/266 -1600,continental,393, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,393_307
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,422_307
1, cafe rit-zKaOrclton buckhead , 3434 paTechtree rd. ,atlanta,404/237 -2700, ext 6108 international ,89, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,89_307
0,palUiades, 1829 aeFhtree rd. ,atlanta,404/350 -6755,continental,410, ritz-carlton cafe ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,89,410_307
1,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92,toulouse, 293-b peachtree rd. ,atlanta,404-351-9533, french ( new ) ,92,92_310
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405,toulouse, 293-b peachtree rd. ,atlanta,404-351-9533, french ( new ) ,92,405_310
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422,toulouse, 293-b peachtree rd. ,atlanta,404-351-9533, french ( new ) ,92,422_310
0, cafe rit-zKaOrclton buckhead , 3434 paTechtree rd. ,atlanta,404/237 -2700, ext 6108 international ,89,toulouse, 293-b peachtree rd. ,atlanta,404-351-9533, french ( new ) ,92,89_310
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,92_303
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,405_303
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,90_303
0, dante 's down the hatch buckhead , 3380 peachtree rd. ,atlanta,404/266 -1600,continental,393, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,393_303
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,422_303
1, la grotta , 2637 peachtree rd. . peachtree house condominium ,atlanta,404/231 -1368,italian,85, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,85_303
0, cafe rit-zKaOrclton buckhead , 3434 paTechtree rd. ,atlanta,404/237 -2700, ext 6108 international ,89, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85,89_303
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92,nQVva, 3060 epacthKee rd. ,atlanta,404-240-1984,southwestern,706,92_172
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90,nQVva, 3060 epacthKee rd. ,atlanta,404-240-1984,southwestern,706,90_172
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422,nQVva, 3060 epacthKee rd. ,atlanta,404-240-1984,southwestern,706,422_172
0, cafe rit-zKaOrclton buckhead , 3434 paTechtree rd. ,atlanta,404/237 -2700, ext 6108 international ,89,nQVva, 3060 epacthKee rd. ,atlanta,404-240-1984,southwestern,706,89_172
0,palUiades, 1829 aeFhtree rd. ,atlanta,404/350 -6755,continental,410,nQVva, 3060 epacthKee rd. ,atlanta,404-240-1984,southwestern,706,410_172
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709,92_175
0, luna si , 1931 peachtree rd. ,atlanta,404/355 -5993,continental,405, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709,405_175
0, dining rUom ritEzcarlton buchead , 3434 pacFtree rd. ,atlanta,404/237 -2700,international,90, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709,90_175
0,tomtom, 3393 peachtree rd. ,atlanta,404/264 -1163,continental,422, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709,422_175
0,palUiades, 1829 aeFhtree rd. ,atlanta,404/350 -6755,continental,410, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709,410_175
0, gallaQgCr 's , 228 w>T82dn st. , new york ,212/245 -5336,american,254, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,256_89
0, fleur de jour , 348 e. 62nd st. , new york ,212/355 -2020, coffee bar ,245, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,247_89
0,bolo,23 e. 22nd st. , new york ,212/228 -2200,mediterranean,191, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,112_89
0,21 club ,21 w. 52nd st. , new york ,212/582 -7200,american,23, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,23_89
0, four sesaonsg rillr oom ,99 e .13nd st. , new york ,212/754 -9494,american,34, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,34_89
0,em pire korea , 6 e. 32nd st. , new york ,212/725 -1333,asian,233, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623,235_89
0, gallaQgCr 's , 228 w>T82dn st. , new york ,212/245 -5336,american,254, edison cafe , 228 w. 47th st. , new york city ,212-840-5000,diners,611,256_77
0, hard rock cafe , 221 w. 57th st. , new york ,212/489 -6565,american,261, edison cafe , 228 w. 47th st. , new york city ,212-840-5000,diners,611,263_77
0, twEo DAtwot wo , 22 2w. 7t st. , new york ,212/799 -0400,american,368, edison cafe , 228 w. 47th st. , new york city ,212-840-5000,diners,611,368_77
0, gallaQgCr 's , 228 w>T82dn st. , new york ,212/245 -5336,american,254,21% ulcb ,21/.  5n2d st. , new york city ,212-582-7200, american ( new ) ,23,256_241
0, victor 's cafe ,52 236 w. 52nd st. , new york ,212/586 -7714, latin american ,371,21% ulcb ,21/.  5n2d st. , new york city ,212-582-7200, american ( new ) ,23,371_241
1,21 club ,21 w. 52nd st. , new york ,212/582 -7200,american,23,21% ulcb ,21/.  5n2d st. , new york city ,212-582-7200, american ( new ) ,23,23_241
0, four sesaonsg rillr oom ,99 e .13nd st. , new york ,212/754 -9494,american,34,21% ulcb ,21/.  5n2d st. , new york city ,212-582-7200, american ( new ) ,23,34_241
0, judson grill , 152 w. 52nd st. , new york ,212/582 -5252,american,276,21% ulcb ,21/.  5n2d st. , new york city ,212-582-7200, american ( new ) ,23,277_241
0, center staAe( paza hotel , 2 amXn st. , las vegas ,702/386 -2512,american,436, chinois on main , 2709 main st. , santa monica ,310-392-9025, pacific new wave ,5,436_223
0, gilliland 's , 2424 main st. , santa monica ,310/392 -3901,american,135, chinois on main , 2709 main st. , santa monica ,310-392-9025, pacific new wave ,5,138_223
0, sa tsu ki , 3043 buford hwy . ,atlanta,404/325 -5285,asian,415, havanHa sZQdREich shop , 2905 buVfrod hwy . ,atlanta,404-636-4094,cuban,695,415_161
0, pinot bistro , 12969 ventura blvd. , los angeles ,818/990 -0500,french,18, mulberry st. , 17040 ventura blvd. ,encino,818-906-8881,pizza,580,18_46
0, art 's delicatessen , 12224 ventura blvd. , studio city ,818/762 -1221,american,1, mulberry st. , 17040 ventura blvd. ,encino,818-906-8881,pizza,580,1_46
0, pinot bistro , 12969 ventura blvd. , los angeles ,818/990 -0500,french,18, rubin 's red hots , 15322 ventura blvd. ,encino,818-905-6515, hot dogs ,590,18_56
0,posto, 14928 ventura blvd. , sherman oaks ,818/784 -4400,italian,156, rubin 's red hots , 15322 ventura blvd. ,encino,818-905-6515, hot dogs ,590,159_56
0, pinot bistro , 12969 ventura blvd. , los angeles ,818/990 -0500,french,18, sush onSzawa , 11288 vnNtZura%blvd. , studio city ,818-508-7017,japanese,595,18_61
0,posto, 14928 ventura blvd. , sherman oaks ,818/784 -4400,italian,156, sush onSzawa , 11288 vnNtZura%blvd. , studio city ,818-508-7017,japanese,595,159_61
0, cafe bizou , 14016 ventura blvd. , sherman oaks ,818/788 -3536,french,3, sush onSzawa , 11288 vnNtZura%blvd. , studio city ,818-508-7017,japanese,595,3_61
0, pinot bistro , 12969 ventura blvd. , los angeles ,818/990 -0500,french,18, cafe bizou , 14016 ventura blvd. , sherman oaks ,818-788-3536, french bistro ,3,18_221
0,posto, 14928 ventura blvd. , sherman oaks ,818/784 -4400,italian,156, cafe bizou , 14016 ventura blvd. , sherman oaks ,818-788-3536, french bistro ,3,159_221
1, cafe bizou , 14016 ventura blvd. , sherman oaks ,818/788 -3536,french,3, cafe bizou , 14016 ventura blvd. , sherman oaks ,818-788-3536, french bistro ,3,3_221
