_id,ltable_id,rtable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,rtable_name,rtable_addr,rtable_city,rtable_phone,gold
33,0,92,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` marnie \ 's noodle shop ',' 466 hudson st. ',` new york city ',212-741-3214,0
87,0,282,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` uncle nick \ 's ',' 747 ninth ave. ',` new york city ',212-245-7992,0
95,0,324,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,0
108,1,31,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` killer shrimp ',' 4000 colfax ave. ',` studio city ',818-508-1570,0
118,1,58,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` russell \ 's burgers ',' 1198 pch ',` seal beach ',310-596-9556,0
136,1,122,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` andre \ 's french restaurant ',' 401 s. 6th st. ',` las vegas ',702-385-5016,0
145,1,138,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` stefano \ 's ',' 129 fremont st. ',` las vegas ',702-385-7111,0
150,1,151,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` carey \ 's ',' 1021 cobb pkwy . se ',marietta,770-422-8042,0
195,3,148,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,0
274,9,227,` grill on the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,` grill the ',' 9560 dayton way ',` beverly hills ',310-276-0615,0
341,13,54,` locanda veneta ',' 3rd st. ',` los angeles ',310/274 -1893,r-23,' 923 e. third st. ',` los angeles ',213-687-7178,0
384,15,237,` the palm ',' 9001 santa monica blvd. ',` los angeles ',310/550 -8811,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,0
435,17,80,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,0
487,17,218,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,0
575,22,43,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` michael \ 's ( los angeles ) ',' 1147 third st. ',` santa monica ',310-451-0843,0
579,22,56,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,0
609,22,142,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` alon \ 's at the terrace ',' 659 peachtree st. ',atlanta,404-724-0444,0
614,22,152,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,0
624,22,191,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` doidge \ 's ',' 2217 union st. ',` san francisco ',415-921-2149,0
626,22,196,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` eric \ 's chinese restaurant ',' 1500 church st. ',` san francisco ',415-282-0919,0
739,28,70,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` benny \ 's burritos ','93 ave. a ',` new york city ',212-254-2054,0
769,28,159,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,0
778,28,192,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` dottie \ 's true blue cafe ',' 522 jones st. ',` san francisco ',415-885-2767,0
786,28,218,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,0
