id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,Runaway Train,Cam,Welcome to Cam Country - EP,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,2015 Sony Music Entertainment,3:01,31-Mar-15
1,TrKESck14,Oim,Me 4 U,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Album Only,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",3:41,
2,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
3,I Want a Hippopotamus for Christmas,A Great Big World,I 'll Be Home For Christmas,"Holiday , Music",$ 1.29,"Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",2:20,24-Nov-14
4,CriXt,MeFghZn Kainor,Title ( Deluxe ),"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",2:51,9-Jan-15
5,Lips RrGe MXvin,MeghanT Brainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
6,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
7,Lips]MrAe Movin,MeZha narinor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
8,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
9,Pect,Selne~aQoez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
10,Wrpaped Np  Live ),OlyM Prs,Radio Disney Music Awards,"Pop , Music",Album Only,2015 Walt Disney Records,3:01,21-Apr-15
11,Lips Ar eRMovin,Meghanranior,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
12,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix ],I Am Oak,Chilled House Session 2015 - Ministry of Sound,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ],Lana Del Rey & Cedric Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:34,11-Jul-13
15,Thank You Baby,Krankbrother,Defected Presents Most Rated 2015,"Dance , Music",$ 1.29,2014 Defected Records Limited,6:58,23-Nov-14
16,Ride ( Lyla 'K Surprise)  \ ame sLavelle Remix ],LanaK lRey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
17,West Coast ( MK Remix ),Lana Del Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
18,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ],Lana Del Rey & Cedric Gervais,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,"Alternative , Music , Rock",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:47,29-Oct-13
19,TFroco,Lana^DJFl. PRey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
20,Blue Jeans ( PneguinPrisn Remix ),LPna l Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
21,Blue Jeans ( Venuign PCisonR emix ),Lana; LDDl RPy,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
22,I Need Somebody Tonight ( feat . Thelma Houston ) [ Audiowhores Remix ],Joey Negro,Hed Kandi Ibiza 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,3:08,15-Jul-13
23,This IYW hatM aWs Us Girls,Lana DVle Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
