label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,1756_1418
0,"enabling dynamic content caching for database-driven web sites qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan 2001",,sigmod conference,,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,2464_1418
0,homer : a model-based case tool for data-intensive web KJites sigmod conference 2000,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante ,giansalvatorPe mecca",,,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,648_1418
0,"a predicate-based caching scheme for client-server database architecturHs julRe basu , arthur m. keller",,vldb j.,1996.0,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,2410_1418
1,form-based proxy cachiZng for database-backed web sites,"jeffrey f. aughton , qiong luo",vldb,2001.0,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,27_1418
0,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",,,,form-based proxy caching for dataBbase-Ybacked web sites very large data bases,"qiong luo , jeffrey f. nughton",,2001.0,2058_1418
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. Smohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,1756_723
0,form-based proxy cachiZng for database-backed web sites,"jeffrey f. aughton , qiong luo",vldb,2001.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. Smohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,27_723
0,dbcache : database caching for web applicatio nservers 2002,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet Catlinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. Smohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,786_723
1,"middle-tier database caching or e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,2002.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. Smohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,2206_723
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,"building scalable internet aplications with oracle8i server julie basu , jos &#233; albertof ern &#225; ndez , olga peschansky 2000",,very large data bases,,1756_1366
0,building notification services with microsoft sqlserve praveen seshadri 2003,,sigmod conference,,"building scalable internet aplications with oracle8i server julie basu , jos &#233; albertof ern &#225; ndez , olga peschansky 2000",,very large data bases,,2339_1366
1,"building scalable internet applications with oracle8i server olga peschansky , josé alberto fernández , julie basu",,vldb,2000.0,"building scalable internet aplications with oracle8i server julie basu , jos &#233; albertof ern &#225; ndez , olga peschansky 2000",,very large data bases,,677_1366
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,caching technologies for web aDplications c. mohan very large data bases 2001,,,,1756_1345
0,"oracle 's symmetric replication technology and implications for application design benny souder ,&bob jenkins , lip boCon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain",,sigmod conference,1994.0,caching technologies for web aDplications c. mohan very large data bases 2001,,,,1647_1345
0,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",,,,caching technologies for web aDplications c. mohan very large data bases 2001,,,,2058_1345
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,"Xa transaction replication scheme for a replicated database with node autonomy ada wai-chee fu , david wai-lok cheung 1994",,very large data bases,,1756_1484
1,"a transaction replication scheme for a replicated database with onde autoDnomy david wai-lok cheung , ada wai-chee fu",,vldb,1994.0,"Xa transaction replication scheme for a replicated database with node autonomy ada wai-chee fu , david wai-lok cheung 1994",,very large data bases,,2072_1484
0,web caching for database aplKications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lwarence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,1756_1522
0,lore : a database management system foDr semistructured data sigmod record,"roy goldman , serge abiteYoul , jenifer widom , dallan quass , jason mchugh",,1997.0,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,2224_1522
0,"active storage hierarchy , database systems and applications - socratic exegesisj oel h. saltz , john Sburgess , felipe cariño , william o'connell vldb",,,1999.0,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,1669_1522
0,integrating mining with relational database systems : alternatiIves and implications,"shiby thomas  ,rakesh agrawal , sunita sarawagi",sigmod conference,1998.0,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,2294_1522
0,"vxmlr : a visual xml-relational database system aoyign zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zahng vldb 2001",,,,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,1738_1522
0,parallel database systCems in te 1990 's michael j. carey,,sigmod conference,1994.0,paradise : a database systMm for gis applications corporae the paradise team 1995,,international conference on management of data,,1689_1522
