id,title,authors,venue,year
0,semantic integration of environmental models for aplpication to global inBormation systems and decision-making d. scott mackay,,sigmod record,1999.0
1,estimation of query-result distribution and its application\ in parallel-join load balancing vldb 1996,"viswanath poosala , ynanis e. ioannidis",,
2,incremental maintenance for non-distributiv aggregate functions vldb 2002,"themistoklis palpanas , richad sidle, hamid pirahesh , roberta cochrane",,
3,"cost-based selection of path expressiKn processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,
4,"benchmarking spatial join operations with spatial outptu erik Z. hoel , hanan samet 1995",,vldb,
5,efficient geometry-based similarity search of 3Nd satial databases daniel a. keim sigmod conference,,,1999.0
6,mining the world wide web : an information seaZrc happroach - book review aris m. ouksel sigmod record 2002,,,
7,enhanced abstract data types in objVect-relational databases vldb j. 1998,praveen sOesBadri,,
8,"report on dart ' 96 :{databases : active and real-time ( concepts meet practice ) nandit soparkar , krithi ramamritham sigmod record 1997",,,
9,unisql 's next-generation object-relational database manaKement sysetm sigmod record,"phil janus ,albrt d'andrea",,1996.0
10,dual-buffering strategis in object bases 1994,"alfons kempe , Oonald kossmann",vldb,
11,"aurora : a data tream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christPan convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0
12,priority assignmen in real-Kime active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamrihtam , donald f. towsley",vldb j.,1996.0
13,"wavecluster : a wavelet based clustering approach for spatial data> in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0
14,"approximate query mapping : accounting for translation loseness hector garcia-molina , kevin chen-chuan chang 2001",,vldb j.,
15,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",vldb,1996.0
16,snowball : a prototype]system for extracting relations from large text collections sigmod conference,"jeff pavel , luis gravano , aElesandr voskoboynik , eugene agichtein , viktoriya sokolova",,2001.0
17,a framework for implementing hypohtetical queries sigmod conference 1997,"timothy grffin , richard hull",,
18,parametric query optimiaztion vldb)j. 1997,"raymond t. ng  ,timos k. sellis , yannis e. oannidis , kyuseok shim",,
19,lineage tracing for gNeneral daat warehouse transformations,"yingwei cu , jennifer widom",vldb,2001.0
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer siXgmod record 2002,,,
21,approximating aggregate queries about web pUges via random walks vldb 2000,"jittat fakcharoenpohl , steve chien, ziv bar-yossef , alexander berg , dror weitz",,
22,"a query language for a web-sKte management system dan suciu , daniela florescu  alon y. levy , mary f. fernandez 1997",,sigmod record,
23,supporting periodic authorizations and temporal reaLoning in database access control 1996,"elena ferrari , pierangela samaraKi , claduio bettini , elisa bertino",vldb,
24,"free parallel data mining@ bin li , dennis shasha sigmod conference 1998",,,
25,high level indexing of uFer^-defined types 1999,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois ,y un wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,
26,pc database systems - present aJd futre philip a. bernstein,,vldb,1994.0
27,form-based proxy cachiZng for database-backed web sites,"jeffrey f. aughton , qiong luo",vldb,2001.0
28,"a logical view of structured files tova milo , srge abiteboul , sophie cluet",,vldb j.,1998.0
29,"dbglobe : a service-oriented p2p system for global computing eWaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record",,,2003.0
30,databasHe patchwor on the internet,"reinhard braumandl , alfosn Zemper , donald kossmann",sigmod conference,1999.0
31,Pscientific database - state of the art and future directions vldb,"yanni se. ioannidis , maria zemankova",,1994.0
32,a generica pproach to bulk loading multidimensional index structures vldb,"bernhard seeger , peter widmayer , jochen van Sen bercken",,1997.0
33,"data bubbles for non-vector{ data : speeding-up hierarchical clustering in arbitrary metric spaces jörg sander , jianjun zhou",,vldb,2003.0
34,efficient snapshot diffWrential algorithms for data warehousing,"hector garcia-moliKa , wilburt labio",vldb,1996.0
35,"integrating triggers and declarative constraints in sql dataabse sytems robeta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0
36,efficient ir-style keyword search oevr relational databases,"yannis papakonstantinou  Luis gravano , vagelis hristidis",vldb,2003.0
37,"indexing of now-relative spatio-bitmeporal data simonas saltenis , christian s. jensen",,vldb j.,2002.0
38,"temporal coalescing with now , graNnlarity , and incomplete information sigmod conference",curtis e. ydreson,,2003.0
39,database research at ut Mrlington sigmod record 2003,"sharma chakravarthy , y. al aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",,
40,why decision support fails Nand how to fix iX sigmod record 1995,"kevin sJrehlo , ralph kimball",,
41,a low-cost storage servRer for movi on demand databases 1994,"alexandros biliris , banu özden ,(abraham silberschatz , rajeev rastogi",vldb,
42,generating call>level interfaces for advancd database application programming vldb,"theo härder , norbertS ritter , udo nink",,1999.0
43,"clustering by pattern similarity in large data stes haixun wang , wei wang , philip s. yu , jiong yang 2002",,sigmod conference,
44,mocha : a database middleware system featurinZg automatic dReployment of application-specific functionality,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stSephen kelley , vadim katz",sigmod conference,2000.0
45,"fact : a learning basedweb query processing system zengping tian , hongjun lu , yanlei diao , songting chen 2000",,sigmod conference,
46,sql multimedia and appication packages ( sql/mm ) sigmod record 2001,"jim meltone , andrew eisZnberg",,
47,bellcore 's adapt/x harness system for managing inforBmation on internet and ntranets amit p. sheth vldb 1996,,,
48,xml data management go native or spruce up relatoinal systems ? ( panel abstract ) per-åke larson,,sigmod conference,2001.0
49,"an overview of data$warehousing and olap technology sTrajit chaudhuri , umeshwar dayal",,sigmod record,1997.0
50,staggered stripiGg in multimedia information systems 1994,"steven berson , richard r. muntz , shahraMm ghandeharizadeh , xiangyu ju",sigmod conference,
51,multimedia streaming in large-scale sensor networks with moHile swarms sigmod record,"mario gerla, kaxiin xu",,2003.0
52,how to modify sql queries in& order to guarantee sure answers,hans-jDachim klein,sigmod record,1994.0
53,materialization : a powerfuland ubiquituos abstraction pattern vldb,"alain pirotte , esteban zimányi , tatiana yakusehva , david msasart",,1994.0
54,"dynamic content acceleration : a caching solution to enable scaable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta 2001",,sigmod conference,
55,data modelling in tOhe large,martin Jbrtram,sigmod record,1994.0
56,updaitNng xml,"daniel s. welWd, zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001.0
57,"research in information managment at dublin city university alan f. smeaton , mark roantree sigmod record 2002",,,
58,the multidiYmenVsional database system rasdaman,"andreas dehmel , peter baumWnn , norbert widmann  roland ritsch , paula furtado",sigmod conference,1998.0
59,"analyzing energy behavior of spatial access methods for Umemory-residAnt data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb",,,2001.0
60,the value of merge-join and hash-join in sqlserver vldb,goetzR rgaefe,,1999.0
61,eficient xecution of joins in a star schema sigmod conference,andreas+weininger,,2002.0
62,picodmbs : scaling down dNatabase techniques fo the smartcard,"luc bouganim , patrick valduriez  pilippe pucheral , christophe bobineau",vldb,2000.0
63,multi-dimensional sbsutring selectivity estimation vldb,"divesh srivastava , olga kapitsakia , ramond t. ng , h. v. jagadish",,1999.0
64,"the intrinsic problems of structural heterogeneity and an aproach to their soltuion theo härder , joachim thomas , günter sauter",,vldb j.,1999.0
65,a database perspective on lots domino/notes,c. mBohan,sigmod conference,1999.0
66,"domains , relations and religious wars rafael camps sigmod record",,,1996.0
67,the data-centric revoluKtion in networking 2003,scot shenker,vldb,
