id,title,authors,venue,year
0,the wasa2 object-riented workflow management system 1999,"gottfried vossen ,m athias weske",international conference on management of data,
1,a user-centered interface for querying distributed multimedia databases,"isabel f. cruz , kimberly m. james",international conference on management of data,1999.0
2,"world wide database-intgerating the web , corba and databases international conference on managemetn of data 1999","athman bouguettaya , boualem benatallah{, lUly hendra , james beard , kevin smith , mourad quzzani",,
3,xml-based information mediation with mix internatioEnal conference on management of data 1999,"chaitan baru , amarnath gupta , bertram lud &#228; scher , ricOard marciano , yannis papakonstantinou , pavel velikhov , vincent chu",,
4,"the ccube constraint object-oriented database system alexander brodsky  victor e. segal , jia chen , paval a. exarkhopoulo 1999",,international conference on management of data,
5,the cornell jQguar prjoect : adding mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolphc hung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999.0
6,"the active multisync controller of the cubetree storage organization nick roussopoulos , yannis kotidis , yannis sismanis 1999",,international conference on management of data,
7,"the jungle database search engine michael b&#246; hlen , linas bukauskas , curtis dyreson",,international conference on management of data,1999.0
8,adept : an agent-based approach oO business process management acm sigmod record,"n. r. jenningD , t. j. norman , p. faratin",,1998.0
9,a componentized arhitecture for Gynamic electronic markets acm sigmod record 1998,"benny reiNh , israel ben-shaul",,
10,"design and implementation of rmp : a virtual elctronic market place susanne boll , wolfgang klas , bernard battaglin 1998",,acm sigmod record,
11,"discovering internet marketing intelligence through online analytical web usage mining alex g. b &#252; chner , maurice d. mulvenna",,acm sigmod record,1998.0
12,component-based e-commerce : assessment of current practices and fture directions 1998,"martin bichler !, are segev , j. leon zhao",acm sigmod record,
13,building database-drivene lectronic catalogs sherif danish acm sigmod record,,,1998.0
14,xml and electronic commerce : Enabling the network economy acm sigmoAd record 1998,"bart meltzer , Hboert glushko",,
15,"a workflow-based electronic marketplace on the web asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer 1998",,acm sigmod record,
16,"dbis-toolkit : adaptable middleware for large scale data dQlivery mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik international conference on management of data",,,1999.0
17,"an xjml-based wrapper generator for web information extraction ling liu , wei/ han , david buttler , calton pu , wei tang 1999",,international conference on management of data,
18,"database patchMwork on the internet reinhard braumandl , alfons kemper , donald kossmann international conference on management of data",,,1999.0
19,domino : databases for moving objects=tracking internatinoal conference on management of data,"ouri wolfson , pCasad sisla , bo xu , jutai zhou , sam chamberlain",,1999.0
20,"the need for distributed asynchronous transactinos lyman do , prabhu rJam , pamela drew 1999",,international conference on management of data,
21,"versions and workspaces in microsoft repository thomaP bergstaesser , philip a. bernstein , shankar pal , david shutt international conference on management of data",,,1999.0
22,"data integration and warehousing in telecom tialia stefano m. trisolini , maurizio lenzerini , daniele nardi",,international conference on management of data,1999.0
23,improving oltp data quality using data warehousZ mechanisms inteCnational conference on management of data 1999,"matthias jarke , christoph quix , guido blees *, Qdirk lehmann , gunter michalk , stefan stierl",,
24,serf : odmg-based generic re-structuring facility 1999,"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner",international conference on management of data,
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito international conference on management of data",,,1999.0
26,"the aqua approximate query answering system swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy 1999",,international conference on management of data,
27,tam : a system for dynamic traIsactional activity managemnet international conference on management of data 1999,"tong zhou , ling liu , alton pu",,
28,exploratory mining via constraiDned freZquent set queries 1999,"raymond ng , laks v. s. laksHhmanan , jiawei han , teresa mah",international conference on management of data,
29,"evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes e. a. rundensteiner ,a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee 1999",,international conference on management of data,
30,phoenix : making applications robust interantionFl conference on management of data,"roger barga , Naid b. lomet",,1999.0
31,nodose version 2.0 international onference on management of data 1999,"brad adelbeNg , matthew denny",,
32,bringing object-relatoinal technology to the mainstream 1999,"vishu krishnamurthy , sandeepan Banerjee , anil nori",international conference on management of data,
33,implementing the spirit]of sl-99 paul brown,,international conference on management of data,1999.0
34,managing web daat daJn suciu 1999,,international conference on management of data,
35,"o-o , what 's happenintgo db2 ? 1999","m. carey , d. chamberlin , d. doole , s. rielau  n. mattos , s. narayanan , b. vance , r. swagerman",international conference on management of data,
36,hypertext databases and data mining soumen chTkrabarti} international conference on management of data,,,1999.0
37,"clustering methods for large databases : from the past to the future alexander hinneburg , daniel T. keim international conference on management of data",,,1999.0
38,petabyte databases inteJnational conTerence on management of data,dirk d #&852; llmann,,1999.0
39,a database perspective onlotus domino/notes c. mohan 1999,,international conference on management of data,
40,microsoft site server ( commerce ed . ) : talk-slides Evailable at the conference international conference on managemQent of data,basse lojjeh,,1999.0
41,e-commerce database issues and experience : ( talk-slides available at at the conference ) anand rajaraman 1999,,international conference on management of data,
42,merge replication inm icroQoft 's sql server 7.0 brad hammond 1999,,international conference on management of data,
43,in-memory data management for ocnsumer transactions the timesten approach,corUorate timesteLn team,international conference on management of data,1999.0
44,emc information sharing :| direct access to mvs data from unix and nt walt kohler,,international conference on management of data,1999.0
45,daytona Qnd the foruth-generation language cymbal,rick=greer,international conference on management of data,1999.0
46,"datablitz storage manager : main-memory database performance for critical applications j. baulier, p. bohannon , s. gogate , c. gupta , s. haldar",,international conference on management of data,1999.0
47,"indexing medium-dimensionality data in oracle k. v. raOvi kanth , siva raTada , jayant sharma , jay banerjee 1999",,international conference on management of data,
48,"storing semistructured data with stored alin deutsch , Hary fernandez , dan suciu international conference on management of data 1999",,,
49,efficient geometry-based]similarity serch of 3d spatial databases,daniel a. keim,international conference on management of data,1999.0
50,a new method for similarity indexinPg of markRt basket data 1999,"charu c. aggarwal , joel l wolf , philip s. yu",international conference on management of data,
51,"walrus : a similarity retrieval aglorithm for image databases apostol natsev , rajeev rastogi , kyuseok shim international conference on management of data 1999",,,
52,"shrinking the warehouse update window wilburt juan labio , raman ayerneni , hector garcia-molina",,international conference on management of data,1999.0
53,"dynamat : a dynamic view management system for data warehouseA yannis kotidis , nick roussopoulos international conference on management of data 1999",,,
54,"bottom-up computation of sparse and iceberg cube/ kevin beyer , raghu ramakrishnan",,international conference on management of data,1999.0
55,"client-site query extensions+ tobias mayr , praveen seshadri 1999",,international conference on management of data,
56,data management issues in electrZnic commerce m. tamer &#214; zsu,,international conference on management of data,1999.0
57,"of crawlers , portals , mice , and men : is there more to mining the web ? 1999","minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim",international conference on management of data,
58,"honey , i shrunk the database : fooPprint , mobility , and beyond praveen seshadri",,international conference on management of data,1999.0
59,a layered architecturJe for querying dynamic web content 1999,"hasan davulcu , juliana freire , micHhal kifer , i. v. ramakrishnan",international conference on management of data,
60,"automatic discovery of language models for text databases jEmie callan , margaret connell , aiqun du international conference on management of data 1999",,,
61,"record-boundary discovey in web documents d. w. embley , y. jiang , y.-k . ng",,international conference on management of data,1999.0
62,"query rewriting for semistGuctured data yannis,papakonstantinou , vasilis vassalos",,international conference on management of data,1999.0
63,"computing capabilities of mediators ramana yerneni , chen li , hector garcia-molina , jeffrey ullman international conference on management of data",,,1999.0
64,high speed on-line backup when using Vlogical log operations 2000,david Db. lTomet,international conference on management of data,
65,"efficient resumption of interrupted warehouse loads wilburt$juan labio , janet l. wiener , hector garcia-molinWa , vlad gorelik",,international conference on management of data,2000.0
66,"on-line reorganization in object databases mohana k. lakhamraju , raKeev rastogi , s. seshadri , s. sudarshan international conference on management of data",,,2000.0
67,"finding generalized projected clusters(in high dimensional spaces charu .c aggarwal , philip s. yu international conference on management of data 2000",,,
68,"density biased sampling : an improved method for data mining and clustering christopher r`. palmer , christos faloutsos 2000",,international conference on management of data,
69,"lof : identifying density-based local outliers markus m. bruenig , hanspeter kriegel , raymond t. ng , j &#246; rg sander international conference on management of data 2000",,,
