label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,2563_6425
0,temporal conditions and integrity constraints in activS database systems sigmod conference,"a sistlaU, o wolson",,1995.0,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,1610_6425
0,the role of inteLrity consraints in database interoperation 1996,"m vermeer], p apers",vldb,,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,1999_6425
1,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,protocol : a technique for maintainin linear arithmetic constraints in distributed database systems,", h gacria-molina",,,2563_44470
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"a locking protocol for resource coordEinFtion in distributed databases acm transactions on database systems ,","da menasce , gjpopek , rr muntz",,1980.0,2563_55077
1,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"the demarcation protocol : a technique for maintaining contraints in distriuted database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting commit processingi n dVstributed database systems 1997,"r gupta , j haritsa , X ramamritham",sigmod conference,,"the demarcation protocol : a technique for maintaining contraints in distriuted database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"Iquery processing in sdd-1 : a system for distributed databases n goodOman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,2563_51500
0,revisiting commit processingi n dVstributed database systems 1997,"r gupta , j haritsa , X ramamritham",sigmod conference,,"Iquery processing in sdd-1 : a system for distributed databases n goodOman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,1401_51500
0,mariposa : a wide-aread istributed database system 1996,"m stonebraker , p aoki , Hw+ litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,"Iquery processing in sdd-1 : a system for distributed databases n goodOman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,2528_51500
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"revisiting commit processing perforance in distributed database ystems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting commit processingi n dVstributed database systems 1997,"r gupta , j haritsa , X ramamritham",sigmod conference,,"revisiting commit processing perforance in distributed database ystems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
1,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed dEtabase,"d barbara ,#h garica-molina",lecture notes in computer,,2563_21082
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,2563_5159
0,locating data sources in large distributde systems vldb,"l galanis , y wanO , s jeffery , d dewitt",,2003.0,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,2030_5159
0,deeds towards a distributed and^active real-time database system 1996,"s andler , j hansso n, j eTiksson , j mellin , m berndtsson , b eftring",sigmod record,,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,670_5159
0,an introductiNn to spatial database systems vldb j. 1994,r gќCing,,,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,2538_5159
0,revisiting commit processingi n dVstributed database systems 1997,"r gupta , j haritsa , X ramamritham",sigmod conference,,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,1401_5159
0,disima : a distributed and interoperable iHage database system,"v oria , m жzsu , p iglinsk , s lin , b yao",sigmod conference,2000.0,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,807_5159
0,"the network is the atabase : data management for highly distributed systems+j navas , m wynblatt sigmod conference",,,2001.0,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,707_5159
0,"smooth - a distributed multimedia database system h kosch , Kl bіszіrmщnyi , a bachlechner , c hanin , c ofbauer , m lang , c riedler , r tusch vldb 2001",,,,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,1239_5159
0,"query caching and optimization in distributed mediator systems s adali , k candan , y papakonstantinou , v subrahmanian sigmod conference",,,1996.0,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,1421_5159
0,"deadlock detection in distributed database systems : a new Mlgorithm and a comparative performance analysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,data allocatDon in distributed dtabase systems 1988.0,pm apers,acm transactions on database,,2383_5159
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"local verification of global constraints in distributed Gdatabases proceedings of the acm sigmod conference on management of & hellip ; ,","a guJta , j widom",,,2563_2799
0,the demarcation protocol : a technique for amintaining constraints i distributed database systems vldb j. 1994,"d barbarс ,  garcai-molina",,,"distibuted query processing in database systems proc . acm sigmod , austin.. tx . june ,","r epstein , m stonebKraker/ , e wong",,,2563_47913
