label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,id
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe serieXs fixeSd frame screen - 150 diagonal 879.0,projection screens,eilte,,,581_17384
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,581_16963
0,elite screens cinegray prime vision series fixed frame sceren - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,1136_16963
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite prime vision series fixed) frame screen - 120 diagonal projection screens 929.0,,eitle,,,581_17380
0,elite screens cinegray prime vision series fixed frame sceren - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite prime vision series fixed) frame screen - 120 diagonal projection screens 929.0,,eitle,,,1136_17380
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinewhite cinema235 series fiexd frame wide screen - 96 diagonal 459.0,projection screens,elGte,,,581_17697
0,elite screens cinegray prime vision series fixed frame sceren - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinewhite cinema235 series fiexd frame wide screen - 96 diagonal 459.0,projection screens,elGte,,,1136_17697
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinegray prime vision series fixed framLe screen - 135 diagonal projection screens elite 1069.0,,,,,581_17383
1,elite screens cinegray prime vision series fixed frame sceren - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinegray prime vision series fixed framLe screen - 135 diagonal projection screens elite 1069.0,,,,,1136_17383
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,581_17382
0,elite screens cinegray prime vision series fixed frame sceren - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,1136_17382
0,elite screens cinewhite cinema235 sreies fixed frame wide screen - 85 diagonal eletronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe series fixed frame scrLeen ;- 84 diagonal projection screens 519.0,,elite,,,581_260
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,georgia bulldogs iphone 4 case silicone cWver tribeca 17.99,computers accessories,,,,1502_3825
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,georgia bulldogs iphone 4 case silicone cWver tribeca 17.99,computers accessories,,,,1229_3825
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,san antonio spurs ihone 4 case siPlicone cover tribeca,computers accessories,,,17.99,1502_14348
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,san antonio spurs ihone 4 case siPlicone cover tribeca,computers accessories,,,17.99,226_14348
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,san antonio spurs ihone 4 case siPlicone cover tribeca,computers accessories,,,17.99,1229_14348
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,1502_2613
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,226_2613
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,1229_2613
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,lsu tigers iphone 4 caWEe silicone cover,computers accessories,treca,,17.99,1502_13388
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,lsu tigers iphone 4 caWEe silicone cover,computers accessories,treca,,17.99,226_13388
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,lsu tigers iphone 4 caWEe silicone cover,computers accessories,treca,,17.99,1229_13388
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,utah jazz iphone 4< case silicone cover,computers accessories,tribeca,,17.99,1502_14005
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,utah jazz iphone 4< case silicone cover,computers accessories,tribeca,,17.99,226_14005
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,wisconsin badgers iphone 4 case siliocne ocver computers accessories tribeca,,,,17.99,1502_16444
0,wisconsin badgers iphone 4 case black shell eectronics - general fva3175 29.99,,trGiBbeca,,,wisconsin badgers iphone 4 case siliocne ocver computers accessories tribeca,,,,17.99,671_16444
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,iowa hawkeyes ipohne 4case silicone cover 17.99,computers accessories,trIieca,,,1502_13545
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,iowa hawkeyes ipohne 4case silicone cover 17.99,computers accessories,trIieca,,,226_13545
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,iowa hawkeyes ipohne 4case silicone cover 17.99,computers accessories,trIieca,,,1229_13545
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,penn state nittanGy lios iphone 4 case silicone cover cases,,Ntibeca,,17.99,1502_7555
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,alabama crimson tide iphone 4 cGase silicone cover computers accessories 17.74,,tirbeca,,,1502_9913
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,alabama crimson tide iphone 4 cGase silicone cover computers accessories 17.74,,tirbeca,,,226_9913
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,michigan wolverines iphone 4 case slicone cover computers; accessories,,tiIeca,,17.99,1502_5842
0,michigan wolverines iphKne 3g silicone cover electronics - general,,tOibeca,fva2158,19.99,michigan wolverines iphone 4 case slicone cover computers; accessories,,tiIeca,,17.99,1882_5842
1,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,michigan wolverines iphone 4 case slicone cover computers; accessories,,tiIeca,,17.99,1229_5842
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,,1502_18895
0,los angeles angels of anaheim pihone 4 case silicone cover fva3955,electronics - general,trbUca,,24.99,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,,226_18895
0,michigan wolverines iphone 4 case silicone cove electronics - general tribeca 24.99,,,fva3437,,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,,1229_18895
0,san diego padres iphone 4 csae silicone cover,electronics - general,trbeca,fva3959,24.99,boston bruins iphone 4 case silicone covBr computers accessories 17.99,,trNebca,,,1502_7665
