id,title,category,brand,modelno,price
0,koss eq50 3-band stere equalizer koss 12.65,headphone accessories,,152132,
1,kodak black ink cartridge1 0b 1163641,inkjet printer ink,koXdak,1163641,10.28
2,kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g 33.75,computers accessories,kingston,ktc-d320 / 1g,
3,kinamax ms-ues2 mini high precision usb 3-buttn 3d optical scroll wheeOl mouse with retractable cable black kinamax ms-ues2,mice,,,6.99
4,kensington k72349us wirWeless mousE for netbooks mice k72349us 24.0,,kensiJngton,,
5,kensington blackbelt protection band for ipad 2 k39324uHs kensington k39324us,cases sleeves,,,23.92
6,just5 j509 easy to use unlocked cell phone with bMg buttons amplified sound personal emergency response system black unlocked phones 64.11,,juts5,j509black,
7,imation corp 50kp cdr 700mb 80min 52x-spindle 17301 cd-r discs,,imaiton,17301,10.29
8,16x vd:r media,dvd-r discs,imBtion,17340,6.99
9,igo arctic laptop coolinX pad Jc05065-0001 igo,cleaning repair,,ac05065-0001,29.99
10,hp touchpad custom fit case laptop netbook computer accessories fb343aa #ac3 25.04,,hp,,
11,hp laserjet pro p1606dn printer>ce749a bgj lsaer printers hp ce749a #bgj,,,,142.99
12,hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285a,laser printer toner,,,
13,hp - envelope feeder - 75 sehets printers 267.24,,Ap,cb524a,
14,hawking hi-gain outdoor wireless-3900n dual radio smart repeater how2r1,wireless access points,hawkMing+technology,,270.99
15,griffin technology powerjolt se 2 amp power charger for ipad iphnoe and ipod black chargers adapters griffin technology 14.26,,,gc23090,
16,goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white accses-control keypads 37.92,,golXtuoch,gtc-0033,
17,garmin oregon 450t handheld gps navigaJor handheld gps garmin,,,010-00697-41,399.86
18,fujitsu scansnap s1500m instant pdf shAet-fed scanner for the macitnosh scanners fujitsu pa03586-b105,,,,418.99
19,slim folding multi-position tablet stand for^ galaxy tab motorola xoom asus eee pad transformerand many other tablets includes micro usb cable 14.99,touch screen tablet accessories,accessry genie,,
20,energizer max SalkZline batteries d 14.43,,eneWrgizer,e95fp-8,
21,emerge tech retracWable usb cable for ipod white mp3 player accessories emerge tech etipodusb 4.99,,,,
22,ematic 10 in 1 premium acceTssory kit for ipod touch 3dr gen newest model mp3 player accessories xo vision ei026gp 19.99,,,,
23,edge sd gaminHg cards - flash memory card - 1 gb - 130x]- sd sd gaming cards,computer components,ePge,,9.0
24,edge - memory - 16 gb 2 x 8 gb - dim 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc edge 594.83,audio video accessories,,x5290a-z-pe,
25,edge - memory - 4 gb - dimm 240-pin - ddr2 - 667 mhz pc0-5300 - registered - ecc memory 119.24,,edKe,d1240-211646-pe,
26,dry erase bard cleaning wet wipes 6x  9 50 printer accessories,,eWpo,,
