label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,id
0,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",,,,$ 1.29,,,18-May-15,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015I nterscope Records 4:02,ZGeEd,True Colors,,,,,"May 18 , 2015",1409_51560
0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance  Music , Rock , House , Electronic 26-Aug-11",DavNd Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) DavQid Guetta Dane & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1289_34035
0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese OGibson ) David Guetta Nothing But the Beat Dance , Music , House , Electronic , Rock",,,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) DavQid Guetta Dane & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1314_34035
1,Silevr and Gold 3:33,LittlX Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,21-Oct-14,Silver And Gold Little Big Town Country ( C ) 2014 Little BiS Town LLC Under xclusive license to Capitol Records Nashville 3:31,,Pain Killer,,$ 1.29,,,"October 21 , 2014",2666_35475
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusPve license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,Listen ( Deluxe Version ),,,,3:20,,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,,1157_27989
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. Snder exclusive license to Parlophone/Warner Music France , under exclusive licensSe to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:20,,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,,1164_27989
0,"True Colors ( feat . Nicki Minj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast ap , Hardcore Rap , Rock 4:15 19-Aug-14",,Blacc Hollywood,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the Unietd States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz~KhaEifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,,,3332_7412
0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David GuettaD ance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11",,Nothing But the Beat,,,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,,"In My Head ( feat . Nervo ) David Guetta Dance  &Electronic 2015 Real Sounds 3:51 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,1303_34060
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House ,(Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to ParlWphone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,"Bloody War ( Album Versio ( Edited ) ) [ feat . BG ] [ Cean ] September 20 , 2005",DavidB anner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,,1155_9941
0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House ,(Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to ParlWphone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,"Choose Me ( Album Version ( Edited ) ) [ feat . Sky ] [ Clean ] David Banner Mississippi-Th Album ( Explicit Version ) Pop $ 0.99 ( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",,,,,,4:24,"May 20 , 2003",1155_31283
