id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,"Runaway Train Cam Country , Music , ConteWmporary Countyr , Honky Tonk $ 0.99 3:01 31-Mar-15",,Welcome to Cam Country - EP,,,2015 Sony Music Entertainment,,
1,"Track 14 Me 4 U Pop/Rock , Music , Pop , Dance , R&B / Soul Album Only 20915 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment 3:41",mi,,,,,,
2,Lips Are Movin Tile  $1.29 9-Jan-15,Meghan Traior,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,
3,"I Want a Hippopotamus for Christmas A Great Big World I 'll Be Home For Christmas Holiday , Music Compilation ( P  2016 Epic Records , a division of Sony Music Entertainment",,,,$ 1.29,,2:20,24-Nov-14
4,"Credit Meghan Trainor Pop , Music , Rock  ,Pop/Rock , Dance , Teen Pop $ 1.29 2014 , 2015 Epic Records , a diRision of Sony Music Entertainment",,Title ( Deluxe ),,,,2:51,9-Jan-15
5,"Lips Are Movin Meghan Trainor$ 1.29 2014 , 2015;Epic Records , a division of Sony Music Entertainment 3:01",,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,,,9-Jan-15
6,Lips Ae Movin Meghan Trainor 3:01 9-Jan-15,,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,
7,Lips Are Movin Tit l$ 1.29 3:01,Mehan Tainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
8,"Lips Are Movin Meghan TZrainor Title Pop , Music , Pop/Rock , Dance , Rock , TWeen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01 9-Jan-15",,,,$ 1.29,,,
9,Perfect 201 5InteZscope Records,Selena!omez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,,4:02,
10,"Wrapped Up ( Live ) Radio Disney MusQc Awards Pop , Music Album Only 2015 Walt Disney Records 3:01 21-Apr-15",Olly uWrs,,,,,,
