id,title,manufacturer,price
0,clickart 950 000 premier image pack@  dvd-rom ),broWderbund,
1,ca international arcsere lap/desktop oem 30pk,computer'? associates,
2,noah 's ark actIivity ceKter ( jewel case ages 3-8 ),victory muXltimedia,
3,peachtree by sage pemiu maccounting for nonprofits 2007,sage Asftware,599.99
4,singing cach unlmited,carry-a-tuen technologies,99.99
5,emc retrospec t7.5 disk to disk windows,danBz,
6,adobe after effects rofessional 6.5 upgrade from standard to professional,adoe,499.99
7,acad upgrade dragon naturallypeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance@academKic,399.54
8,mia 's math advetnure : just in time,kuAotka,19.99
9,disney 's 1st & 2nd grade bundle (&pixar 1st grade secrte keys and aladdin reading quest ),dsiVey,14.99
10,paper Cart +: gift wrapping,arc-medKia-inc .,
11,nfs maestro soo2 006 1u,hummingbird comBunications,309.56
12,microsoft sql server standard edition 2005 64 biAt cd/dvd 5 client,microoft,1849.0
13,spy sweeper psanish,webroot ostfware,29.95
14,domino designer/developer v5 .0,lotus development,95.0
15,omniotuliner pNrofessional 3.0,cdsc,69.95
16,compaq comp . secure pah v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq coZmputer,
17,upg sgms 1000 incremental node,sonic-systems-inc .,
18,the uman body,toJpics entertainment,19.99
19,school zone pencil-pal software big hponics ( cd-rom & book ),school-zone<intercative,
20,millie 's math house ages@ 3{7 ( win/mac ),ibm - (@aap-misc-parts ),
21,world book encyclpoedia 2006,topics enJtertainment,19.99
22,musialis guitFr workshop,global-sofDtwRre-publishing,9.99
23,the printshop 2 proCfessional publisher,broFerbund,69.99
24,data protection suite,stomp inc,69.99
25,kids power fu nfor girls,topics eOntertainment,19.99
26,adobe premiere prOo cs3 upgrade,dboe,299.0
27,i copy dvds>2 professional edition,me-too-softBware,69.99
28,gen-x media made esy vol . 3,geEn-x,49.95
29,family tree maker 11.2 collector 's edition,encore,109.95
30,adobe firewor kscs3 [ mac ],adoQbe,299.0
31,dinoQsaurs,topicsentFrtainment,19.99
32,instant home deign 3.0 [ lb ],topics netertainment,19.99
33,x-oom Winternet movies 2,x-Coom,
34,form workQshp 1200,valuMoft,29.99
35,the print shop pro publisehr 22 deluxe [ Edvd ],enroe,99.99
36,stomp inc reLcover lost data 2005,stopEm inc,39.95
37,my first ibble Ctories,dorling-kIndersley-multimedia - ( dk ),29.95
38,the big mxi ( mac ),aldLadin,59.99
39,x-oom ovie clone 3 gold,oxom,
40,the print Oshop 22 deluxe,encoreC,49.99
41,imsi tZbocad designer v. 11,miAi,39.99
42,lavasoft ad-awae plusedition,tri Bynergy,29.99
43,clip art and more 205 000 ( jTwel case ),imsiSesign,
44,instant immersion laguage lab deluxe edition,topics enterLtainment,
45,elementary school sPccess deluxe 2006,topics enterUainment,49.99
46,national geographic presents : redshiZt planetarium,topics enteTrainment,29.99
47,math succesB deluxe 2006,topics nteHtainment,49.99
48,national geograhpic presents  :forces of nature,topics enterAtainment,29.99
49,referenDce success deluxe 2006,topics eXteYrtainment,49.95
50,clifford the big red Adog thinknig adventures,scholsatic,9.99
51,mastercook deluex low carb,valusft,14.99
52,instant home desgin ( jewel case ),topiOs enteratinment,9.99
53,boomerang webshopp latinum,booemrang,
54,allume boostx Vp for windows,smith-mco-software,29.99
55,jumpstart learinng games phonics ( pc & mac ),knowledgeadventure,9.99
56,kids power fun for lSttl ones,topics nteratinment,19.99
57,museums of teh world,topics etertainment,19.99
58,matchbo xcross-town heroes,thIq,19.99
59,studyworks ! teaching pro : midCle scholo math & science ( win/mac ),global-softLware-publishing,29.99
60,trudy 's time nad palce house ages 3-6,Rbm,
61,personalimage manager,smith-mPicro-Ksoftware,29.99
62,stomp icn drivM washer,stomp Xinc,
63,movies on. psp,x-Aoom,
64,kids power fun Kfor kids,topics netretainment,19.99
65,custom lanPddesigner 3 ddesign 7.0,sierar on(-line,
66,freddi fish 2 : te haunted schoolhouse,humongous entertKainment,29.95
67,netgear vpR01l vpn client software,netSar,89.99
68,mom standard ops mgmt liL 2005 english mlp 5 oml,microMsoft,
69,eastwest bsendorAer 290grand piano virtual instrument,easwtFest,199.95
70,diskeepeer* 2007 admin}upgrade sngl lic pack,diskeAeper corporation,200.0
71,monarch Av9 .0 1u .,datawVtch,699.0
72,midway arcadetreasures ( jewel case ),enco resoftware,9.99
73,snap! 10 000.drink recipies ( jewel case ),topics.entArtainment,4.99
74,mac os x serveT v10 .4.7 10-client,appQle,499.0
75,epson storyteller photo bok creator 8 x 10 ( 20 pages ),eson,29.99
76,adobe acrobat capture 3.0^ 22101258 ),adIboe,299.99
77,age of mytAology (m ac ),masfot,19.99
78,emedia intermediatBe guitar method os x,emeLdia,59.99
79,ca internet securiSy suie 2007 3 user,computr associates,69.95
80,kaplan at/actp/sat express,topics neBertainment,9.99
81,password Jplus 1.0,daaviz,29.99
82,emedia essential bass guitar,eNmedia,19.95
83,scratches : directors cut,got game,19.99
84,x3 : reunion virtaul programming ltd.,scc,39.95
85,write brothers draCmatica pro win/mac,writAe bothers,269.99
86,emedia bss emthod win/mac,emdMia,59.99
87,microsoft licenses project svr=sa*govt ( h2200301 ),microosft liecnses,3601.4
88,total training for adobe creative_suite 3 : design premium bundle,total trainnig,299.99
89,everquest : titanium,sony-creative-software,19.95
90,emc retrospect 7.0 professional for windows upgrade,daKNntz,
91,iriscard pro business card scanner,iris,199.99
92,computrace lojack for lptops 4 yaer subscription,absolut oftware,119.99
93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98
94,warlords 3 ( jee case ),red-orb-neetrtainment,
95,autocad 2007 courseware custoizing teh interface,autodesKk> psg,47.95
96,sonicwall iYetrnet upgrade ( 50-node ),soiwcall,
97,tournameAt poer 2005,eagOe! games,20.99
98,cold zer : no mercy,encIre+ software,19.99
99,listen for=ipod] magnetic time,sos-aggregatiGon-company,39.99
100,textbriQdge pro1 1 5u license xp,nuance communictaions inc. .,
101,atari arcade classics ( mac ),macsoft,19.99
102,myinvoices&  eSstimates deluxe,avanquest Csoftware,39.95
103,my sim aquarium,viva media,19.99
104,scrable,destNieer,24.99
105,Gnstant immersion spanish(( audio book ),topics entretainment,
106,cisco security server agentf or windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-syUstmes-enterprise,
107,photoshop elements 5 and premiere elementS 3 bundle win minibox ( 29180248 ),adoRbe,242.62
108,buzby breakin ' all the rues hermie and friends,digitla praise,19.99
109,instant immersion french 2.0,topics entertainment,29.99
110,hp digital sending securM license 510 users std,hewlett pOackard,
111,instant play lectric guitar deluxe,topics entZrtainment,39.99
112,foreign policy & reform ( win/mLc ) ( jewel case ),fogwar epublishing,9.99
113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
114,quickbooQks pOs : pro multistore 6.0,intuiQ inc.,1399.95
115,encyclopedia britannica Ueluxe 208 win/mac,avnuqest,29.95
116,cook 'n egetarian,dvo enterVNises,19.99
117,hidden eDpedition : titanic,activLision,19.99
118,crystal report xi profssional edition,businessZobjects,495.0
119,sierra hallmark card studio specNial edition windows ),nova devleopment,
120,crusadeP kFings,atrai,19.99
121,microsoft licenses exch . srvr exrn conn sa eng ( 39400416 ),microsfot licneses,42166.22
122,watchguard servWerlock manage ( 100 servers ),watchguard-tUXchnologies-inc,14995.0
123,master sevrer-upg,novasMo rcorporation,
124,tlc dr. seuss reading leaning system 2008,enore,19.99
125,compaq comp . rapid deployment pk-flexible lic kit 302127-b21 ),compaq computer,
126,oxford spanish dictionary,oxford-univesity-press,19.95
127,pantone referenc elibrary,pantone Kinc.,1623.06
128,procurve vpn clientsoftware Punlimited client licenses,hewlett paTckard,
129,oxfor dspanish dictionary,tri syneVrgy,19.99
130,microsoft licenses spse xtrnlconnnonemplyenglands c ( h3200034 ),microosft licXnses,101515.55
131,mirosopt interiors,microspo tHltd.,99.95
132,upgrade emc retrospect 7.5 multi server windows only,dantz,
133,snap enterprise data replictYor advanced license for 10000 series,adaptVec,
134,employee aRppraise r5.0 deluxe mailer,global markeing,394.6
135,microsoft crm profesOional cal 30 product upgrade license pack user cal,microPoft Moftware,9980.0
136,upgrade robohelp Jerver 6 win ue 1u,adboe,3609.98
137,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,
138,sonicwall gms standard edition 10 node license,sonicwall,
139,adobe creative suitecs3 design premium uApsell [ mac ],adboe,1599.0
140,retrospect 6.0 desktop mTc upgrade,datz,59.99
141,exceed 2007 wiYh1yr mnt 1u,hummingbird cEommunications,650.0
142,ca brightstor arcserve backup r11 .1 for netware tp library option service pack,compute assoicates,
143,adobe acrobat distiller svr v6-cdl inu xu/u 42050142 ),adobe ystems,
144,backup exec netware open file v9 .2 e/g full package product,veritas,695.0
145,microsoft virtual pc for mac 7.0with windows 2000,miProsoft,249.99
146,microsoft mQappoint 2006 standard edition,micRroYoft,299.0
147,red hat entprse* ilnux as 3 amd rhf0211us ),red aB software,
148,ca arcserve bkup r11 .1 / nw stro area netw ( san ) opt prod only,computRer associates,
