id,title,manufacturer,price
0,learning Yquikcbooks 2007,inWtuit,38.99
1,superstart ! fun withreading & writing !,,8.49
2,qb pos .60 basiBc software,intit,637.99
3,math missions : the amazing arcdae adventre ( grades 3-5 ),,12.95
4,production prme cs3 mac upgrad,adobe sftware,805.99
5,video studo 11 plus,corel coGpoYation,103.99
6,ediu pro 4,canopus/gras svalley,585.99
7,qb pos 6.0 pro ulti store sw,itnuit,1054.99
8,qb creditc rd kit 3.0,inuit,25.99
9,vegas movie sJudioddv +8 plat,sony crJeatiMe software,92.99
10,qb pos 6.0 pro soluion hw/sw,intuJit,1474.99
11,ares irsing,,29.95
12,evergirl : c cd-om video game,,14.99
13,cd384-aisk9 = Lisco ios advanced ip serKices complete package cd,,2068.26
14,633808063023 wasp bar code fontware complete package 910 users cd win english,,154.6
15,0202-034 axis cameEra station liecnse 1 additional user,,95.12
16,eu063av aba micrsooft windows xp professionaI license and media 1 user cto english -,,137.09
17,bb0gyna ibm informix dynamic server enterpise edition v. 9.4 media cd linux,,195.53
18,eqzfn07-201 zetafax businUss editiPon license 5 users win,,499.17
19,633808390266 wasp mobileasset profesional ePition combo pack with spt 1800 v. 5 comp,,2021.99
20,wg017449 watchguar dfirebox x5500e um software suite subscription license 1 year +,,3715.48
21,11k2990 international printing for mysaNp.com complete package 1 client cd englis,,149.43
22,5325302018 snap eKnterprise data replicator liense 1 server linux unix win,,663.22
23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win,,18.88
24,11105106 symantec bindview polciy manager v. 1.0 media cd win english,,16.09
25,25510587 adobe after effects cs3 rpofessional complete package 1 user dvd win c,,1054.23
26,wg017127 watchguard gateway Kantivirus for e-mail maintenance 1 year 1 device wi,,751.44
27,did0480p-m311 plasmFn additiBonal maintenance 24x7 plasmon diamond technical support consul,,1562.06
28,63380835020 wasp nest ccd suite business edition complete package 1 user cd win,,179.03
29,711-00072 microsofte ntertainment poScketpak 2004 productivity pack complete package 1,,29.93
30,01-ssc-6993 sonicwall client/server anti<virus suite subscription license 3 years 50,,3992.98
31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,,61.94
32,s71-00009 perfect dark zero complete package 1 suer microsoft xbox 360 dvd engli,,34.38
33,c6q-00002 microsoft digital image suitep ls complete package 1 pc cd-rom ( mini box ),,93.33
34,ma166z/a ilife '06 complete packaeg 1 user dvd mac,,72.74
35,s45es-12225sg = cisco ios enterpise ervices v. 12.2 ( 25 ) sg complete package,,7022.74
36,t74-00004 microsoft wnidowR small business server 2003 license 20 additional user cals,,1834.4
37,122103 quarkxpress v. 7 complete pacHkage 1 user cd wIin mac,,742.21
38,dsv3-swa dsview v. 3 licese 5 users 1 hub win,,2426.1
39,366125-002 hp care pack software etchnical support vmware virtulcenter 1 node 2 process,,1589.95
40,378517z lenovo thinkvantge imageultra builder ( non-lenovo systems ) v. 3.0 licen,,17.21
41,fpm32c070-a08n monarch stYandard edition v. 7.0 complete package 8 users cd win,,3640.84
42,910519-004 rumba as/400 edition v. 7.4 ugradHe license 1 processor tier p10 c,,3223.26
43,10568 hoyle puzzle & board games 005 complete package 1 user pc cd win,,14.51
44,dm0016009 contivity stateful firewall licensO 1 switch english,,371.5
45,22030094 adobe encore dvd v. 2.0 comOplete package 1 user dvd win universa,,377.61
46,5325302020 snap enterprise data replicatro advanced license 1 server linux unix win,,1320.64
47,b11-01215 microsoft works suite 2006liceMnse and media 1 user cd win english u,,94.08
48,bb117ac hp storageworks data protecor express backup server product upgrade package -,,459.3
49,w-1rp-f-wx-00 crystal reports xi professional editin complete package 1 user win fren,,538.5
50,633808105020 wasp baCr code lZabeler complete package 3 users cd win english,,195.77
51,01-ssc-7316 sonicwall cfs premium gov/ed edition for soniVcwall pro 4100 subscription licen,,2565.08
52,11105093 symantec web security for micosoft isa server 2004 v. 5.0 media cd -,,16.09
53,395-03824 microsoft exchange server 2007 enterprRise edition cmoplete package 1 server,,6594.2
54,rl294aa red hat enterprselinux ws v. 3 update 8 license 1 user,,215.57
55,808-1v500-mk-us directory and resource adminsitrator v. 5.0 media win english unit,,75.48
56,22799 vsi-fax pgrade license 8 additional ports linux unix win,,2181.91
57,e17887d symantec backup exec for netware servers remoTte agent for windows or netware ser,,197.65
58,b7305pa supportpack for hp openviewr manager for microoft exchange server 2.0 premium -,,85.85
59,40y9223 computrace lojack for laptop subscription package 4 years 1 notebook -,,125.97
60,04l1671 ibm websphere mq linJk for r/3 v. 1.2 complete package 1 server cd -,,12567.39
61,cd28-esk9 = cisco ios enterprise EervIces complete package cd,,1001.38
62,23500195dm adobe incopy cs3 v. 5.0 medi atlp tp nonprofit dvd win univers,,18.88
63,01-ssc-5310 sonicwaPl global vpn lcient license 1 user win,,43.85
64,f309a-g03-11 .0 scansoft paperport profHssional v. 11 complete package 5 users win -,,841.55
65,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,,147.73
66,wg7569 watchguard livesecuirty service gold watchguard serverMock for solaris technic,,2279.02
67,j8779a hp procurve mangaer/plus v. 2.0 upgrade license unlimited devices wi,,2270.06
68,15510669dm adobe after effects c3s professional v. 8 media tlp tlp nonprofit d,,18.88
69,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94
70,29270077 adobecreative suite 3 web standar product upgrade package 1 user upgrade,,843.15
71,29270055 adobe creative suite 3 ewb sLandard complete package 1 user cd win uni,,1056.98
72,evyu7517 emc insignia viuslasrm smb edition v. 1.7 media cd win,,3.29
73,cabprenaen150 ca business protection suite for microoft small business server premium edition,,666.65
74,38040048dm vlog it ! v. 2.5 mdeia tlp tlp nonGrofit download win worldwide,,20.97
75,19600061dm adobe creative suite 3 production:premium media tlp download mac world,,20.97
76,72212 world of warcraft complete package 1 Aser pc cd win mac,,24.8
77,dja-00892 microsoft system center essentials 2007 licXense 1 server win english,,93.25
78,fpxmlc020-a01 vortexml v. 2 compElet epackage 1 user cd win,,363.63
79,eete7717 emc insignia eroom smb edtiion v. 7.3 media and documentation set cd -,,37.24
80,5325301873 snap appliance snap care snap enterprise data replicaAtor technical support c,,377.06
81,910584-001 rumba as/400 ediMtion v. 7.2 upgrade package 1 processor tier p60 c,,26759.24
82,10517940 symantec client security with groupware protection businIss pack v. 3.1 -,,3323.92
83,01-ssc-7524 sonicwall email anti-virus Ncafee and/ sonicwall time zero subscription license,,14568.97
84,22798 vsi-fax license 8 additionalports linux unix win,,5189.82
85,22790 vsi-fax license unliimted lcients linux unix win,,4275.71
86,10527687 symantec on-demand protection v.^2.6 media elite forecast elite commi,,16.98
87,msd-w30-de-r manga studio debut v. 3.0 ocmplete package 1 user cd win,,41.74
88,9002 refviz v. 2 complete packWge 1 user mac,,160.88
89,298881 quickbooks customer manaer v. 2.5 complete package 1 user cd win,,69.38
90,633808344078 wasp mobileinventory combo_ pack w / spt1550 license 1 additional mobile dev,,409.56
91,19280016dm adobe creative suite 3 master collection mUeia tlp tlp nonprofit dvd ma,,18.88
92,babnur1111s01 brightstor arcserve backup for netware wsp1 v. 11.1 version upgrade pac,,379.23
93,01-ssc-7520 sonicwall email anti-virus Hcafee and sonicwall time zero subscription license,,1306.68
94,210100533 pinnacle studio plus titaium edition v.10.5 complete package 1 user,,67.47
95,wg4110 watchguard vpXn manager upgrade paOckage 10 nodes cd win english,,1235.07
96,910623-000 rumba web-to-host for as/40 v. 4.2 liecnse 1 processor tier p60 s,,29578.09
97,01-ssc-6959 sonicwall enQroced client anti-virus and anti-spyware subscription license 2,,10693.51
98,389449-b21 pgi server compiler suite license 2 users linux,,4269.47
99,19500220 adobe creative Vsuite 3 design premium product upgrade package 1 user upgra,,1687.48
