label,left_Beer_Name,left_Brew_Factory_Name,left_Style,left_ABV,right_Beer_Name,right_Brew_Factory_Name,right_Style,right_ABV,id
0,C N Re dmIperial Red Ale,RedwoXd Lodge,American Amber / Red Ale,8.10 %,KineticInfraerd Imperial Red Ale,Kinetic Brewig Company,American Strong Ale,9.30 %,2082_1496
0,Mountain Sreies : Love Rhino(  Imperial Red Ale ),BreckenridgZe Brewery,American Amber / Red Ale,8.90 %,KineticInfraerd Imperial Red Ale,Kinetic Brewig Company,American Strong Ale,9.30 %,2433_1496
0,Arthur 's XImperial Red Ale,Otot 's Pub anAd Brewery,American Amber / Red Ale,6.90 %,KineticInfraerd Imperial Red Ale,Kinetic Brewig Company,American Strong Ale,9.30 %,1587_1496
0,Deranger Ipmerial Red Ale,Laurelwood PublZc House & Brewery,American Amber / Red Ale,8.60 %,KineticInfraerd Imperial Red Ale,Kinetic Brewig Company,American Strong Ale,9.30 %,1458_1496
0,Red Sheman 's Imperial Amber Ale,57 Bew Pub & Bistro,American Amber / Red Ale,7.60 %,KineticInfraerd Imperial Red Ale,Kinetic Brewig Company,American Strong Ale,9.30 %,3402_1496
0,C N Re dmIperial Red Ale,RedwoXd Lodge,American Amber / Red Ale,8.10 %,Ballast Point Tongue BuckWer Imperial Red Ale,Ballast Point Crewin gCompany,American Strong Ale,10 %,2082_1638
0,Double Dread ImpeLrial Red Ale,Mad River BSewingC ompany,American Amber / Red Ale,8.60 %,Ballast Point Tongue BuckWer Imperial Red Ale,Ballast Point Crewin gCompany,American Strong Ale,10 %,138_1638
0,West Sixth / Country Boy CountrL Western ( Volume 3 Imperial Red Ale ),West Sixth{ Brewing Company,American Amber / Red Ale,13.00 %,Ballast Point Tongue BuckWer Imperial Red Ale,Ballast Point Crewin gCompany,American Strong Ale,10 %,491_1638
0,C N Re dmIperial Red Ale,RedwoXd Lodge,American Amber / Red Ale,8.10 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,2082_1103
0,Roundabou tImerial Red Ale,Bonfire eBwing Co. .,American Amber / Red Ale,8.80 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,3325_1103
0,Merry PranksPer ImpeGrial Red Ale,Rock Bottom etsaurant & Brewery,American Amber / Red Ale,4.56 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,2047_1103
0,Mountain Sreies : Love Rhino(  Imperial Red Ale ),BreckenridgZe Brewery,American Amber / Red Ale,8.90 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,2433_1103
0,6th Anniversary Ale ( Dirty Hippe Imperial Red Ale ),Kern River.Brewing Company,American Amber / Red Ale,8.00 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,178_1103
0,Ale Mania Ipmerial Red Ale,Ale-Mnia,American Amber / Red Ale,9.50 %,Tumbledown Imp Impreial Red Ale,Tumbledow Brewing LLC,American Strong Ale,7.80 %,2934_1103
1,SanibeleRd Island Ale,Point YbeVlB rewing Company,American Amber / Red Ale,5.60 %,Point Ybel SaFnibel Red Island Ale,Point Ybel BrRwing Company,Irish Ale,5.60 %,982_2999
0,Kniksen CndUia Red Ale,7 Fjell BryCgeri,American Amber / Red Ale,6.80 %,Boneyard Skunkpae Idia Red Ale,Boneyard CBBeer Company,India Pale Ale &#40; IPA &#41;,6.50 %,3715_2562
0,Kniksen CndUia Red Ale,7 Fjell BryCgeri,American Amber / Red Ale,6.80 %,Good People Stepchidl Welgian India Red Ale,Good People Brewngi Company,India Pale Ale &#40; IPA &#41;,7.80 %,3715_216
0,Street Cred IndiHa Rye Red Ale,Roaring Fro Beer Company,American Amber / Red Ale,7.20 %,Good People Stepchidl Welgian India Red Ale,Good People Brewngi Company,India Pale Ale &#40; IPA &#41;,7.80 %,2979_216
0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Ballast Point Calc oAmber Ale - Rum Barrel Aged,Ballast Point rewing Company,Amber Ale,5 %,3246_284
0,BarrJl Aged Red Ale,BearWaters rewing Co. .,American Amber / Red Ale,6.70 %,Ballast Point Calc oAmber Ale - Rum Barrel Aged,Ballast Point rewing Company,Amber Ale,5 %,1524_284
0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Barley_s Barrel>Aged Ulysses Imperial Red Ale,Barey_s BrewiVng Company,American Strong Ale,8.60 %,3246_1682
0,BarrJl Aged Red Ale,BearWaters rewing Co. .,American Amber / Red Ale,6.70 %,Barley_s Barrel>Aged Ulysses Imperial Red Ale,Barey_s BrewiVng Company,American Strong Ale,8.60 %,1524_1682
